ID,Size,Predicted %,Actual value
0,45,4.3975373790677223E-4,YES
1,79,4.3975373790677223E-4,YES
2,67,4.3975373790677223E-4,NO
3,45,0.9998533294221179,YES
4,28,2.0005601568439166E-5,NO
5,28,2.0005601568439166E-5,NO
6,564,0.9995602462620934,YES
7,1491,0.9995602462620934,YES
8,173,3.6675713342624516E-5,NO
9,25,7.334604664808566E-5,NO
10,39,1.4667057788207686E-4,NO
11,47,4.3975373790677223E-4,NO
12,184,4.401021036880557E-5,NO
13,30,0.9995602462620934,NO
14,221,4.00096023045531E-5,NO
15,50,4.3975373790677223E-4,NO
16,101,8.80126738250308E-5,NO
17,41,0.3333577820155494,NO
18,250,7.334604664808566E-5,NO
19,227,8.80126738250308E-5,NO
20,363,1.1001100110011001E-4,NO
21,407,6.28693574751666E-5,NO
22,145,7.334604664808566E-5,NO
23,49,4.00096023045531E-5,NO
24,85,4.00096023045531E-5,NO
25,64,4.3975373790677223E-4,NO
26,42,4.00096023045531E-5,NO
27,36,7.334604664808566E-5,NO
28,37,1.1001100110011001E-4,NO
29,83,6.28693574751666E-5,NO
30,32,3.6675713342624516E-5,NO
31,26,0.9995602462620934,YES
32,883,4.3975373790677223E-4,NO
33,413,0.9998899889988998,YES
34,213,2.3164234422052354E-5,NO
35,24,2.3164234422052354E-5,NO
36,24,4.00096023045531E-5,NO
37,27,0.5,NO
38,259,4.401021036880557E-5,NO
39,30,7.334604664808566E-5,NO
40,428,4.3975373790677223E-4,YES
41,979,7.334604664808566E-5,NO
42,123,7.334604664808566E-5,NO
43,562,7.334604664808566E-5,NO
44,205,3.6675713342624516E-5,NO
45,37,3.6675713342624516E-5,NO
46,35,4.3975373790677223E-4,NO
47,283,7.334604664808566E-5,NO
48,316,7.334604664808566E-5,NO
49,204,7.334604664808566E-5,NO
50,133,7.334604664808566E-5,NO
51,285,7.334604664808566E-5,NO
52,336,4.3975373790677223E-4,NO
53,701,4.3975373790677223E-4,NO
54,301,7.334604664808566E-5,NO
55,76,3.6675713342624516E-5,NO
56,69,7.334604664808566E-5,NO
57,266,4.3975373790677223E-4,NO
58,253,7.334604664808566E-5,NO
59,217,4.3975373790677223E-4,NO
60,100,4.00096023045531E-5,NO
61,191,8.80126738250308E-5,NO
62,476,4.00096023045531E-5,NO
63,95,4.3975373790677223E-4,NO
64,551,4.00096023045531E-5,NO
65,136,4.401021036880557E-5,NO
66,33,0.9995602462620934,YES
67,491,2.1997360316761987E-4,YES
68,143,4.3975373790677223E-4,NO
69,113,4.00096023045531E-5,NO
70,34,4.00096023045531E-5,NO
71,39,3.6675713342624516E-5,NO
72,36,0.9995602462620934,YES
73,277,4.3975373790677223E-4,NO
74,75,7.334604664808566E-5,NO
75,57,1.4667057788207686E-4,NO
76,124,1.4667057788207686E-4,NO
77,59,1.4667057788207686E-4,NO
78,32,4.00096023045531E-5,NO
79,25,4.00096023045531E-5,NO
80,53,1.4667057788207686E-4,NO
81,53,0.9999266539533518,YES
82,88,7.334604664808566E-5,NO
83,107,1.4667057788207686E-4,YES
84,133,6.28693574751666E-5,NO
85,169,4.3975373790677223E-4,NO
86,94,4.3975373790677223E-4,NO
87,35,4.3975373790677223E-4,YES
88,689,1.1001100110011001E-4,NO
89,162,1.1001100110011001E-4,NO
90,39,4.401021036880557E-5,NO
91,79,4.00096023045531E-5,NO
92,85,7.334604664808566E-5,NO
93,110,4.3975373790677223E-4,NO
94,122,7.334604664808566E-5,NO
95,53,4.00096023045531E-5,NO
96,52,4.3975373790677223E-4,NO
97,177,4.3975373790677223E-4,YES
98,533,6.28693574751666E-5,NO
99,183,8.80126738250308E-5,NO
100,215,6.28693574751666E-5,NO
101,76,0.9995602462620934,YES
102,563,1.4667057788207686E-4,NO
103,257,4.00096023045531E-5,NO
104,55,7.334604664808566E-5,NO
105,102,8.80126738250308E-5,NO
106,403,6.28693574751666E-5,NO
107,35,0.9999266539533518,YES
108,145,7.334604664808566E-5,NO
109,119,1.1001100110011001E-4,NO
110,108,0.9998899889988998,YES
111,91,7.334604664808566E-5,NO
112,69,0.20005280760429503,NO
113,80,7.334604664808566E-5,NO
114,63,0.9998899889988998,YES
115,160,0.9995602462620934,YES
116,102,4.00096023045531E-5,NO
117,54,6.28693574751666E-5,NO
118,267,6.28693574751666E-5,NO
119,55,6.28693574751666E-5,NO
120,46,6.28693574751666E-5,NO
121,226,6.28693574751666E-5,NO
122,54,7.334604664808566E-5,NO
123,270,4.00096023045531E-5,NO
124,74,6.28693574751666E-5,NO
125,359,6.28693574751666E-5,NO
126,78,7.334604664808566E-5,NO
127,180,6.28693574751666E-5,NO
128,57,6.28693574751666E-5,NO
129,50,6.28693574751666E-5,NO
130,243,7.334604664808566E-5,NO
131,254,6.28693574751666E-5,NO
132,306,6.28693574751666E-5,NO
133,139,4.3975373790677223E-4,NO
134,372,6.28693574751666E-5,NO
135,75,6.28693574751666E-5,NO
136,222,8.80126738250308E-5,NO
