ID,Size,Predicted %,Actual value
0,45,8.432120655137095E-4,YES
1,79,8.432120655137095E-4,YES
2,67,8.432120655137095E-4,NO
3,45,0.999971847035906,YES
4,28,3.8389619559574544E-5,NO
5,28,3.8389619559574544E-5,NO
6,564,0.99991555061772,YES
7,1491,0.99991555061772,YES
8,173,7.037646631627362E-5,NO
9,25,1.4073312403262112E-4,NO
10,39,2.813870471088384E-4,NO
11,47,8.432120655137095E-4,NO
12,184,8.444938227988536E-5,NO
13,30,0.99991555061772,NO
14,221,7.67733445201722E-5,NO
15,50,8.432120655137095E-4,NO
16,101,1.6887024258442735E-4,NO
17,41,0.8333098728601627,NO
18,250,1.4073312403262112E-4,NO
19,227,1.6887024258442735E-4,NO
20,363,2.1106998151104416E-4,NO
21,407,1.2063324262598866E-4,NO
22,145,1.4073312403262112E-4,NO
23,49,7.67733445201722E-5,NO
24,85,7.67733445201722E-5,NO
25,64,8.432120655137095E-4,NO
26,42,7.67733445201722E-5,NO
27,36,1.4073312403262112E-4,NO
28,37,2.1106998151104416E-4,NO
29,83,1.2063324262598866E-4,NO
30,32,7.037646631627362E-5,NO
31,26,0.99991555061772,YES
32,883,8.432120655137095E-4,NO
33,413,0.9999788849797043,YES
34,213,4.445059956110536E-5,NO
35,24,4.445059956110536E-5,NO
36,24,7.67733445201722E-5,NO
37,27,0.9090280945363015,NO
38,259,8.444938227988536E-5,NO
39,30,1.4073312403262112E-4,NO
40,428,8.432120655137095E-4,YES
41,979,1.4073312403262112E-4,NO
42,123,1.4073312403262112E-4,NO
43,562,1.4073312403262112E-4,NO
44,205,7.037646631627362E-5,NO
45,37,7.037646631627362E-5,NO
46,35,8.432120655137095E-4,NO
47,283,1.4073312403262112E-4,NO
48,316,1.4073312403262112E-4,NO
49,204,1.4073312403262112E-4,NO
50,133,1.4073312403262112E-4,NO
51,285,1.4073312403262112E-4,NO
52,336,8.432120655137095E-4,NO
53,701,8.432120655137095E-4,NO
54,301,1.4073312403262112E-4,NO
55,76,7.037646631627362E-5,NO
56,69,1.4073312403262112E-4,NO
57,266,8.432120655137095E-4,NO
58,253,1.4073312403262112E-4,NO
59,217,8.432120655137095E-4,NO
60,100,7.67733445201722E-5,NO
61,191,1.6887024258442735E-4,NO
62,476,7.67733445201722E-5,NO
63,95,8.432120655137095E-4,NO
64,551,7.67733445201722E-5,NO
65,136,8.444938227988536E-5,NO
66,33,0.99991555061772,YES
67,491,4.2196183606821373E-4,YES
68,143,8.432120655137095E-4,NO
69,113,7.67733445201722E-5,NO
