ID,Size,Predicted %,Actual value
0,50,9.900990099009903E-5,YES
1,79,2.969121140142518E-4,YES
2,67,1.4850014850014852E-4,NO
3,45,0.9999729934103921,YES
4,28,1.3503659491722257E-5,NO
5,28,1.3503659491722257E-5,NO
6,459,0.7999643536121674,YES
7,1472,0.9999814326562443,YES
8,25,2.2851919561243146E-5,NO
9,39,1.4850014850014852E-4,NO
10,47,9.900990099009903E-5,NO
11,184,2.969121140142518E-4,NO
12,30,5.9410646387832706E-5,NO
13,220,0.9999771480804387,YES
14,50,5.9410646387832706E-5,NO
15,82,7.426110203475421E-5,NO
16,41,1.4850014850014852E-4,NO
17,245,7.426110203475421E-5,YES
18,227,2.969121140142518E-4,NO
19,363,5.9410646387832706E-5,NO
20,407,1.4850014850014852E-4,NO
21,145,7.426110203475421E-5,NO
22,49,4.950985246063967E-5,NO
23,85,2.2851919561243146E-5,NO
24,64,1.7475185236963512E-5,NO
25,42,1.4850014850014852E-4,NO
26,36,2.2851919561243146E-5,NO
27,37,1.4850014850014852E-4,NO
28,83,9.900990099009903E-5,NO
29,32,9.900990099009903E-5,NO
30,26,3.713330857779428E-5,NO
31,895,0.9999669923422234,YES
32,376,0.9999405893536123,YES
33,213,2.969121140142518E-4,YES
34,24,1.3503659491722257E-5,NO
35,24,1.3503659491722257E-5,NO
36,27,1.4850014850014852E-4,NO
37,260,2.969121140142518E-4,YES
38,30,5.9410646387832706E-5,NO
39,428,9.900990099009903E-5,NO
40,979,5.9410646387832706E-5,NO
41,123,1.4850014850014852E-4,NO
42,562,2.969121140142518E-4,NO
43,205,5.9410646387832706E-5,NO
44,37,4.950985246063967E-5,NO
45,35,1.9805117642398797E-5,NO
46,283,2.969121140142518E-4,NO
47,316,5.9410646387832706E-5,NO
48,204,4.950985246063967E-5,NO
49,133,9.900990099009903E-5,NO
50,285,7.426110203475421E-5,NO
51,336,7.426110203475421E-5,NO
52,701,2.969121140142518E-4,NO
53,301,9.900990099009903E-5,NO
54,76,5.9410646387832706E-5,NO
55,69,2.9707088111223337E-5,NO
56,266,2.969121140142518E-4,NO
57,253,1.4850014850014852E-4,NO
58,217,1.4850014850014852E-4,NO
59,100,1.4850014850014852E-4,NO
60,191,3.713330857779428E-5,NO
61,476,7.426110203475421E-5,NO
62,95,7.426110203475421E-5,NO
63,551,0.9999628666914222,NO
64,136,3.300765777660417E-5,NO
65,33,3.713330857779428E-5,NO
66,474,0.9999729934103921,YES
67,140,4.243761670344594E-5,YES
68,111,2.969121140142518E-4,YES
69,34,2.9707088111223337E-5,NO
70,39,7.426110203475421E-5,NO
71,36,4.243761670344594E-5,NO
72,271,0.9999843642504223,YES
73,75,2.969121140142518E-4,NO
74,57,1.4850014850014852E-4,NO
75,124,2.969121140142518E-4,NO
