ID,Size,Predicted %,Actual value
0,50,2.969121140142518E-4,YES
1,79,2.969121140142518E-4,YES
2,67,2.969121140142518E-4,NO
3,45,0.9997030878859858,YES
4,28,1.650437365901964E-5,NO
5,28,1.650437365901964E-5,NO
6,459,0.5000000000000001,YES
7,1472,0.9997030878859858,YES
8,25,2.9707088111223337E-5,NO
9,39,7.426110203475421E-5,NO
10,47,2.969121140142518E-4,NO
11,184,2.969121140142518E-4,NO
12,30,4.950985246063967E-5,NO
13,220,2.969121140142518E-4,YES
14,50,3.300765777660417E-5,NO
15,82,9.900990099009903E-5,NO
16,41,9.900990099009903E-5,NO
17,245,7.426110203475421E-5,YES
18,227,7.426110203475421E-5,NO
19,363,9.900990099009903E-5,NO
20,407,1.4850014850014852E-4,NO
21,145,5.9410646387832706E-5,NO
22,49,7.426110203475421E-5,NO
23,85,3.300765777660417E-5,NO
24,64,3.300765777660417E-5,NO
25,42,2.969121140142518E-4,NO
26,36,3.300765777660417E-5,NO
27,37,7.426110203475421E-5,NO
28,83,1.4850014850014852E-4,NO
29,32,5.9410646387832706E-5,NO
30,26,2.9707088111223337E-5,NO
31,895,0.9997030878859858,YES
32,376,2.969121140142518E-4,YES
33,213,0.9997030878859858,YES
34,24,1.9805117642398797E-5,NO
35,24,1.9805117642398797E-5,NO
36,27,3.300765777660417E-5,NO
37,260,2.969121140142518E-4,YES
38,30,4.950985246063967E-5,NO
39,428,7.426110203475421E-5,NO
40,979,7.426110203475421E-5,NO
41,123,7.426110203475421E-5,NO
42,562,7.426110203475421E-5,NO
43,205,7.426110203475421E-5,NO
44,37,2.9707088111223337E-5,NO
45,35,2.9707088111223337E-5,NO
46,283,2.969121140142518E-4,NO
47,316,7.426110203475421E-5,NO
48,204,7.426110203475421E-5,NO
49,133,7.426110203475421E-5,NO
50,285,7.426110203475421E-5,NO
51,336,7.426110203475421E-5,NO
52,701,0.9997030878859858,NO
53,301,0.9997030878859858,NO
54,76,7.426110203475421E-5,NO
55,69,2.9707088111223337E-5,NO
56,266,7.426110203475421E-5,NO
57,253,0.9997030878859858,NO
58,217,7.426110203475421E-5,NO
59,100,2.969121140142518E-4,NO
60,191,3.300765777660417E-5,NO
61,476,9.900990099009903E-5,NO
62,95,3.300765777660417E-5,NO
