ID,Size,Predicted %,Actual value
0,45,0.0021459227467811154,YES
1,79,0.9978540772532188,YES
2,67,0.0021459227467811154,NO
3,45,0.9992826398852224,YES
4,28,7.173601147776183E-4,NO
5,28,7.173601147776183E-4,NO
6,564,0.9978540772532188,YES
7,1491,0.9978540772532188,YES
8,173,0.0021459227467811154,NO
9,25,0.0021459227467811154,NO
10,39,0.0021459227467811154,NO
11,47,0.5,NO
12,184,7.173601147776183E-4,NO
13,30,0.9978540772532188,NO
14,221,0.0021459227467811154,NO
15,50,0.0021459227467811154,NO
16,101,0.0021459227467811154,NO
17,41,0.6664275466284074,NO
18,250,0.0021459227467811154,NO
19,227,0.0021459227467811154,NO
20,363,0.0021459227467811154,NO
21,407,0.0021459227467811154,NO
22,145,0.0021459227467811154,NO
23,49,0.0021459227467811154,NO
24,85,0.0021459227467811154,NO
25,64,0.0021459227467811154,NO
26,42,0.0021459227467811154,NO
27,36,0.0021459227467811154,NO
28,37,0.0021459227467811154,NO
29,83,0.0021459227467811154,NO
30,32,4.306632213608958E-4,NO
31,26,0.9978540772532188,YES
32,883,0.9978540772532188,NO
33,413,0.9994617868675997,YES
34,213,0.001075268817204301,NO
35,24,0.001075268817204301,NO
36,24,0.001075268817204301,NO
37,27,0.9978540772532188,NO
38,259,7.173601147776183E-4,NO
39,30,0.0021459227467811154,NO
40,428,0.0021459227467811154,YES
41,979,0.001075268817204301,NO
42,123,0.9978540772532188,NO
43,562,0.001075268817204301,NO
44,205,7.173601147776183E-4,NO
45,37,0.0021459227467811154,NO
46,35,0.0021459227467811154,NO
47,283,0.001075268817204301,NO
48,316,0.001075268817204301,NO
49,204,0.001075268817204301,NO
50,133,0.001075268817204301,NO
51,285,0.001075268817204301,NO
52,336,0.9978540772532188,NO
53,701,0.9978540772532188,NO
54,301,0.0021459227467811154,NO
55,76,0.0021459227467811154,NO
56,69,0.9978540772532188,NO
57,266,0.0021459227467811154,NO
58,253,0.001075268817204301,NO
59,217,0.9978540772532188,NO
60,100,0.001075268817204301,NO
61,191,0.9978540772532188,NO
62,476,0.001075268817204301,NO
63,95,0.9978540772532188,NO
64,551,0.0021459227467811154,NO
65,136,7.173601147776183E-4,NO
66,33,0.9978540772532188,YES
67,491,0.0021459227467811154,YES
68,143,0.9978540772532188,NO
69,113,7.173601147776183E-4,NO
70,34,0.0021459227467811154,NO
71,39,0.0021459227467811154,NO
72,36,0.9978540772532188,YES
73,277,0.0021459227467811154,NO
74,75,0.0021459227467811154,NO
75,57,0.0021459227467811154,NO
76,124,0.0021459227467811154,NO
77,59,0.0021459227467811154,NO
