ID,Size,Predicted %,Actual value
0,25,0.017543859649122806,NO
1,25,0.017543859649122806,NO
2,354,0.017543859649122806,NO
3,774,0.017543859649122806,YES
4,25,0.017543859649122806,NO
5,38,0.982456140350877,YES
6,235,0.982456140350877,YES
7,199,0.017543859649122806,NO
8,34,0.982456140350877,NO
9,36,0.017543859649122806,NO
10,36,0.017543859649122806,NO
11,26,0.982456140350877,YES
12,441,0.982456140350877,YES
13,465,0.982456140350877,YES
14,191,0.017543859649122806,NO
15,24,0.00892857142857143,NO
16,24,0.017543859649122806,NO
17,52,0.982456140350877,NO
18,54,0.982456140350877,NO
19,192,0.017543859649122806,NO
20,300,0.017543859649122806,NO
21,250,0.982456140350877,NO
22,618,0.982456140350877,NO
23,37,0.982456140350877,NO
24,35,0.017543859649122806,NO
25,279,0.017543859649122806,NO
26,274,0.017543859649122806,NO
27,398,0.017543859649122806,YES
28,238,0.982456140350877,NO
29,74,0.017543859649122806,NO
30,69,0.982456140350877,NO
31,203,0.982456140350877,NO
32,229,0.982456140350877,NO
33,202,0.017543859649122806,YES
34,101,0.017543859649122806,YES
35,165,0.017543859649122806,NO
36,337,0.017543859649122806,NO
37,94,0.017543859649122806,YES
38,381,0.017543859649122806,NO
39,138,0.017543859649122806,NO
40,40,0.017543859649122806,NO
41,86,0.017543859649122806,NO
42,90,0.017543859649122806,NO
43,78,0.017543859649122806,NO
44,84,0.017543859649122806,NO
45,59,0.017543859649122806,NO
46,111,0.017543859649122806,NO
47,149,0.017543859649122806,NO
48,74,0.017543859649122806,NO
49,230,0.017543859649122806,NO
50,208,0.982456140350877,YES
51,55,0.017543859649122806,YES
52,29,0.982456140350877,YES
53,110,0.017543859649122806,NO
54,96,0.017543859649122806,YES
55,42,0.017543859649122806,NO
56,36,0.982456140350877,NO
57,356,0.017543859649122806,YES
58,100,0.017543859649122806,YES
59,73,0.017543859649122806,YES
60,111,0.017543859649122806,NO
61,99,0.017543859649122806,YES
62,79,0.017543859649122806,NO
63,28,0.00892857142857143,NO
64,309,0.017543859649122806,YES
65,94,0.017543859649122806,NO
66,45,0.982456140350877,YES
67,39,0.017543859649122806,NO
