ID,Size,Predicted %,Actual value
0,28,0.001095274617986103,NO
1,28,0.001095274617986103,NO
2,449,0.9995613135742767,NO
3,1311,0.002185761218405211,YES
4,25,0.0014593006007094917,NO
5,50,0.002185761218405211,NO
6,76,0.002185761218405211,NO
7,38,0.002185761218405211,NO
8,175,0.002185761218405211,NO
9,326,0.9995613135742767,YES
10,370,0.9997805605220181,YES
11,145,0.9087645873745532,YES
12,85,0.002185761218405211,NO
13,64,0.002185761218405211,NO
14,36,0.002185761218405211,NO
15,36,0.0014593006007094917,NO
16,32,0.004352495405489211,NO
17,26,0.0014593006007094917,NO
18,527,0.002185761218405211,YES
19,395,0.9995613135742767,YES
20,213,0.002185761218405211,NO
21,24,0.0014593006007094917,NO
22,24,0.002185761218405211,NO
23,27,0.9995613135742767,YES
24,73,0.004352495405489211,NO
25,56,0.002185761218405211,NO
26,30,0.002185761218405211,NO
27,294,0.002185761218405211,NO
28,983,0.002185761218405211,NO
29,252,0.002185761218405211,NO
30,620,0.001095274617986103,NO
31,37,0.0014593006007094917,NO
32,35,0.002185761218405211,NO
33,286,0.002185761218405211,NO
34,232,0.002185761218405211,NO
35,203,0.002185761218405211,NO
36,270,0.002185761218405211,NO
37,425,0.002185761218405211,NO
38,244,0.0014593006007094917,NO
39,74,0.0014593006007094917,NO
40,69,0.004352495405489211,NO
41,247,0.002185761218405211,NO
42,237,0.0014593006007094917,NO
43,202,0.002185761218405211,NO
44,99,0.002185761218405211,NO
45,191,0.9997805605220181,YES
46,464,0.002185761218405211,NO
47,95,0.002185761218405211,NO
48,549,0.002185761218405211,NO
49,136,0.0014593006007094917,NO
50,40,0.0014593006007094917,NO
51,86,0.0014593006007094917,NO
52,105,0.002185761218405211,NO
53,79,0.002185761218405211,NO
54,85,0.002185761218405211,NO
55,72,0.004352495405489211,NO
56,105,0.002185761218405211,NO
57,52,0.9995613135742767,YES
58,151,0.002185761218405211,NO
59,264,0.004352495405489211,YES
60,183,0.004352495405489211,YES
61,195,0.002185761218405211,NO
62,76,0.002185761218405211,NO
63,250,0.004352495405489211,NO
64,237,0.004352495405489211,NO
65,55,0.004352495405489211,NO
66,35,0.002185761218405211,NO
67,110,0.002185761218405211,NO
68,114,0.002185761218405211,NO
69,71,0.002185761218405211,NO
70,54,0.002185761218405211,NO
71,267,0.004352495405489211,NO
72,55,0.004352495405489211,NO
73,46,0.004352495405489211,NO
74,226,0.004352495405489211,NO
75,54,0.004352495405489211,NO
76,266,0.004352495405489211,NO
77,74,0.004352495405489211,NO
78,359,0.004352495405489211,NO
79,78,0.004352495405489211,NO
80,181,0.002185761218405211,NO
81,57,0.002185761218405211,NO
82,50,0.004352495405489211,NO
83,243,0.9995613135742767,YES
84,253,0.002185761218405211,YES
85,306,0.002185761218405211,YES
86,139,0.002185761218405211,NO
87,375,0.9087645873745532,YES
88,75,0.002185761218405211,NO
89,222,0.002185761218405211,NO
90,28,0.0014593006007094917,NO
91,55,0.002185761218405211,NO
92,149,0.002185761218405211,NO
93,25,0.004352495405489211,NO
94,50,0.004352495405489211,NO
95,41,0.002185761218405211,NO
96,101,0.002185761218405211,NO
97,81,0.002185761218405211,NO
98,51,0.002185761218405211,NO
99,135,0.002185761218405211,NO
100,117,0.002185761218405211,NO
101,25,0.9995613135742767,YES
102,54,0.004352495405489211,NO
103,60,0.002185761218405211,NO
104,62,0.002185761218405211,NO
105,83,0.002185761218405211,NO
106,60,0.002185761218405211,NO
107,63,0.002185761218405211,NO
108,452,0.9087645873745532,YES
109,42,0.002185761218405211,NO
110,57,0.002185761218405211,NO
111,156,0.002185761218405211,NO
112,61,0.002185761218405211,NO
113,91,0.002185761218405211,NO
114,93,0.004352495405489211,NO
