ID,Size,Predicted %,Actual value
0,28,0.0014245014245014244,NO
1,28,0.0014245014245014244,NO
2,449,0.0014245014245014244,NO
3,1087,0.0014245014245014244,NO
4,25,4.757373929590866E-4,NO
5,50,0.0014245014245014244,NO
6,76,0.0014245014245014244,NO
7,38,0.0014245014245014244,NO
8,168,7.132667617689016E-4,NO
9,268,0.0014245014245014244,YES
10,371,0.9996431120628122,YES
11,145,0.0014245014245014244,YES
12,85,4.757373929590866E-4,NO
13,64,7.132667617689016E-4,NO
14,36,7.132667617689016E-4,NO
15,36,3.5688793718772306E-4,NO
16,39,4.757373929590866E-4,NO
17,26,4.757373929590866E-4,NO
18,504,0.0014245014245014244,NO
19,357,0.0014245014245014244,YES
20,196,0.9998214923241701,NO
21,24,7.132667617689016E-4,NO
22,27,4.757373929590866E-4,NO
23,69,0.0014245014245014244,YES
24,56,0.0014245014245014244,NO
25,26,0.0014245014245014244,NO
26,187,7.132667617689016E-4,NO
27,983,0.0014245014245014244,NO
28,252,4.757373929590866E-4,NO
29,620,0.0014245014245014244,NO
30,37,7.132667617689016E-4,NO
31,35,4.757373929590866E-4,NO
32,286,7.132667617689016E-4,NO
33,232,0.0014245014245014244,NO
34,203,0.0014245014245014244,NO
35,270,0.0014245014245014244,NO
36,425,0.0014245014245014244,NO
37,244,7.132667617689016E-4,NO
38,74,4.757373929590866E-4,NO
39,69,0.0014245014245014244,NO
40,247,4.757373929590866E-4,YES
41,231,0.0014245014245014244,NO
42,202,7.132667617689016E-4,NO
43,99,0.0014245014245014244,NO
44,191,0.0014245014245014244,NO
45,447,0.9997144488863506,YES
46,95,0.0014245014245014244,NO
47,549,7.132667617689016E-4,NO
48,136,0.0014245014245014244,NO
49,40,0.0014245014245014244,NO
50,86,4.757373929590866E-4,NO
51,90,4.757373929590866E-4,NO
52,79,7.132667617689016E-4,NO
53,85,3.5688793718772306E-4,NO
54,59,3.5688793718772306E-4,NO
55,105,7.132667617689016E-4,NO
56,52,7.132667617689016E-4,NO
57,157,0.0014245014245014244,YES
58,74,7.132667617689016E-4,NO
59,243,7.132667617689016E-4,YES
60,227,7.132667617689016E-4,YES
61,55,7.132667617689016E-4,NO
62,29,0.0014245014245014244,NO
63,111,7.132667617689016E-4,NO
64,113,3.5688793718772306E-4,NO
65,71,7.132667617689016E-4,NO
66,54,7.132667617689016E-4,NO
67,205,0.0014245014245014244,NO
68,121,0.0014245014245014244,NO
69,107,7.132667617689016E-4,NO
70,74,0.0014245014245014244,NO
71,55,0.0014245014245014244,NO
72,104,0.0014245014245014244,NO
73,61,0.9996431120628122,YES
74,148,7.132667617689016E-4,NO
75,66,7.132667617689016E-4,NO
76,87,0.0014245014245014244,NO
77,85,0.0014245014245014244,YES
78,72,0.0014245014245014244,NO
79,54,7.132667617689016E-4,NO
80,60,0.0014245014245014244,NO
81,76,7.132667617689016E-4,NO
82,33,0.0014245014245014244,NO
83,430,0.0014245014245014244,NO
84,146,0.9998214923241701,NO
85,125,0.0014245014245014244,NO
86,75,4.757373929590866E-4,NO
87,47,0.0014245014245014244,NO
88,34,0.0014245014245014244,NO
89,39,0.0014245014245014244,NO
90,36,0.9998214923241701,NO
91,79,0.9998214923241701,YES
92,28,0.9998214923241701,NO
93,426,0.0014245014245014244,NO
94,212,7.132667617689016E-4,NO
95,88,4.757373929590866E-4,NO
96,57,0.0014245014245014244,NO
97,43,4.757373929590866E-4,NO
98,27,4.757373929590866E-4,YES
99,25,4.757373929590866E-4,NO
100,53,7.132667617689016E-4,NO
101,108,7.132667617689016E-4,NO
102,102,7.132667617689016E-4,NO
103,85,4.757373929590866E-4,NO
104,54,7.132667617689016E-4,NO
