ID,Size,Predicted %,Actual value
0,45,0.9997749774977498,YES
1,79,0.9997749774977498,YES
2,67,2.2502250225022504E-4,NO
3,45,0.9999906200168839,YES
4,28,9.37998311603039E-6,NO
5,28,9.37998311603039E-6,NO
6,564,0.9997749774977498,YES
7,1492,0.9997749774977498,YES
8,174,2.2502250225022504E-4,NO
9,25,1.7316617025697857E-5,NO
10,39,3.215847697453048E-5,NO
11,47,5.6274620146314004E-5,NO
12,184,1.1253657438667567E-4,NO
13,30,1.8759614302329943E-5,NO
14,221,0.9997749774977498,NO
15,50,1.8759614302329943E-5,NO
16,101,4.502070952638213E-5,NO
17,41,3.7517820964958355E-5,NO
18,250,0.333345839273655,NO
19,227,3.215847697453048E-5,NO
20,363,3.7517820964958355E-5,NO
21,408,4.502070952638213E-5,YES
22,145,2.8138893578704484E-5,NO
23,49,3.215847697453048E-5,NO
24,85,1.8759614302329943E-5,NO
25,64,1.8759614302329943E-5,NO
26,42,1.1253657438667567E-4,NO
27,36,1.8759614302329943E-5,NO
28,37,3.215847697453048E-5,NO
29,83,4.502070952638213E-5,NO
30,32,2.8138893578704484E-5,NO
31,26,1.7316617025697857E-5,NO
32,883,0.9997749774977498,YES
33,421,2.2502250225022504E-4,YES
34,213,0.9997749774977498,YES
35,24,1.0719951974615152E-5,NO
36,24,1.0719951974615152E-5,NO
37,27,1.8759614302329943E-5,NO
38,259,0.5,NO
39,30,1.8759614302329943E-5,NO
40,428,3.215847697453048E-5,NO
41,981,0.5,YES
42,126,3.215847697453048E-5,YES
43,562,3.215847697453048E-5,NO
44,226,3.215847697453048E-5,YES
45,37,1.7316617025697857E-5,NO
46,35,1.7316617025697857E-5,NO
47,283,1.1253657438667567E-4,NO
48,316,3.215847697453048E-5,NO
49,204,3.215847697453048E-5,NO
50,133,3.215847697453048E-5,NO
51,298,3.215847697453048E-5,YES
52,336,3.215847697453048E-5,NO
53,701,1.1253657438667567E-4,YES
54,301,1.1253657438667567E-4,NO
55,76,3.215847697453048E-5,NO
56,69,1.7316617025697857E-5,YES
57,266,3.215847697453048E-5,NO
58,253,1.1253657438667567E-4,NO
59,217,3.215847697453048E-5,NO
60,100,1.1253657438667567E-4,NO
61,191,1.8759614302329943E-5,NO
62,476,3.7517820964958355E-5,NO
63,95,1.8759614302329943E-5,NO
64,551,1.1253657438667567E-4,NO
65,136,1.8759614302329943E-5,NO
66,33,2.0464963981663393E-5,NO
67,496,0.9997749774977498,YES
68,156,0.5,YES
69,113,0.6249929652766053,NO
70,34,1.8759614302329943E-5,NO
71,39,1.8759614302329943E-5,NO
72,36,1.7316617025697857E-5,NO
73,288,0.9997749774977498,YES
74,75,1.1253657438667567E-4,NO
75,57,3.215847697453048E-5,NO
76,124,5.6274620146314004E-5,NO
77,59,5.6274620146314004E-5,NO
78,32,5.6274620146314004E-5,NO
79,25,1.8759614302329943E-5,NO
80,53,1.8759614302329943E-5,NO
81,53,5.6274620146314004E-5,NO
82,88,0.9999963689970442,YES
83,107,3.215847697453048E-5,NO
84,134,2.2502250225022504E-4,NO
85,169,2.8138893578704484E-5,NO
86,94,1.1253657438667567E-4,NO
87,35,1.1253657438667567E-4,NO
88,695,2.2502250225022504E-4,YES
89,162,4.502070952638213E-5,NO
90,39,4.502070952638213E-5,NO
91,79,2.0464963981663393E-5,NO
92,85,1.8759614302329943E-5,NO
93,110,3.215847697453048E-5,NO
94,122,3.7517820964958355E-5,YES
95,53,3.215847697453048E-5,NO
96,52,1.8759614302329943E-5,NO
97,177,2.2502250225022504E-4,YES
98,533,0.9997749774977498,NO
99,183,2.8138893578704484E-5,YES
100,215,3.7517820964958355E-5,NO
101,76,2.8138893578704484E-5,NO
102,563,0.9999437253798537,YES
103,257,5.6274620146314004E-5,NO
104,55,1.8759614302329943E-5,NO
105,102,3.215847697453048E-5,NO
106,403,3.7517820964958355E-5,NO
107,35,2.8138893578704484E-5,NO
108,145,0.9999963689970442,YES
109,119,3.215847697453048E-5,NO
110,108,4.502070952638213E-5,NO
111,91,0.9999927380468251,YES
112,69,3.215847697453048E-5,NO
113,80,0.16669167854730996,NO
114,63,3.215847697453048E-5,NO
115,160,0.999993378798914,YES
116,102,0.9999678415230254,YES
117,54,1.8759614302329943E-5,NO
118,267,2.8138893578704484E-5,NO
119,55,2.8138893578704484E-5,NO
120,46,2.8138893578704484E-5,NO
121,226,2.8138893578704484E-5,NO
122,54,2.8138893578704484E-5,NO
123,270,3.215847697453048E-5,NO
124,74,1.8759614302329943E-5,NO
125,359,2.8138893578704484E-5,NO
126,78,2.8138893578704484E-5,NO
127,180,3.215847697453048E-5,NO
128,57,2.8138893578704484E-5,NO
129,50,2.8138893578704484E-5,NO
130,243,2.8138893578704484E-5,NO
131,254,3.215847697453048E-5,NO
132,306,2.8138893578704484E-5,NO
133,139,2.8138893578704484E-5,NO
134,372,1.1253657438667567E-4,NO
135,75,2.8138893578704484E-5,NO
136,222,2.8138893578704484E-5,NO
137,572,3.7517820964958355E-5,NO
138,38,3.7517820964958355E-5,NO
139,348,2.8138893578704484E-5,NO
140,121,2.501250625312656E-5,NO
141,62,4.502070952638213E-5,NO
142,52,1.6079755587715066E-5,NO
143,158,2.8138893578704484E-5,NO
144,778,3.7517820964958355E-5,NO
145,199,5.6274620146314004E-5,NO
