ID,Size,Predicted %,Actual value
0,28,0.0049216933668874896,NO
1,28,0.0049216933668874896,NO
2,449,0.9985469136805011,NO
3,1339,1.0,YES
4,25,0.0049216933668874896,NO
5,50,0.003824193073045342,NO
6,76,0.00605775876663257,NO
7,38,0.0049216933668874896,NO
8,178,0.015172455836358522,NO
9,326,0.9815108071314049,NO
10,370,0.9999999900461309,YES
11,145,0.4588691352707866,NO
12,49,0.004362912767059212,NO
13,85,0.003824193073045342,NO
14,64,0.004637457651489889,NO
15,36,0.00427154574076316,NO
16,36,0.004473224032909439,NO
17,32,0.0066075469073781125,NO
18,26,0.8221815366558503,YES
19,543,0.09245060717995227,NO
20,395,0.11823162267379235,NO
21,209,0.005059766391101053,NO
22,24,0.005059766391101053,NO
23,24,0.005059766391101053,NO
24,27,0.04347066964520733,NO
25,73,0.02812592037426442,NO
26,56,0.0049216933668874896,NO
27,30,0.030334579506488355,NO
28,294,0.9985849753337881,NO
29,983,0.007633738460810958,NO
30,262,0.590903459124631,NO
31,626,0.005105537468847801,NO
32,37,0.005105537468847801,NO
33,35,0.005698747002316581,NO
34,286,0.00427154574076316,NO
35,232,0.0062265596569071385,NO
36,203,0.006056840519619632,NO
37,286,0.05053912465921002,NO
38,425,0.046423773864311596,NO
39,249,0.013229736941689605,NO
40,74,0.004859571071901853,NO
41,69,0.013229736941689605,NO
42,247,0.030477231479106522,NO
43,237,0.03322332115415123,NO
44,214,0.0065114890210468705,NO
45,99,0.0049959100691105976,NO
46,191,0.12728969148774177,NO
47,464,0.003908209974075972,NO
48,95,0.01977139753382129,NO
49,549,0.007425950057371992,NO
50,136,0.003908209974075972,NO
51,40,0.007328013277961073,NO
52,86,0.008961622334975243,NO
53,105,0.008199454312342598,NO
54,79,0.015397948366112068,NO
55,85,0.005890029262104394,NO
56,72,0.12158424560307067,NO
57,105,0.004243774666207675,NO
58,52,0.9996659852016293,NO
59,151,0.9999999984558574,NO
60,264,0.012663731981024998,NO
61,183,0.0076129562745814285,NO
62,195,0.005076109203835513,NO
63,76,0.9672237904112403,NO
64,250,0.9194712677330266,NO
65,237,0.008558933294244897,NO
66,55,0.0053787411801017706,NO
67,102,0.014982010811781443,NO
68,389,0.02128788184155509,NO
69,35,0.0062265596569071385,NO
70,130,0.0049216933668874896,NO
71,114,0.02085722820941496,NO
72,71,0.0049216933668874896,NO
73,54,0.004316194392337187,NO
74,267,0.9999998436977368,NO
75,55,0.004577446675235163,NO
76,46,1.0,NO
77,226,0.00591221654281308,NO
78,54,0.9669538282913134,NO
79,266,0.00371971083625886,NO
80,74,0.02635804369437897,NO
81,359,0.003908209974075972,NO
82,78,0.004316194392337187,NO
83,181,0.011080848166937135,NO
84,57,0.9010039590940365,NO
85,50,0.051505211114010345,NO
86,243,0.004351086825346928,NO
87,253,0.9972476808866237,NO
88,306,0.012503597725325985,NO
89,139,0.040066356215805815,NO
90,375,0.003814798928562716,NO
91,75,0.025490918075040378,NO
92,222,0.6911848932849581,NO
93,28,0.005059766391101053,NO
94,55,0.013803201808005913,NO
95,154,0.017902569221559188,NO
96,25,0.10691316800584563,NO
97,50,0.01366333853782151,NO
98,41,0.017902569221559188,NO
99,101,0.08207062026390188,NO
100,84,0.3887861878944821,NO
101,51,0.005059766391101053,NO
102,135,0.0053787411801017706,NO
103,117,0.00651700901354651,NO
104,25,0.00430559686852114,NO
105,54,0.00787609668533259,NO
106,60,0.004978085499357471,NO
107,62,0.005937249813239441,NO
108,83,0.9936258881932706,NO
109,60,0.0046957254735783185,NO
110,63,0.033080777365914624,NO
111,452,0.9885407284175803,NO
112,43,0.010346730425014994,NO
113,247,0.015707382197910475,NO
114,35,0.03228248116824456,NO
115,42,0.07627411017562338,NO
116,57,0.004440769228279766,NO
117,156,0.010346730425014994,NO
118,61,0.02419451690505255,NO
119,91,0.010376037833428236,NO
120,93,0.9701086327145206,NO
121,80,0.012381849275890288,NO
122,101,0.006706446785574237,NO
123,59,0.9999999974233977,NO
124,84,0.04656931224674666,NO
125,82,0.02390424675673849,NO
126,132,0.029229934904553542,NO
127,76,0.02889606049766287,NO
128,33,0.006706446785574237,NO
129,430,0.006706446785574237,NO
130,153,0.006706446785574237,NO
131,122,0.012083926721599327,NO
132,75,0.00371971083625886,NO
133,60,0.9721129845608142,YES
134,34,0.6064622879025384,NO
135,39,0.013221630051611482,NO
136,36,0.009961014620684841,NO
137,79,0.009403928801068778,NO
138,28,0.006427510256270345,NO
139,438,0.006427510256270345,NO
140,194,0.007023407167945524,NO
141,99,0.08252099777392494,NO
142,55,0.06998325107050242,NO
143,43,0.046423773864311596,NO
144,27,0.008112429455665628,NO
145,25,0.04166048271036331,NO
146,53,0.10769309802877435,NO
147,108,0.31811645934214466,NO
148,103,0.012078442962034577,NO
149,85,0.02256881973453255,NO
150,54,0.011139012177137477,NO
151,79,0.6136141780518262,NO
152,137,0.46002608111769117,NO
153,99,0.035469469643528484,NO
154,79,0.004243774666207675,NO
155,78,0.7410725558297782,NO
156,101,0.005842635110990571,NO
157,177,0.04273544095729709,NO
