ID,Size,Predicted %,Actual value
0,40,0.008147784352867414,NO
1,28,0.008147784352867414,NO
2,28,0.9998631484401209,NO
3,449,1.0,NO
4,1352,0.00814580003438473,NO
5,25,0.006901864535070497,NO
6,39,0.01052005202482322,NO
7,50,0.008156115374364739,NO
8,76,0.0443613076209993,NO
9,40,0.9948748690962986,NO
10,245,0.9999999849890319,YES
11,227,0.07501656289961466,NO
12,363,0.010859357562191627,NO
13,375,0.007651929849948019,NO
14,145,0.006971368463397131,NO
15,49,0.008704196315242423,NO
16,85,0.007610697994492147,NO
17,64,0.007135997861616521,NO
18,36,0.01078603379113022,NO
19,37,0.9977376613183826,YES
20,32,0.3793111573542265,NO
21,26,0.06335443828162049,NO
22,660,0.008278709613359506,NO
23,398,0.008278709613359506,NO
24,206,0.008280726038336383,NO
25,24,0.07336526328174621,NO
26,24,0.048464292487955384,NO
27,27,0.008147784352867414,NO
28,30,0.13379935390034245,NO
29,428,0.9999999943072361,NO
30,972,0.025431647898647696,NO
31,123,0.9972835009708344,NO
32,562,0.009160666805029095,NO
33,205,0.009160666805029095,NO
34,37,0.020134344889343857,NO
35,35,0.017804177719190607,NO
36,276,0.023697922346264177,YES
37,316,0.0249857949367717,NO
38,204,0.37748398815433104,NO
39,133,0.2052011371831026,NO
40,285,0.02373280681673234,NO
41,336,0.008991610663087443,NO
42,464,0.03993399378106753,YES
43,294,0.07924254682155443,NO
44,76,0.1003788433539312,NO
45,69,0.012484981196551654,NO
46,266,0.012050533494014977,NO
47,247,0.6559562466247999,YES
48,217,0.007411653228493818,NO
49,99,0.958016859816054,NO
50,191,0.014423548740189874,NO
51,476,0.007041170820540066,NO
52,95,0.009825812240250026,NO
53,549,0.011316891808050124,NO
54,136,0.010152848155781144,NO
55,33,0.012263521848931196,NO
56,478,0.010788501953725554,NO
57,140,0.06042418466583182,NO
58,111,0.007300036680470468,NO
59,34,0.1090565708001273,NO
60,39,0.999504732214609,NO
61,36,0.010360276185606,NO
62,202,0.015617248767630515,NO
63,106,0.00839564649535673,NO
64,57,0.9904779022537671,NO
65,43,0.9670163307009121,NO
66,27,0.009513799410000414,NO
67,25,0.02136082328271598,NO
68,53,0.40889494241979213,NO
69,88,0.0088308983623314,NO
70,107,0.05081350575272692,YES
71,132,0.017818758652616933,YES
72,169,0.0117562029727886,NO
73,80,0.00821945582129728,NO
74,29,0.05123796965956421,NO
75,430,0.00821945582129728,NO
76,79,0.006901864535070497,NO
77,85,0.46652661249545013,NO
78,110,0.017700841528913804,NO
79,111,0.5448310964297866,NO
80,53,0.010060752423858111,NO
81,52,0.973525408496878,NO
82,155,0.006960045831774976,NO
83,270,0.04205961215055162,NO
84,183,0.0071125217818632114,NO
85,215,0.006901864535070497,NO
86,76,0.023475724448232024,NO
87,285,0.16912162491185273,NO
88,258,0.07150094804795876,NO
89,55,0.008056874971259202,NO
90,102,0.9999476966640702,NO
91,390,0.024277678849186777,NO
92,35,0.06467153307889222,NO
93,145,0.007021303930488585,NO
94,119,0.007317585342121697,NO
95,71,0.07206729619739495,NO
96,75,0.008278709613359506,NO
97,69,0.019407722643997583,NO
98,80,0.007041170820540066,NO
99,63,0.03077959438830032,NO
100,120,0.021526459350457407,NO
101,98,0.007083137148778107,NO
102,54,0.1106119355543071,NO
103,267,0.021666344233844816,NO
104,55,0.008278709613359506,NO
105,46,0.008899432158684033,NO
106,226,0.009063571672980553,NO
107,54,0.007095461378152701,NO
108,270,0.008260218621312394,NO
109,74,0.007095461378152701,NO
110,359,0.00685930227194208,NO
111,78,0.9995976273516125,NO
112,180,0.0074321900671411355,NO
113,57,0.44752638507876885,NO
114,50,0.007418811672176858,NO
115,243,0.008515098629878466,NO
116,254,0.009553170709011075,NO
117,306,0.11959346916026317,NO
118,139,0.016875654791738835,NO
119,375,0.026249365786201368,NO
120,75,0.017617441991594072,NO
121,222,0.05011773959110197,NO
122,28,0.007465138928154135,NO
123,55,0.016875654791738835,NO
124,187,0.03425325361801254,NO
125,28,0.01380726513930785,NO
126,50,0.42418467558433864,NO
127,41,0.015554379691254448,NO
128,113,0.008704196315242423,NO
129,87,0.9999999963483239,NO
130,51,0.06508547092054635,NO
131,144,0.05188232022949513,NO
132,117,0.05131205865889305,NO
133,28,0.04941790522012919,NO
134,57,0.008704196315242423,NO
135,60,0.008719872290082585,NO
136,62,0.008704196315242423,NO
137,83,0.01052005202482322,NO
138,60,0.0067542778062591145,NO
139,63,0.9933889761595349,YES
140,522,0.42692066389895666,NO
141,43,0.016186290155317532,NO
142,247,0.017078406698889468,NO
143,35,0.015361371750156725,NO
144,42,0.010615880426508795,NO
145,57,0.010613301457636039,NO
146,91,0.01159255339953257,NO
147,61,0.14564170730565595,NO
148,92,0.11480825948422191,NO
149,93,0.06870158831436361,NO
150,80,0.015195676852066886,NO
151,101,0.10013079322733194,NO
152,59,0.267996293614617,NO
153,84,0.10728926335985975,NO
154,82,0.01761207207546354,NO
155,132,0.04732372978162746,NO
156,143,0.710947372199216,NO
157,78,0.7192868427295366,NO
158,66,0.23555641281058814,NO
159,66,0.028594385523232627,NO
160,85,0.007317585342121697,NO
161,54,0.7540437143700741,NO
162,77,0.010915360163879192,NO
163,137,0.035472028124992394,NO
