ID,Size,Predicted %,Actual value
0,45,0.08070208742645354,YES
1,79,0.15867186330021107,YES
2,67,0.11884160523686356,NO
3,45,0.07399073191866988,YES
4,28,0.07399073191866988,NO
5,28,0.07399073191866988,NO
6,564,0.9178078315853352,YES
7,1491,1.0,YES
8,25,0.07399073191866988,NO
9,39,0.07399073191866988,NO
10,47,0.09894690233752722,NO
11,184,0.570494112233613,NO
12,30,0.07399073191866988,NO
13,221,0.9716650179570752,YES
14,50,0.07460244032370868,NO
15,101,0.08914532544609167,NO
16,41,0.07399073191866988,NO
17,250,0.30338931772125416,YES
18,227,0.5606116871626028,NO
19,363,0.8522896860655039,NO
20,407,0.864948611650466,NO
21,145,0.07714347576776652,NO
22,49,0.08411482562978971,NO
23,85,0.07460244032370868,NO
24,64,0.07460244032370868,NO
25,42,0.07399073191866988,NO
26,36,0.07399073191866988,NO
27,37,0.0817942867594968,NO
28,83,0.07399073191866988,NO
29,32,0.07460244032370868,NO
30,26,0.081364405813191,NO
31,882,0.9995573701777246,YES
32,413,0.688955974729053,YES
33,213,0.1849802130333409,YES
34,24,0.07460244032370868,NO
35,24,0.07460244032370868,NO
36,27,0.07460244032370868,NO
37,259,0.19476023845893808,YES
38,30,0.07399073191866988,NO
39,428,0.3535386008923893,NO
40,979,0.9999406121456708,NO
41,123,0.08070208742645354,NO
42,562,0.8895579697693409,NO
43,205,0.08411482562978971,NO
44,37,0.08070208742645354,NO
45,35,0.08070208742645354,NO
46,283,0.081364405813191,NO
47,316,0.081364405813191,NO
48,204,0.081364405813191,NO
49,133,0.07460244032370868,NO
50,285,0.08070208742645354,NO
51,336,0.09463200186134801,NO
52,701,0.22227942106714366,NO
53,301,0.22227942106714366,NO
54,76,0.15867186330021107,NO
55,69,0.08070208742645354,NO
56,266,0.15867186330021107,NO
57,253,0.22227942106714366,NO
58,217,0.22227942106714366,NO
59,100,0.09463200186134801,NO
60,191,0.081364405813191,NO
61,476,0.18717510714065697,NO
62,95,0.07399073191866988,NO
63,551,0.12247036687908178,NO
64,136,0.09463200186134801,NO
65,33,0.07399073191866988,NO
66,491,0.9999883315024762,YES
67,143,0.1647907497538985,YES
68,113,0.11977615066092957,YES
69,34,0.07399073191866988,NO
70,39,0.07399073191866988,NO
71,36,0.07399073191866988,NO
72,277,0.5168009906167987,YES
73,75,0.11317890540266219,NO
74,57,0.11977615066092957,NO
75,124,0.11884160523686356,NO
76,59,0.0985706474163873,NO
77,32,0.08070208742645354,NO
78,25,0.08070208742645354,NO
79,53,0.08411482562978971,NO
80,53,0.09463200186134801,NO
81,88,0.07714347576776652,YES
82,107,0.0817942867594968,NO
83,133,0.081364405813191,NO
84,169,0.07399073191866988,NO
85,94,0.1413923370683022,NO
86,35,0.08070208742645354,NO
87,689,0.999617183058968,NO
88,162,0.07399073191866988,NO
89,39,0.07399073191866988,NO
90,79,0.07399073191866988,NO
91,85,0.07460244032370868,NO
92,110,0.09681080154929442,NO
93,122,0.0817942867594968,NO
94,53,0.07460244032370868,NO
95,52,0.07399073191866988,NO
96,177,0.11977615066092957,NO
97,527,0.4137505547878259,YES
98,183,0.07714347576776652,NO
99,215,0.08914532544609167,NO
100,76,0.07399073191866988,NO
101,563,0.9999982596674865,YES
102,257,0.9997165378182941,NO
103,55,0.08070208742645354,NO
104,102,0.07460244032370868,NO
105,403,0.1424923712674654,NO
106,35,0.0817942867594968,NO
107,145,0.11884160523686356,YES
108,119,0.08411482562978971,NO
109,108,0.08411482562978971,NO
110,91,0.8851011201416471,YES
111,69,0.7711415843461561,NO
112,80,0.627712759189413,NO
113,63,0.6192045957244208,NO
114,160,0.9875553257165276,YES
115,102,0.9493706338428393,YES
116,54,0.07399073191866988,NO
117,267,0.07714347576776652,NO
118,55,0.07399073191866988,NO
119,46,0.07460244032370868,NO
120,226,0.20584096834104065,NO
121,54,0.07399073191866988,NO
122,270,0.11317890540266219,NO
123,74,0.08888934426594686,NO
124,359,0.6412361838278566,NO
125,78,0.07399073191866988,NO
126,180,0.1256058735011757,NO
127,57,0.07399073191866988,NO
128,50,0.07460244032370868,NO
129,243,0.09894690233752722,NO
130,254,0.12365025504729303,NO
131,306,0.08888934426594686,NO
132,139,0.07399073191866988,NO
133,372,0.944031407385572,NO
134,75,0.14230796251301164,NO
135,222,0.09463200186134801,NO
136,61,0.07399073191866988,NO
137,98,0.11884160523686356,NO
138,28,0.07399073191866988,NO
139,55,0.07399073191866988,NO
140,195,0.6392844307092936,NO
141,28,0.07460244032370868,NO
142,50,0.11884160523686356,NO
143,55,0.0817942867594968,NO
144,130,0.25869550660701995,NO
145,87,0.15986280063717026,NO
146,65,0.07714347576776652,NO
147,140,0.7897632265875151,NO
148,134,0.15867186330021107,NO
149,117,0.08070208742645354,NO
150,28,0.07460244032370868,NO
151,57,0.0817942867594968,NO
152,60,0.081364405813191,NO
153,62,0.07399073191866988,NO
154,89,0.07399073191866988,NO
155,60,0.07399073191866988,NO
156,68,0.07399073191866988,NO
157,522,0.9990368474569095,NO
158,43,0.07399073191866988,NO
159,247,0.17373088006089457,NO
160,35,0.07399073191866988,NO
161,42,0.0817942867594968,NO
162,57,0.08070208742645354,NO
163,125,0.0817942867594968,NO
164,61,0.11884160523686356,NO
165,92,0.15867186330021107,NO
166,92,0.08914532544609167,NO
167,80,0.22382076675057147,NO
168,101,0.07399073191866988,NO
169,59,0.11884160523686356,NO
170,84,0.15867186330021107,NO
171,81,0.08070208742645354,NO
172,173,0.5168009906167987,NO
173,159,0.07399073191866988,NO
174,99,0.15867186330021107,NO
175,73,0.11884160523686356,NO
176,74,0.11884160523686356,NO
177,330,0.3535386008923893,YES
178,81,0.1647907497538985,NO
179,66,0.11884160523686356,NO
180,245,0.30338931772125416,YES
181,91,0.15986280063717026,NO
182,57,0.11884160523686356,NO
183,85,0.3194498407674974,NO
184,94,0.10436716440838939,NO
185,54,0.09463200186134801,NO
186,75,0.45739293360442806,NO
187,137,0.4551863850754184,NO
188,133,0.1647907497538985,NO
189,79,0.09463200186134801,NO
190,76,0.08070208742645354,NO
191,81,0.22227942106714366,NO
192,99,0.07399073191866988,NO
193,115,0.3194498407674974,NO
194,180,0.6192045957244208,NO
195,118,0.4551863850754184,NO
196,132,0.081364405813191,NO
