ID,Size,Predicted %,Actual value
0,40,0.008747156556640457,NO
1,28,0.008747156556640457,NO
2,28,0.9996728176297215,NO
3,449,1.0,NO
4,1352,0.008722341830959325,NO
5,25,0.008282839682884976,NO
6,39,0.013603059733025292,NO
7,50,0.008769380107628792,NO
8,76,0.06539556401956256,NO
9,40,0.9954388081505177,NO
10,245,0.9999999835488294,YES
11,227,0.1044290100068167,NO
12,363,0.013779206445757497,NO
13,375,0.009038308867815767,NO
14,145,0.009220992367815829,NO
15,49,0.009512662606928554,NO
16,85,0.009143828390579388,NO
17,64,0.008072410697295784,NO
18,36,0.012184415953195703,NO
19,37,0.9986424126459683,YES
20,32,0.6077484389444993,NO
21,26,0.11632914144755821,NO
22,660,0.008874476947071188,NO
23,398,0.008874476947071188,NO
24,206,0.008899720605424925,NO
25,24,0.1324503045132521,NO
26,24,0.058688925256526685,NO
27,27,0.00876029103778246,NO
28,30,0.20274933068794154,NO
29,428,0.9999999632788508,NO
30,972,0.03926762822346026,NO
31,123,0.9976829906356804,NO
32,562,0.010935986093805212,NO
33,205,0.010917300967575306,NO
34,37,0.02734485355517912,NO
35,35,0.02640092371992879,NO
36,276,0.035313753093579314,YES
37,316,0.033067574807552826,NO
38,204,0.45305803906216446,NO
39,133,0.25705364578765705,NO
40,285,0.03167927322408771,NO
41,336,0.011597301225603278,NO
42,464,0.05887463833290619,YES
43,294,0.1113955309117812,NO
44,76,0.15833479866117459,NO
45,69,0.018104080223817248,NO
46,266,0.01627759968587371,NO
47,247,0.7461682394095598,YES
48,217,0.00866169907446145,NO
49,99,0.9363797190305752,NO
50,191,0.0212352567485991,NO
51,476,0.008002247885255264,NO
52,95,0.014400175361921452,NO
53,549,0.01604154893197003,NO
54,136,0.018271484888373286,NO
55,33,0.017733293125724216,NO
56,478,0.01761648149255347,NO
57,140,0.07615906388840978,NO
58,111,0.00876480393449603,NO
59,34,0.18075905988384394,NO
60,39,0.9991520320607643,NO
61,36,0.01320774283570459,NO
62,202,0.0191261890304585,NO
63,106,0.009240772684534613,NO
64,57,0.9918618475465388,NO
65,43,0.9762417732691666,NO
66,27,0.012072224199174461,NO
67,25,0.02633599317680459,NO
68,53,0.560712172829972,NO
69,88,0.010093329990036476,NO
70,107,0.09706357335139858,YES
71,132,0.026899561774934824,YES
72,169,0.01481698510977303,NO
73,80,0.008931363159453674,NO
74,29,0.08551925309626278,NO
75,430,0.008951930039786756,NO
76,79,0.00802546443181833,NO
77,85,0.6161136613675179,NO
78,110,0.02637590359676355,NO
79,111,0.662714456451556,NO
80,53,0.013560465523693907,NO
81,52,0.9736217743679089,NO
82,155,0.008197311241307997,NO
83,270,0.07747546142525787,NO
84,183,0.00811411833914686,NO
85,215,0.008059490218955327,NO
86,76,0.04041308102317337,NO
87,285,0.2725508037227124,NO
88,258,0.1221390554553118,NO
89,55,0.009695383338794815,NO
90,102,0.9999514128832987,NO
91,390,0.026973902592521776,NO
92,35,0.1156746020309603,NO
93,145,0.007909700010535125,NO
94,119,0.008473205866194834,NO
95,71,0.10957023153780476,NO
96,75,0.008874476947071188,NO
97,69,0.0234969062921732,NO
98,80,0.008017268085446684,NO
99,63,0.04050630352820999,NO
100,120,0.029640100873741082,NO
101,98,0.008040600639137677,NO
102,54,0.23518334630795037,NO
103,267,0.02791128872809502,NO
104,55,0.008874476947071188,NO
105,46,0.009824578072850096,NO
106,226,0.011208526395346606,NO
107,54,0.008556177138968989,NO
108,270,0.010740092170004885,NO
109,74,0.008472891863912991,NO
110,359,0.008974318933109302,NO
111,78,0.9995790926503991,NO
112,180,0.008806728606265126,NO
113,57,0.562005376228391,NO
114,50,0.008726930538767714,NO
115,243,0.00975060193996329,NO
116,254,0.012100578718292709,NO
117,306,0.21030027455909261,NO
118,139,0.021572954991121298,NO
119,375,0.041616206876774184,NO
120,75,0.029205763039500735,NO
121,222,0.06895562581271016,NO
122,28,0.009099189158975384,NO
123,55,0.021520621619762918,NO
124,187,0.048931370534144376,NO
125,28,0.01963603323367634,NO
126,50,0.6126877000945957,NO
127,41,0.02355086896490799,NO
128,113,0.011682652119502097,NO
129,87,0.9999999895625943,NO
130,51,0.11030564864836952,NO
131,144,0.07294634757328512,NO
132,117,0.06656186875246656,NO
133,28,0.06007016126356621,NO
134,57,0.011702009301256144,NO
135,60,0.011849539872012297,NO
136,62,0.011807235537498476,NO
137,83,0.015511227320621079,NO
138,60,0.007735778236999095,NO
139,63,0.9911612877085659,YES
140,522,0.57188433343391,NO
141,43,0.021768283732422445,NO
142,247,0.021788445459767235,NO
143,35,0.018334720205651932,NO
144,42,0.011993511028550615,NO
145,57,0.011873297476401489,NO
146,91,0.01346536687555362,NO
147,61,0.23459097771156703,NO
148,92,0.182950868940551,NO
149,93,0.12436346456649872,NO
150,80,0.01905343436165305,NO
151,101,0.1799917216951667,NO
152,59,0.4958149531132194,NO
153,84,0.16485682399199741,NO
154,82,0.03426924035383271,NO
155,132,0.06388149546111158,NO
156,143,0.7639504355722228,NO
157,78,0.8302288997298113,NO
158,66,0.46822624020890696,NO
159,66,0.04587745088122818,NO
160,85,0.008355308983597412,NO
161,54,0.7598675729526062,NO
162,77,0.017355673881415498,NO
163,137,0.053610030066217285,NO
