ID,Size,Predicted %,Actual value
0,28,0.017927815773967102,NO
1,28,0.019382234676379066,NO
2,387,0.9969804725804041,YES
3,1087,1.0,YES
4,25,0.017927815773967102,NO
5,50,0.017398039163346802,NO
6,76,0.9985794437536252,NO
7,38,0.9883700387056541,NO
8,168,0.018810302407588474,NO
9,267,0.022352470042150477,NO
10,374,0.022352470042150477,NO
11,145,0.023621271360503834,NO
12,85,0.9998373476128446,YES
13,64,0.9994149726333625,YES
14,36,0.320597842329839,YES
15,36,0.019754206512678636,NO
16,36,0.019382234676379066,NO
17,26,0.5327927600655665,NO
18,491,0.3005553748425712,NO
19,354,0.30996490310472236,NO
20,196,0.16022703557358928,NO
21,24,0.061835061726913734,NO
22,27,0.9999999621294399,NO
23,55,0.02249683016313586,NO
24,54,0.02249683016313586,NO
25,26,0.05930042368105492,NO
26,187,0.05190002379870517,NO
27,983,0.8066953194706697,NO
28,252,0.37041651566119793,NO
29,620,0.11466817365533045,NO
30,37,0.021508813792922597,NO
31,35,0.15419324372610851,NO
32,286,0.38913614074407604,NO
33,232,0.3313759997926711,NO
34,203,0.029237325905554595,NO
35,270,0.02369971215118733,NO
36,425,0.3160709094840855,NO
37,244,0.018113332245402406,NO
38,74,0.4190123375283317,NO
39,69,0.03373629536442421,NO
40,228,0.018810302407588474,NO
41,231,0.02136899607644084,NO
42,202,0.018325372474596802,NO
43,99,0.016630141954515495,NO
44,191,0.019768498478315594,NO
45,447,0.037123191887347994,NO
46,95,0.04140398117480078,NO
47,549,0.0277851312962127,NO
48,136,0.017070713218529786,NO
49,40,0.9999995659128934,NO
50,86,0.999998486970388,NO
51,90,0.020351605905133165,NO
52,79,0.018272395409531204,NO
53,85,0.01700386491125704,NO
54,59,0.020440818981135624,NO
55,112,0.018810302407588474,NO
56,52,0.018810302407588474,NO
57,157,0.9999983694697379,YES
58,74,0.07528462170785558,YES
59,230,0.10684265517112629,YES
60,211,0.9646742064088669,NO
61,55,0.9805411963111383,YES
62,29,0.034971441893582554,NO
63,111,0.017927815773967102,NO
64,98,0.9999998526367743,YES
65,43,0.12566966728937595,YES
66,54,0.030457413741596186,YES
67,205,0.030349098354964927,NO
68,121,0.032777578299973804,YES
69,107,0.03375957749460943,NO
70,74,0.023178204444429747,NO
71,76,0.021508813792922597,YES
72,412,0.2794602084467767,NO
73,146,0.1113046297953643,YES
74,125,0.021507144304821153,NO
