ID,Size,Predicted %,Actual value
0,45,1.0171552922821689E-5,YES
1,28,1.1287576882093736E-5,NO
2,28,1.1287576882093736E-5,NO
3,449,0.987976847888287,YES
4,1470,1.0,NO
5,25,1.1250334046633563E-5,NO
6,39,1.1249962293305162E-5,NO
7,47,1.0583957912921383E-5,NO
8,30,1.613466682268036E-5,NO
9,215,1.137800449263124E-5,NO
10,50,4.641726497473516E-4,NO
11,82,0.003132133176173775,NO
12,41,0.9666593961317129,NO
13,245,0.9999997826409049,NO
14,227,2.2033483861710044E-4,NO
15,363,1.4115715353391089E-5,NO
16,407,1.2455229367720977E-5,NO
17,145,1.1233224294946054E-5,NO
18,49,1.3392859807290395E-5,NO
19,85,1.1935935527826473E-5,NO
20,64,5.749900234742693E-5,NO
21,36,1.0434872540812155E-5,NO
22,37,1.3491194909218417E-5,NO
23,83,0.9999989529334526,YES
24,32,0.014772656703276488,NO
25,26,1.4719505708649236E-4,YES
26,835,1.1503119645990198E-5,NO
27,365,1.1503119645990198E-5,NO
28,206,1.1503119645990198E-5,NO
29,24,1.1287576882093736E-5,NO
30,24,5.959066832338982E-4,NO
31,27,0.9999999678728936,NO
32,260,2.056780487342478E-5,NO
33,30,0.13020564317147387,NO
34,428,3.407609777504944E-5,NO
35,972,1.2014490441244849E-5,NO
36,123,1.2014490441244849E-5,NO
37,562,2.5847520499369207E-5,NO
38,205,1.616739271173201E-4,NO
39,37,4.760212095651386E-5,NO
40,35,1.5099830939924912E-5,NO
41,276,2.8871634564950118E-5,NO
42,316,1.9823804748021032E-4,NO
43,204,0.01638726407422658,NO
44,133,0.0015578925423370593,NO
45,285,3.136632162535677E-5,NO
46,336,1.2829073322493151E-5,NO
47,464,7.414402105310318E-5,NO
48,294,4.838154671145128E-4,NO
49,76,3.272728260496743E-4,NO
50,69,1.6976097071340977E-5,NO
51,266,1.859923720984897E-5,NO
52,247,0.0031023479384172325,NO
53,217,1.1105479656884027E-5,NO
54,99,0.06605815712443723,NO
55,191,1.9937641466159045E-5,NO
56,476,1.8077721917858206E-5,NO
57,95,0.9999999353737213,YES
58,550,1.1357632523867494E-4,NO
59,136,3.42968698245285E-5,NO
60,33,1.8077721917858206E-5,NO
61,483,1.8154132781571487E-5,NO
62,140,1.8077721917858206E-5,NO
63,111,0.012320258689219916,YES
64,34,3.586086303980669E-5,NO
65,39,2.0978536102192978E-5,NO
66,36,1.788250181884911E-5,NO
67,257,1.3194721146887375E-5,NO
68,61,1.3194721146887375E-5,NO
69,57,1.4542776964632537E-5,NO
70,124,2.128683520096609E-5,YES
71,59,2.530367138111976E-5,NO
72,32,1.945762008603163E-5,NO
73,25,1.6610043700405528E-4,NO
74,53,2.4903099995676668E-5,NO
75,53,1.0168902399046782E-5,NO
76,88,0.4988699460499903,NO
77,107,0.043878109418702134,NO
78,133,1.8084750187501944E-5,NO
79,169,2.9324686715201717E-5,NO
80,80,3.391137668280755E-5,NO
81,29,3.101971966441932E-5,NO
82,588,1.8885319733530972E-4,NO
83,162,2.4921491278765083E-5,NO
84,39,1.1427686374763242E-5,NO
85,79,0.4652719804876073,NO
86,85,0.9999999999992053,NO
87,110,3.4824480238309335E-5,NO
88,111,3.697822581577597E-5,NO
89,53,1.2994532311431234E-5,NO
90,52,1.0,YES
91,154,0.890322717682622,NO
92,403,1.988170195819936E-5,NO
93,183,7.396390750165409E-5,NO
94,215,0.029132602116340223,NO
95,76,1.3099900509536865E-5,NO
96,554,8.325010354703682E-4,YES
97,257,8.377077865118356E-5,NO
98,55,2.8052248680833096E-4,NO
99,102,0.01231299123578823,YES
100,403,5.42992434114566E-4,NO
101,35,0.0020457472264260794,NO
102,145,2.66899373634143E-4,NO
103,119,0.9967524231720891,YES
104,108,0.003193090763801659,YES
105,91,1.1554500416878645E-5,NO
106,69,1.8943656308659644E-4,NO
107,80,1.1554500416878645E-5,NO
108,63,1.1040602071944943E-5,NO
109,160,0.0015125868978905972,NO
110,98,2.4569750833115515E-5,NO
111,54,0.04713381888885792,NO
112,267,1.5641326695869872E-5,NO
113,55,0.060780250626897514,NO
114,46,1.0693341021515223E-5,NO
115,226,9.370688981078351E-5,NO
116,54,1.0446896915274257E-5,NO
