ID,Size,Predicted %,Actual value
0,50,3.1726026426139107E-4,YES
1,79,0.0010899687994228022,YES
2,67,8.101950333418819E-4,NO
3,45,1.126498387801009E-4,YES
4,28,1.2062612968507157E-4,NO
5,28,1.2062612968507157E-4,NO
6,459,0.9994567181056598,YES
7,1472,1.0,YES
8,25,1.2062612968507157E-4,NO
9,39,1.1633710654088792E-4,NO
10,47,1.6804364480851611E-4,NO
11,184,0.9987517535024462,NO
12,30,1.2027299561179121E-4,NO
13,220,0.1275611393053231,YES
14,50,1.1736604114121296E-4,NO
15,82,1.619418035309351E-4,NO
16,41,1.1980969971872405E-4,NO
17,245,0.00368338689025901,YES
18,227,0.026058672667791632,NO
19,363,0.9786746834124123,NO
20,407,0.9999963037975855,NO
21,145,0.0016760891529634349,NO
22,49,1.5217861786632727E-4,NO
23,85,1.3487236482170284E-4,NO
24,64,1.1874747559869035E-4,NO
25,42,2.5779423918284664E-4,NO
26,36,1.5253895246662518E-4,NO
27,37,1.3461777988331644E-4,NO
28,83,1.4867195622056124E-4,NO
29,32,1.1731067843801636E-4,NO
30,26,1.3310646233601872E-4,NO
31,895,0.9999999999999998,YES
32,376,0.8917924342871837,YES
33,213,0.0042197914709530635,YES
34,24,1.2139353175519986E-4,NO
35,24,1.2139353175519986E-4,NO
36,27,1.2139353175519986E-4,NO
37,260,0.001363630654878205,YES
38,30,1.2027299561179121E-4,NO
39,428,0.007954685445627918,NO
40,979,0.9999999999960958,NO
41,123,2.0031480142003363E-4,NO
42,562,0.8407282574294169,NO
43,205,3.5744498886878357E-4,NO
44,37,1.275275592997041E-4,NO
45,35,1.275275592997041E-4,NO
46,283,4.0948517591404924E-4,NO
47,316,0.0019170625243846104,NO
48,204,4.95059742235864E-4,NO
49,133,1.5016237844753418E-4,NO
50,285,2.902751508817466E-4,NO
51,336,0.0022208285977057384,NO
52,701,0.9999999999877034,NO
53,301,0.3905426860707518,NO
54,76,2.756041468295019E-4,NO
55,69,1.3005854589569007E-4,NO
56,266,6.04884233448331E-4,NO
57,253,0.010298852704907966,NO
58,217,0.0039048920366118846,NO
59,100,0.0016619944599178611,NO
60,191,1.6989693178404483E-4,NO
61,476,0.02365246814277254,NO
62,95,1.1924291711435979E-4,NO
63,551,0.926223012609102,NO
64,136,1.8772930107799978E-4,NO
65,33,1.99425393521409E-4,NO
66,474,0.9999999781703329,YES
67,140,8.423823233200534E-4,YES
68,111,2.973815252082946E-4,YES
69,34,1.9897448870541114E-4,NO
70,39,1.986572603300061E-4,NO
71,36,1.9897448870541114E-4,NO
72,271,0.1226452919436505,YES
73,75,2.9346664057376714E-4,NO
74,57,1.9255278629849143E-4,NO
75,124,2.038374758622308E-4,NO
76,59,1.5899494207115305E-4,NO
