ID,Size,Predicted %,Actual value
0,40,6.593568915625456E-4,YES
1,28,6.705692105975669E-4,NO
2,28,6.705692105975669E-4,NO
3,449,0.999999999999993,YES
4,1358,1.0,NO
5,25,6.560895177678684E-4,NO
6,39,7.177048525929446E-4,NO
7,50,7.311805901841211E-4,NO
8,82,0.0016946834430062886,NO
9,41,9.828146942332484E-4,NO
10,245,0.8571511380839675,NO
11,227,0.8931912981633091,NO
12,363,0.9999999708480642,NO
13,375,0.9999999999726303,YES
14,145,0.10454138372382862,NO
15,49,0.001100386513849464,NO
16,85,0.0015130488698429732,NO
17,64,8.998218702111557E-4,NO
18,36,7.941438848685815E-4,NO
19,37,9.45279387564898E-4,NO
20,92,6.282791614593906E-4,NO
21,32,8.884913560142492E-4,NO
22,26,1.0,YES
23,669,0.9999936864678177,NO
24,398,0.3599812737894291,NO
25,206,9.394151799495281E-4,NO
26,24,9.394151799495281E-4,NO
27,24,6.728252152406112E-4,NO
28,27,6.795114818382382E-4,NO
29,30,0.9996319127982736,NO
30,428,1.0,NO
31,972,1.0,NO
32,123,1.0,NO
33,562,0.05624755771047451,NO
34,205,8.574149065293806E-4,NO
35,37,8.496192157553746E-4,NO
36,35,0.8241887211046451,NO
37,276,0.9999999999999662,NO
38,316,0.10747925244566293,NO
39,204,0.006058562415549238,NO
40,133,0.4703539116992862,NO
41,285,0.988422526726903,NO
42,336,0.9999998333944916,NO
43,464,0.9805317528966165,NO
44,294,0.004386696386826007,NO
45,76,0.0012926243682312077,NO
46,69,0.5817347997802679,NO
47,266,0.8801518236349287,NO
48,247,0.9467973084041768,NO
49,217,0.003434377402510671,NO
50,99,0.08940641772515395,NO
51,191,0.99999886825623,NO
52,476,0.0017332998046099702,NO
53,95,1.0,YES
54,550,0.006720585510963634,NO
55,136,9.570030021173033E-4,NO
56,33,0.9999999999999861,YES
57,479,0.06185764966774161,NO
58,140,0.04343864349954759,NO
59,111,9.654306960394986E-4,NO
60,34,0.0010116115820175944,NO
61,39,0.0010116115820175944,NO
62,36,0.8914920579081286,YES
63,202,0.005415398161983924,NO
64,106,0.008557488050234843,NO
65,57,0.0021017686806570593,NO
66,43,0.001219678768333199,NO
67,27,8.663958801069602E-4,NO
68,25,0.0012645433993808861,NO
69,53,0.0025835505755357,YES
70,88,0.0048369076306298145,NO
71,107,0.007629277051658702,NO
72,132,0.20488137641188106,NO
73,169,3.4259084888308973E-4,NO
74,80,6.023508370708783E-4,NO
75,29,0.9999999996970783,NO
76,430,0.0016059567810245928,NO
77,79,0.002178867732585589,NO
78,85,0.314534024172741,NO
79,110,0.026803750359961253,NO
80,111,0.0017153168264885169,NO
81,53,8.005662237995509E-4,NO
82,52,2.0836078249387895E-64,NO
83,158,1.4175774718682455E-62,NO
84,270,0.003278596641338271,NO
85,183,0.26571190209904627,NO
86,215,0.0013146232471417153,NO
87,76,0.9999999998911664,YES
88,285,0.9999999999993721,NO
89,258,4.718244317884256E-4,NO
90,55,3.3581095583012254E-4,NO
91,102,0.999081776217624,NO
92,403,7.550114436707858E-4,NO
93,35,0.30497989081314053,YES
94,145,0.013185560077247508,NO
95,119,0.0017500038323843004,NO
96,71,0.030408043633703127,YES
97,75,0.09648484147474522,NO
98,69,0.021612166833379826,YES
99,80,0.06036251646962615,NO
100,63,0.2586491485473804,YES
101,120,0.7716356321852922,YES
102,98,8.598267532595968E-4,NO
103,54,0.9813392602893907,NO
104,267,8.598267532595968E-4,NO
105,55,5.305420411954669E-4,NO
106,46,0.981281081821366,NO
107,226,0.0013691925945658067,NO
108,54,0.21762240951602457,NO
109,270,0.0014310397540935544,NO
110,74,0.9999999558739289,NO
111,359,0.0011323558223653126,NO
112,78,0.20083323422863408,NO
113,180,7.993732895916445E-4,NO
114,57,5.498085394822434E-4,NO
115,50,0.7983296350884976,NO
116,243,0.0075187331566836406,NO
117,254,0.9996762473477724,NO
118,306,0.009687264282146576,NO
119,139,0.9999996671903182,NO
120,375,0.003385493823828938,NO
121,75,0.766421598843055,NO
122,222,6.017449637214021E-4,NO
123,61,1.0397761545602879E-5,NO
124,98,0.2865888688829316,NO
125,28,9.47599387012832E-4,NO
126,55,0.01349580410030882,NO
127,194,4.957921354828656E-4,NO
128,28,0.0011812015078503353,NO
129,50,0.007325979330853413,NO
130,55,5.563200708014412E-4,NO
131,118,0.6399912387153519,NO
132,87,9.493737436366314E-69,NO
133,65,9.47599387012832E-4,NO
134,144,0.0012334055317913064,NO
135,117,8.505602436429686E-4,NO
136,28,6.6506570987032E-4,NO
137,57,8.048704155880309E-5,NO
138,60,3.550184285489823E-4,NO
139,62,1.5504540130205333E-4,NO
140,89,0.9999999999947674,NO
141,60,3.632893333710842E-5,NO
142,68,2.6758580082887294E-5,NO
143,522,4.837785833323685E-4,NO
144,43,8.195297351602045E-4,NO
145,247,1.4173503874970204E-5,NO
146,35,0.999814186655057,NO
147,42,0.002054334095456509,NO
148,57,0.005981309385527003,NO
149,91,8.342479325347972E-6,NO
150,61,1.1231116979338863E-4,NO
151,92,0.0015271480299548484,NO
152,93,0.0015135832475555138,NO
153,80,0.0029449338085481658,NO
154,101,4.412666897816974E-4,NO
155,59,7.998330679985871E-4,NO
156,84,0.001488034603476979,NO
157,82,0.0055004044671501,NO
158,132,0.0015305618318713476,NO
159,143,0.0015305618318713476,NO
160,78,0.018617148208056343,YES
161,66,0.001713253429034118,NO
162,66,0.021234676059998552,NO
163,85,0.0993518281999058,NO
164,54,0.02935189054599078,NO
165,77,0.004294786126582867,NO
166,137,0.0031769625017991974,NO
167,130,0.02415749776899773,NO
168,79,0.7810404067915289,NO
169,76,0.057334981286317234,NO
170,81,0.15557385046354177,NO
171,98,0.009047366541720569,NO
172,115,0.00173636800302849,NO
173,180,0.0010960771703580929,NO
174,118,0.005609791700748396,NO
175,64,7.782419732235403E-4,NO
176,95,0.31135388149611887,NO
