ID,Size,Predicted %,Actual value
0,45,2.0127972288872962E-4,YES
1,28,2.0995056588983812E-4,NO
2,28,2.0995056588983812E-4,NO
3,449,0.9994529888854538,YES
4,1470,1.0,NO
5,25,2.0932638115307722E-4,NO
6,39,2.1547507688213387E-4,NO
7,47,2.2156260111290258E-4,NO
8,30,4.0265613469033656E-4,NO
9,215,2.140429770450568E-4,NO
10,50,0.0147950933973097,NO
11,82,0.10883205014398892,NO
12,41,0.9993604353943898,NO
13,245,0.9999999978175891,NO
14,227,0.0055839680888572565,NO
15,363,3.4147073792404134E-4,NO
16,407,2.823685160631196E-4,NO
17,145,2.57931345867252E-4,NO
18,49,2.887082688365601E-4,NO
19,85,2.3623566532361213E-4,NO
20,64,0.001021537696613889,NO
21,36,2.0317566185474516E-4,NO
22,37,2.8467143660785644E-4,NO
23,83,0.9999997210613253,YES
24,32,0.29187170643920446,NO
25,26,0.007542273759635955,YES
26,835,2.139504534893012E-4,NO
27,365,2.139504534893012E-4,NO
28,206,2.1458106575634388E-4,NO
29,24,2.105910529728954E-4,NO
30,24,0.02448559403750174,NO
31,27,0.9999999801779569,NO
32,260,5.057515300249076E-4,NO
33,30,0.7045892868185815,NO
34,428,0.001009967947785679,NO
35,972,2.6503072946345365E-4,NO
36,123,2.64597928370088E-4,NO
37,562,6.482100645213374E-4,NO
38,205,0.004554289979273611,NO
39,37,0.0015470408765902847,NO
40,35,3.3675679947109155E-4,NO
41,276,7.36689273109281E-4,NO
42,316,0.0060911316024988525,NO
43,204,0.31190367734375357,NO
44,133,0.06961636158231371,NO
45,285,8.026217448382067E-4,NO
46,336,3.0545608106961376E-4,NO
47,464,0.002117567422654626,NO
48,294,0.017067758389162302,NO
49,76,0.013022371645821472,NO
50,69,4.748869817227612E-4,NO
51,266,4.7922563044434577E-4,NO
52,247,0.10522059012425271,NO
53,217,2.1991237048312145E-4,NO
54,99,0.4239214460224707,NO
55,191,6.145272717075353E-4,NO
56,476,3.6942813038214767E-4,NO
57,95,0.9999999975370519,YES
58,550,0.003673658640060646,NO
59,136,0.0011306254335431162,NO
60,33,3.700196522133713E-4,NO
61,483,3.781337614365671E-4,NO
62,140,3.768805253109893E-4,NO
63,111,0.6504346245300076,YES
64,34,0.0011734255279014546,NO
65,39,5.337970879031568E-4,NO
66,36,4.2929057353675073E-4,NO
67,257,2.781121620752734E-4,NO
68,61,2.7353294615388874E-4,NO
69,57,3.321549940445804E-4,NO
70,124,5.010748663730943E-4,YES
71,59,6.005960944341433E-4,NO
72,32,5.406455532240077E-4,NO
73,25,0.004642568798102308,NO
74,53,7.584083926883848E-4,NO
75,53,2.031325053339623E-4,NO
76,88,0.9344115750382337,NO
77,107,0.2642474133063155,NO
78,133,3.671475443176447E-4,NO
79,169,7.531606206434794E-4,NO
80,80,8.035599071407595E-4,NO
81,29,9.217504768030284E-4,NO
82,588,0.004099118932267459,NO
83,162,5.500191215135788E-4,NO
84,39,2.5052482926945325E-4,NO
85,79,0.9711594890459193,NO
86,85,0.9999999999463912,NO
87,110,8.731415163712698E-4,NO
88,111,9.627469442186525E-4,NO
89,53,2.551864676615532E-4,NO
90,52,1.0,YES
91,154,0.9814906508177313,NO
92,403,4.648354130898337E-4,NO
93,183,0.0017493193419412482,NO
94,215,0.4797840023998538,NO
95,76,2.4474545829638206E-4,NO
96,554,0.02001667445846951,YES
97,257,0.002302717956598413,NO
98,55,0.020027225885277528,NO
99,102,0.34650293171964447,YES
100,403,0.010244049086970006,NO
101,35,0.11058839926320094,NO
102,145,0.006258627800061894,NO
103,119,0.9999566706328871,YES
104,108,0.0364550332773501,YES
105,91,2.207543782351584E-4,NO
106,69,0.004797086227680324,NO
107,80,2.2117993519768124E-4,NO
108,63,2.357831078646181E-4,NO
109,160,0.07103718776983242,NO
110,98,6.62969511733417E-4,NO
111,54,0.5660654572039587,NO
112,267,3.530572360341986E-4,NO
113,55,0.6681566844725289,NO
114,46,2.1968400648632932E-4,NO
115,226,0.0027728531612712087,NO
116,54,2.0364568278509533E-4,NO
117,270,2.3707613058439922E-4,NO
118,74,0.0015434809481210494,NO
119,359,0.09968137719776263,NO
120,78,0.0177183166450898,NO
121,180,3.894872951126913E-4,NO
122,57,0.9992528344825794,NO
123,50,6.192110908553475E-4,NO
124,243,0.004639666370351305,NO
125,254,6.509587784905721E-4,NO
126,306,9.537317806333769E-4,NO
127,139,2.0170523224848026E-4,NO
128,375,6.120286738664279E-4,NO
129,75,0.015707496547754312,NO
130,222,2.2178022560146842E-4,NO
131,61,5.991891994087101E-4,NO
132,98,3.256402740431636E-4,NO
133,28,0.02597417748672858,NO
134,55,0.0010966239121663335,NO
135,194,3.1608780418174534E-4,NO
136,28,0.04425852018895842,NO
137,50,0.13170970830624004,NO
138,55,0.0068019806915721685,NO
139,124,2.2178022560146842E-4,NO
140,87,2.6469595908856986E-4,NO
141,65,3.668479339221583E-4,NO
142,144,2.4844134893029505E-4,NO
143,134,4.996817453939061E-4,NO
144,117,2.622945841935295E-4,NO
145,28,3.799282036617275E-4,NO
146,57,0.9912991301925074,NO
147,60,3.411091256798163E-4,NO
148,62,0.858515036225432,NO
149,89,2.1238472893057045E-4,NO
150,60,2.563380582595171E-4,NO
151,68,8.583159502840621E-4,NO
152,522,0.0020552319205960185,NO
153,43,6.053206794769994E-4,NO
154,247,0.0031854066248067497,NO
155,35,0.0017002339776198052,NO
156,42,0.0038547704831150458,NO
157,57,2.828930704137933E-4,NO
158,117,5.944239852073502E-4,NO
159,61,0.0017881293023779008,NO
160,92,7.593743284629518E-4,NO
161,93,0.8868737737798216,NO
162,80,4.8563732644123057E-4,NO
163,101,0.0011659533940646019,NO
164,59,2.9734052865782525E-4,NO
165,84,2.9734052865782525E-4,NO
166,82,0.08474495178025149,NO
167,172,5.631671020106352E-4,NO
168,143,0.006589474203573509,NO
169,78,0.045749374615608886,NO
170,66,0.0060322848923251154,NO
171,66,0.0011038984967252229,NO
172,85,8.291055762417875E-4,NO
173,54,0.002538362084189789,NO
174,77,0.03400572699273516,NO
175,137,0.024346538093769778,NO
176,130,0.36594341686327403,NO
177,79,0.05239105138680463,NO
178,76,4.161896814635161E-4,NO
179,81,0.0033822080890703664,NO
180,98,0.0020730932464910145,NO
181,115,2.3152752901419118E-4,NO
182,180,0.15086054303587818,NO
