ID,Size,Predicted %,Actual value
0,40,0.0037828272749335333,YES
1,28,0.0036766590202278447,NO
2,28,0.0036766590202278447,NO
3,449,1.0,YES
4,1358,1.0,NO
5,25,0.0036167500112907584,NO
6,39,0.004164310865898734,NO
7,50,0.004620569247069339,NO
8,82,0.014926924494303117,NO
9,41,0.007516194337027576,NO
10,245,0.8021250663718149,NO
11,227,0.9509505277257922,NO
12,363,0.9999861345335949,NO
13,375,0.9999999091381612,YES
14,145,0.7787744581489192,NO
15,49,0.006230255192215396,NO
16,85,0.01596008815419747,NO
17,64,0.006927066629513975,NO
18,36,0.004398136916233577,NO
19,37,0.007622177882890318,NO
20,92,0.0034963558710010756,NO
21,32,0.00470529800154579,NO
22,26,0.999999999995323,YES
23,669,0.9997859653685917,NO
24,398,0.32026290644967687,NO
25,206,0.007143205112297242,NO
26,24,0.007143205112297242,NO
27,24,0.0036610418234710195,NO
28,27,0.0036766590202278447,NO
29,30,0.9989722976707087,NO
30,428,1.0,NO
31,972,0.9999848647745914,NO
32,123,0.9999999999999927,NO
33,562,0.30078852610973444,NO
34,205,0.00475376070649104,NO
35,37,0.004691867390807907,NO
36,35,0.6356225952622091,NO
37,276,0.9989504190656325,NO
38,316,0.13212725359209196,NO
39,204,0.23512359027578755,NO
40,133,0.46916184975716135,NO
41,285,0.9154196417564044,NO
42,336,0.9999280731607558,NO
43,464,0.7996733155885086,NO
44,294,0.027111600522450627,NO
45,76,0.011187304766281351,NO
46,69,0.9393782336234845,NO
47,266,0.759972290280548,NO
48,247,0.7992894438768428,NO
49,217,0.054007500862307274,NO
50,99,0.9919268823614907,NO
51,191,0.9999502542538035,NO
52,476,0.02080950689945053,NO
53,95,1.0,YES
54,550,0.045700608325744324,NO
55,136,0.0038839451187930255,NO
56,33,0.9999999996340515,YES
57,479,0.6950122507909726,NO
58,140,0.16812928234032665,NO
59,111,0.003939575760678732,NO
60,34,0.0042759592765747164,NO
61,39,0.0042759592765747164,NO
62,36,0.8699654281310975,YES
63,202,0.09493062485490285,NO
64,106,0.08020984473683063,NO
65,57,0.015089663839198682,NO
66,43,0.009283235937985433,NO
67,27,0.004466696823496533,NO
68,25,0.007680823270836144,NO
69,53,0.021418775368078014,YES
70,88,0.06749381544759395,NO
71,107,0.05435818064353899,NO
72,132,0.9664243751447646,NO
73,169,3.1643051872028854E-4,NO
74,80,0.003288996757522894,NO
75,29,1.0,NO
76,430,0.011678511039013566,NO
77,79,0.016588121298007786,NO
78,85,0.9733543189392694,NO
79,110,0.19695769266915217,NO
80,111,0.0074526963167653665,NO
81,53,0.005449702293383685,NO
82,52,2.390378403070152E-68,NO
83,158,1.0935970484189632E-66,NO
84,270,0.44821355994129874,NO
85,183,0.8539296034532264,NO
86,215,0.011801865136184477,NO
87,76,0.9999999999758541,YES
88,285,0.9999999999999998,NO
89,258,0.0014254116663123535,NO
90,55,9.995998820275544E-4,NO
91,102,0.9995509527285674,NO
92,403,0.004597831470501123,NO
93,35,0.3368082882364607,YES
94,145,0.1547680217800692,NO
95,119,0.014570077775639626,NO
96,71,0.12912063209753893,YES
97,75,0.3873780970028202,NO
98,69,0.10376316630315606,YES
99,80,0.28152055265155096,NO
100,63,0.832758762710092,YES
101,120,0.7845714111571571,YES
102,98,0.005197778570403853,NO
103,54,0.9999998469001026,NO
104,267,0.005439537753636325,NO
105,55,0.0031916601896775265,NO
106,46,0.9999937999979956,NO
107,226,0.0018493120718974982,NO
108,54,0.4480017496041997,NO
109,270,0.013932498440952137,NO
110,74,1.0,NO
111,359,0.01060719789727438,NO
112,78,0.9871056750248727,NO
113,180,0.004905163704355031,NO
114,57,0.003364694712070481,NO
115,50,0.9999906449577056,NO
116,243,5.1646562409420846E-5,NO
117,254,0.9999999999377849,NO
118,306,0.35342043638832304,NO
119,139,0.999964787505467,NO
120,375,0.022908870844741074,NO
121,75,0.9999372378871195,NO
122,222,0.0025967498639207715,NO
123,61,2.097166054557878E-6,NO
124,98,0.40625979159331854,NO
125,28,0.0076765669712225044,NO
126,55,0.01900315364761591,NO
127,194,0.0029247905160743265,NO
128,28,1.3340446201136973E-4,NO
129,50,0.03554318703607348,NO
130,55,0.0035706341791160645,NO
131,118,0.6713170561293369,NO
132,87,1.5700225979750659E-71,NO
133,65,0.0076765669712225044,NO
134,144,0.009992477799425477,NO
135,117,0.0016335034175404496,NO
136,28,0.0012996083013318536,NO
137,57,6.7382713241882294E-6,NO
138,60,0.0012486346673411053,NO
139,62,1.138768876823894E-4,NO
140,89,0.9999999999995511,NO
141,60,1.642205836745174E-6,NO
142,68,4.941167904015943E-64,NO
143,522,0.0028224558813741054,NO
144,43,0.004732093032435062,NO
145,247,3.075665807037437E-6,NO
146,35,0.05424332107378193,NO
147,42,0.003948443044490699,NO
148,57,0.007886004704549598,NO
149,91,1.5103398085416518E-7,NO
150,61,2.5208675104144886E-5,NO
151,92,0.0071903376501251315,NO
152,93,0.0026495492606421135,NO
153,80,0.012211065011715113,NO
154,101,4.2087017810427845E-4,NO
155,59,2.2979957539795568E-6,NO
156,84,0.010659493018064759,NO
157,82,0.032588577683472876,NO
158,132,0.011529872562265193,NO
159,143,0.011529872562265193,NO
160,78,0.012085005029432666,YES
161,66,0.0101837243770085,NO
162,66,0.09380105255597156,NO
163,85,0.07357554601455352,NO
164,54,0.05342646124234984,NO
165,77,0.023224517499679628,NO
166,137,0.018785011921625752,NO
167,130,0.05709787013000017,NO
168,79,0.33226779716206534,NO
169,76,0.1571236158384636,NO
170,81,0.02538678765662967,NO
171,98,0.0033995608679960264,NO
172,115,0.013527500619029015,NO
173,180,6.880666303596866E-5,NO
174,118,0.03865987088357496,NO
175,64,0.004745078571145627,NO
176,95,0.10519022007098831,NO
