ID,Size,Predicted %,Actual value
0,45,0.05383317523773845,YES
1,28,0.0,NO
2,28,0.0,NO
3,449,0.5088809523809523,YES
4,1470,0.06866666666666665,YES
5,25,0.0,NO
6,39,0.0,NO
7,47,0.0,NO
8,30,0.0,NO
9,215,0.66,NO
10,50,0.0,NO
11,82,0.0,NO
12,41,0.0,NO
13,245,0.0,NO
14,227,0.04,NO
15,363,0.045,NO
16,407,0.555,NO
17,145,0.005,NO
18,49,0.0,NO
19,85,0.0,NO
20,64,0.0,NO
21,36,0.0,NO
22,37,0.0,NO
23,83,0.0,NO
24,32,0.0,NO
25,26,0.0,NO
26,834,0.36166666666666664,YES
27,365,0.0,NO
28,206,0.905,YES
29,24,0.0,NO
30,24,0.0,NO
31,27,0.0,NO
32,260,0.11,NO
33,30,0.0,NO
34,428,0.01,NO
35,972,0.0,NO
36,123,0.0,NO
37,562,0.0,NO
38,205,0.0,NO
39,37,0.0,NO
40,35,0.0,NO
41,276,0.0,NO
42,316,0.0,NO
43,204,0.1449797702297702,NO
44,133,0.0,NO
45,285,0.005333333333333333,NO
46,336,0.0,NO
47,464,0.0,NO
48,294,0.0,NO
49,76,0.0,NO
50,69,0.0,NO
51,266,0.335617216117216,NO
52,247,0.0,NO
53,217,0.0,NO
54,99,0.0,NO
55,191,0.0,NO
56,476,0.3491468253968254,NO
57,95,0.0,NO
58,550,0.003333333333333333,NO
59,136,0.0,NO
60,33,0.0,NO
61,464,0.67,YES
62,140,0.02,NO
63,111,0.0225,NO
64,34,0.0,NO
65,39,0.0,NO
66,36,0.0,NO
67,257,0.22,YES
68,61,0.017,NO
69,57,0.0,NO
70,124,0.13116666666666665,NO
71,59,0.0215,NO
72,32,0.02089260739260739,NO
73,25,0.0,NO
74,53,0.0,NO
75,53,0.1754794372294372,NO
76,88,0.24817979242979235,YES
77,107,0.006111111111111111,NO
78,133,0.01,NO
79,169,0.0,NO
80,80,0.0,NO
81,29,0.0,NO
82,588,0.21783333333333332,NO
83,162,0.0,NO
84,39,0.0,NO
85,79,0.0,NO
86,85,0.0,NO
87,110,0.0,NO
88,111,0.0,NO
89,53,0.0,NO
90,52,0.0,NO
91,154,0.054499999999999986,NO
92,403,0.35,NO
93,183,0.0,NO
94,215,0.01,NO
95,76,0.0,NO
96,564,0.645,YES
97,257,0.26,NO
98,55,0.0,NO
99,102,0.0025,NO
100,403,0.0,NO
101,35,0.0,NO
102,145,0.82,YES
103,119,0.048,NO
104,108,0.5589031801531802,NO
105,91,0.97,YES
106,69,0.1,NO
107,80,0.7532142857142857,NO
108,63,0.08,NO
109,160,0.52,YES
110,98,0.94,YES
111,54,0.0,NO
112,267,0.0,NO
113,55,0.0,NO
114,46,0.0,NO
115,226,0.006,NO
116,54,0.0,NO
117,270,0.0,NO
118,74,0.0,NO
119,359,0.0,NO
120,78,0.0,NO
121,180,0.0,NO
122,57,0.0,NO
123,50,0.0,NO
124,243,0.0,NO
125,254,0.007272727272727273,NO
126,306,0.008333333333333333,NO
127,139,0.0833726149982682,NO
128,375,0.0,NO
129,75,0.0,NO
130,222,0.05,NO
131,61,0.0,NO
132,98,0.01,NO
133,28,0.0833726149982682,NO
134,55,0.0,NO
135,194,0.0,NO
136,28,0.0,NO
137,50,0.03,NO
138,55,0.0,NO
139,124,0.0,NO
140,87,0.019952380952380954,NO
141,65,0.0,NO
142,144,0.04,NO
143,134,0.0,NO
144,117,0.0,NO
145,28,0.0,NO
146,57,0.0,NO
147,60,0.0,NO
148,62,0.0833726149982682,NO
149,89,0.0833726149982682,NO
150,60,0.0,NO
151,68,0.0,NO
152,522,0.22116666666666668,NO
153,43,0.0833726149982682,NO
154,247,0.012272727272727274,NO
155,35,0.0833726149982682,NO
156,42,0.0,NO
157,57,0.0,NO
158,117,0.0,YES
159,61,0.0,NO
160,92,0.0636111111111111,NO
161,93,0.0,NO
162,80,0.0,NO
163,101,0.0,NO
164,59,0.0,NO
165,84,0.015428571428571427,NO
166,82,0.0,NO
167,172,0.31,YES
168,143,0.0,NO
169,78,0.0,NO
170,66,0.0,NO
171,66,0.0,NO
172,310,0.18095779220779223,NO
173,86,0.0,NO
174,66,0.018333333333333333,NO
175,85,0.0,NO
176,54,0.07,YES
177,77,0.0,NO
178,137,0.0,NO
179,130,0.0,NO
180,79,0.0,NO
181,76,0.004861111111111111,NO
182,81,0.015,NO
183,98,0.0,NO
184,115,0.13766666666666663,NO
185,180,0.05,YES
186,118,0.006666666666666665,NO
187,132,0.0,NO
188,95,0.0045000000000000005,YES
