ID,Size,Predicted %,Actual value
0,28,0.01,NO
1,28,0.01,NO
2,387,0.59,YES
3,1087,0.87,YES
4,25,0.01,NO
5,50,0.14,NO
6,76,0.85,NO
7,38,0.84,NO
8,168,0.19,NO
9,267,0.64,NO
10,374,0.47,NO
11,145,0.26,NO
12,85,0.88,YES
13,64,0.62,YES
14,36,0.38,YES
15,36,0.1,NO
16,36,0.01,NO
17,26,0.57,NO
18,491,0.39,NO
19,354,0.51,NO
20,196,0.19,NO
21,24,0.22,NO
22,27,0.89,NO
23,55,0.27,NO
24,54,0.26,NO
25,26,0.27,NO
26,187,0.13,NO
27,983,0.27,NO
28,252,0.43,NO
29,620,0.27,NO
30,37,0.22,NO
31,35,0.32,NO
32,286,0.3,NO
33,232,0.32,NO
34,203,0.34,NO
35,270,0.41,NO
36,425,0.21,NO
37,244,0.11,NO
38,74,0.47,NO
39,69,0.3,NO
40,228,0.15,NO
41,231,0.25,NO
42,202,0.24,NO
43,99,0.07,NO
44,191,0.25,NO
45,447,0.75,NO
46,95,0.41,NO
47,549,0.4,NO
48,136,0.2,NO
49,40,0.49,NO
50,86,0.39,NO
51,90,0.27,NO
52,79,0.56,NO
53,85,0.06,NO
54,59,0.29,NO
55,112,0.13,NO
56,52,0.18,NO
57,157,0.8,YES
58,74,0.55,YES
59,230,0.27,YES
60,211,0.47,NO
61,55,0.54,YES
62,29,0.43,NO
63,111,0.03,NO
64,98,0.82,YES
65,43,0.47,YES
66,54,0.55,YES
67,205,0.4,NO
68,121,0.35,YES
69,107,0.18,NO
70,74,0.12,NO
71,76,0.25,YES
72,412,0.43,NO
73,146,0.55,YES
74,125,0.21,NO
