ID,Size,Predicted %,Actual value
0,28,0.0,NO
1,28,0.0,NO
2,449,0.07,NO
3,1339,0.3492619047619047,YES
4,25,0.0,NO
5,50,0.0,NO
6,76,0.0,NO
7,38,0.0,NO
8,178,0.03,NO
9,326,0.49833333333333335,NO
10,370,0.79,YES
11,145,0.09666666666666665,NO
12,49,0.0,NO
13,85,0.0,NO
14,64,0.0,NO
15,36,0.17985156510156514,NO
16,36,0.061,NO
17,32,0.0,NO
18,26,0.7,YES
19,543,0.9,NO
20,395,0.685,NO
21,209,0.0,NO
22,24,0.0,NO
23,24,0.0,NO
24,27,0.33649999999999997,NO
25,73,0.0275,NO
26,56,0.0,NO
27,30,0.0,NO
28,294,0.01,NO
29,983,0.0,NO
30,262,0.2379642857142857,NO
31,626,0.09,NO
32,37,0.0,NO
33,35,0.0,NO
34,286,0.0,NO
35,232,0.0,NO
36,203,0.0,NO
37,286,0.01,NO
38,425,0.0,NO
39,249,0.14171259296259298,NO
40,74,0.0,NO
41,69,0.3159285714285714,NO
42,247,0.0,NO
43,237,0.009285714285714286,NO
44,214,0.28557936507936504,NO
45,99,0.01,NO
46,191,0.74,NO
47,464,0.0,NO
48,95,0.0,NO
49,549,0.0,NO
50,136,0.0,NO
51,40,0.0,NO
52,86,0.0025,NO
53,105,0.0,NO
54,79,0.0,NO
55,85,0.09,NO
56,72,0.2624166666666667,NO
57,105,0.0,NO
58,52,0.6683333333333333,NO
59,151,0.556,NO
60,264,0.10099999999999999,NO
61,183,0.05,NO
62,195,0.0,NO
63,76,0.66,NO
64,250,0.58,NO
65,237,0.0,NO
66,55,0.019916666666666666,NO
67,102,0.0,NO
68,389,0.015,NO
69,35,0.0,NO
70,130,0.0,NO
71,114,0.07666666666666665,NO
72,71,0.0,NO
73,54,0.0,NO
74,267,0.76,NO
75,55,0.01,NO
76,46,0.69,NO
77,226,0.0,NO
78,54,0.81,NO
79,266,0.04,NO
80,74,0.47,NO
81,359,0.0,NO
82,78,0.0,NO
83,181,0.0525,NO
84,57,0.77,NO
85,50,0.12,NO
86,243,0.06,NO
87,253,0.8,NO
88,306,0.1,NO
89,139,0.3433333333333334,NO
90,375,0.0,NO
91,75,0.07,NO
92,222,0.03,NO
93,28,0.0,NO
94,55,0.86,NO
95,154,0.06,NO
96,25,0.47,NO
97,50,0.55,NO
98,41,0.05,NO
99,101,0.11,NO
100,84,0.20800000000000005,NO
101,51,0.0,NO
102,135,0.0,NO
103,117,0.0,NO
104,25,0.0,NO
105,54,0.0,NO
106,60,0.0,NO
107,62,0.0,NO
108,83,0.298,NO
109,60,0.14533966033966036,NO
110,63,0.09683333333333334,NO
111,452,0.7075,NO
112,43,0.03339285714285715,NO
113,247,0.0675,NO
114,35,0.18,NO
115,42,0.06,NO
116,57,0.05,NO
117,156,0.03339285714285715,NO
118,61,0.3733931623931624,NO
119,91,0.1056904761904762,NO
120,93,0.7104761904761905,NO
121,80,0.0,NO
122,101,0.0,NO
123,59,1.0,NO
124,84,0.32666666666666666,NO
125,82,0.7853571428571428,NO
126,132,0.0,NO
127,76,0.2375,NO
128,33,0.0,NO
129,430,0.0,NO
130,153,0.0,NO
131,122,0.0,NO
132,75,0.0,NO
133,60,0.6041666666666666,YES
134,34,0.78,NO
135,39,0.23,NO
136,36,0.69,NO
137,79,0.006999999999999998,NO
138,28,0.16352716727716732,NO
139,438,0.0,NO
140,194,0.0,NO
141,99,0.04,NO
142,55,0.02,NO
143,43,0.0,NO
144,27,0.0,NO
145,25,0.01,NO
146,53,0.013333333333333332,NO
147,108,0.4678376068376069,NO
148,103,0.06,NO
149,85,0.7147997557997559,NO
150,54,0.26694444444444443,NO
151,79,0.01,NO
152,137,0.01,NO
153,99,0.2718333333333333,NO
154,79,0.0,NO
155,78,0.46666666666666673,NO
156,101,0.5655,NO
157,177,0.1980833333333333,NO
