ID,Size,Predicted %,Actual value
0,40,0.31,YES
1,28,0.0,NO
2,28,0.0,NO
3,449,0.925,YES
4,1470,1.0,NO
5,25,0.0,NO
6,39,0.18,NO
7,50,0.0,NO
8,82,0.15,NO
9,41,0.43,NO
10,245,0.76,NO
11,227,0.84,NO
12,363,0.82,NO
13,407,0.99,YES
14,145,0.71,NO
15,49,0.02,NO
16,85,0.0,NO
17,64,0.0,NO
18,36,0.05,NO
19,37,0.04,NO
20,83,0.33,NO
21,32,0.14,NO
22,26,0.16,NO
23,686,0.89,YES
24,398,0.7,NO
25,206,0.68,YES
26,24,0.02,NO
27,24,0.02,NO
28,27,0.04,NO
29,30,0.04,NO
30,428,0.72,NO
31,972,0.495,NO
32,123,0.19,NO
33,562,0.29,NO
34,205,0.1418333333333333,NO
35,37,0.01,NO
36,35,0.0,NO
37,276,0.07333333333333333,NO
38,316,0.13166666666666665,NO
39,204,0.3544166666666667,NO
40,133,0.07,NO
41,285,0.17833333333333334,NO
42,336,0.3966666666666667,NO
43,464,0.615,NO
44,294,0.455,NO
45,76,0.34,NO
46,69,0.0,NO
47,266,0.84,NO
48,247,0.69,NO
49,217,0.49,NO
50,99,0.38,NO
51,191,0.035,NO
52,476,0.99,NO
53,95,0.01,NO
54,550,0.73,NO
55,136,0.05,NO
56,33,0.0,NO
57,483,1.0,YES
58,140,0.69,NO
59,111,0.38,NO
60,34,0.0,NO
61,39,0.09,NO
62,36,0.04,NO
63,210,0.77,YES
64,111,0.15,NO
65,57,0.39,NO
66,43,0.24,NO
67,27,0.08,NO
68,25,0.08,NO
69,53,0.07,NO
70,88,0.49,YES
71,107,0.38,NO
72,132,0.19,NO
73,169,0.32375,NO
74,80,0.05,NO
75,29,0.07,NO
76,430,0.69,NO
77,162,0.02,NO
78,39,0.1,NO
79,79,0.18,NO
80,85,0.64,NO
81,110,0.0,NO
82,111,0.02,NO
83,53,0.31,NO
84,52,0.74,YES
85,154,0.09,NO
86,403,0.3784166666666667,NO
87,183,0.08,NO
88,215,0.93,YES
89,76,0.77,NO
90,554,0.0,NO
91,257,0.09833333333333333,NO
92,55,0.77,NO
93,102,0.0,NO
94,403,0.55,YES
95,35,0.81,NO
96,145,0.205,YES
97,119,0.85,YES
98,108,0.97,NO
99,91,0.81,YES
100,69,0.93,NO
101,80,0.9,YES
102,63,0.92,YES
103,160,0.06,NO
104,98,0.51375,NO
105,54,0.06,NO
106,267,0.04,NO
107,55,0.68,NO
108,46,0.11,NO
109,226,0.6,NO
110,54,0.02,NO
111,270,0.46,NO
112,74,0.0,NO
113,359,0.525,NO
114,78,0.02,NO
115,180,0.0,NO
116,57,0.52,NO
117,50,0.32,NO
118,243,0.63,NO
119,254,0.09,NO
120,306,0.93,NO
121,139,0.18,NO
122,375,0.51075,NO
123,75,0.02,NO
124,222,0.49,NO
125,61,0.07,NO
126,98,0.02,NO
127,28,0.48,NO
128,55,0.03,NO
129,194,0.64,NO
130,28,0.11,NO
131,50,0.25,NO
132,55,0.62,NO
133,124,0.12,NO
134,87,0.41,NO
135,65,0.21,NO
136,144,0.03,NO
137,134,0.01,NO
138,117,0.01,NO
139,28,0.04,NO
140,57,0.06,NO
141,60,0.02,NO
142,62,0.0,NO
143,89,0.79,NO
144,60,0.07,NO
145,68,0.54,NO
146,522,0.04,NO
147,43,0.07,NO
148,247,0.0,NO
149,35,0.29,NO
150,42,0.51,NO
151,57,0.67,NO
152,117,0.03,NO
153,61,0.6,NO
154,92,0.07,NO
155,93,0.46,NO
156,80,0.79,NO
157,101,0.23,NO
158,59,0.53,NO
159,84,0.08,NO
160,82,0.37,NO
161,172,0.03,NO
162,143,0.03,NO
163,78,0.76,YES
164,66,0.2,NO
165,66,0.52,NO
166,85,0.52,NO
167,54,0.47,NO
168,77,0.13,NO
169,137,0.07,NO
170,130,0.75,NO
171,79,0.05,NO
172,76,0.47,NO
173,81,0.77,NO
174,98,0.09,NO
175,115,0.04,NO
176,180,0.19,NO
177,118,0.32,NO
178,64,0.0,NO
179,95,0.57,NO
