ID,Size,Predicted %,Actual value
0,28,0.0,NO
1,28,0.0,NO
2,449,0.3062029914529915,NO
3,1339,0.7134603174603175,YES
4,25,0.0,NO
5,50,0.0,NO
6,76,0.0,NO
7,38,0.02,NO
8,178,0.43,NO
9,326,0.87,NO
10,370,0.91,YES
11,145,0.32575757575757575,NO
12,49,0.02,NO
13,85,0.0,NO
14,64,0.01,NO
15,36,0.0,NO
16,36,0.11,NO
17,32,0.01,NO
18,26,0.85,YES
19,543,0.83,NO
20,395,0.64,NO
21,209,0.01,NO
22,24,0.0,NO
23,24,0.0,NO
24,27,0.55,NO
25,73,0.1521348096348096,NO
26,56,0.11,NO
27,30,0.2,NO
28,294,0.025,NO
29,983,0.02,NO
30,262,0.05,NO
31,626,0.15,NO
32,37,0.0,NO
33,35,0.01,NO
34,286,0.008,NO
35,232,0.02,NO
36,203,0.03,NO
37,286,0.0775,NO
38,425,0.02,NO
39,249,0.027999999999999997,NO
40,74,0.0,NO
41,69,0.7444087301587302,NO
42,247,0.5922857142857143,NO
43,237,0.06612820512820512,NO
44,214,0.04,NO
45,99,0.04,NO
46,191,0.85,NO
47,464,0.01,NO
48,95,0.056055555555555546,NO
49,549,0.0675,NO
50,136,0.02,NO
51,40,0.0,NO
52,86,0.24,NO
53,105,0.01,NO
54,79,0.01,NO
55,85,0.358,NO
56,72,0.11735042735042735,NO
57,105,0.0,NO
58,52,0.28,NO
59,151,0.43916666666666665,NO
60,264,0.25,NO
61,183,0.34,NO
62,195,0.08,NO
63,76,0.66,NO
64,250,0.7,NO
65,237,0.0,NO
66,55,0.09,NO
67,102,0.04,NO
68,389,0.13,NO
69,35,0.15737500000000001,NO
70,130,0.07,NO
71,114,0.17777777777777778,NO
72,71,0.02,NO
73,54,0.12,NO
74,267,0.56,NO
75,55,0.08900000000000001,NO
76,46,0.4,NO
77,226,0.03,NO
78,54,0.57,NO
79,266,0.1,NO
80,74,0.17,NO
81,359,0.07,NO
82,78,0.03,NO
83,181,0.27,NO
84,57,0.31,NO
85,50,0.35,NO
86,243,0.48,NO
87,253,0.49,NO
88,306,0.25,NO
89,139,0.3877777777777778,NO
90,375,0.03,NO
91,75,0.01,NO
92,222,0.3393333333333334,NO
93,28,0.01,NO
94,55,0.5,NO
95,154,0.16,NO
96,25,0.44,NO
97,50,0.36,NO
98,41,0.14,NO
99,101,0.03,NO
100,84,0.33,NO
101,51,0.01,NO
102,135,0.06,NO
103,117,0.09,NO
104,25,0.0,NO
105,54,0.03,NO
106,60,0.0,NO
107,62,0.02,NO
108,83,0.52,NO
109,60,0.08,NO
110,63,0.01,NO
111,452,0.28,NO
112,43,0.06,NO
113,247,0.06,NO
114,35,0.04,NO
115,42,0.02,NO
116,57,0.21,NO
117,156,0.06,NO
118,61,0.06,NO
119,91,0.1,NO
120,93,0.31916666666666665,NO
121,80,0.01,NO
122,101,0.0,NO
123,59,0.92,NO
124,84,0.750404761904762,NO
125,82,0.6938888888888889,NO
126,132,0.04,NO
127,76,0.49833333333333335,NO
128,33,0.0,NO
129,430,0.0,NO
130,153,0.0,NO
131,122,0.0,NO
132,75,0.0,NO
133,60,0.72,YES
134,34,0.69,NO
135,39,0.5,NO
136,36,0.56,NO
137,79,0.24,NO
138,28,0.0,NO
139,438,0.0,NO
140,194,0.1288888888888889,NO
141,99,0.45,NO
142,55,0.3088888888888889,NO
143,43,0.05,NO
144,27,0.03,NO
145,25,0.18870445344129558,NO
146,53,0.04,NO
147,108,0.1,NO
148,103,0.24,NO
149,85,0.520695184932027,NO
150,54,0.51,NO
151,79,0.13,NO
152,137,0.03,NO
153,99,0.07666666666666666,NO
154,79,0.01,NO
155,78,0.315,NO
156,101,0.41211111111111115,NO
157,177,0.08,NO
