ID,Size,Predicted %,Actual value
0,28,0.0,NO
1,28,0.0,NO
2,449,0.53,NO
3,1311,0.04,YES
4,25,0.0,NO
5,50,0.0,NO
6,76,0.02,NO
7,38,0.0,NO
8,175,0.02,NO
9,326,1.0,YES
10,370,0.75,YES
11,145,1.0,YES
12,85,0.0,NO
13,64,0.0,NO
14,36,0.0,NO
15,36,0.0,NO
16,32,0.079,NO
17,26,0.0,NO
18,527,0.71,YES
19,395,0.49,YES
20,213,0.06,NO
21,24,0.0,NO
22,24,0.0,NO
23,27,1.0,YES
24,73,0.1766480251774369,NO
25,56,0.0,NO
26,30,0.43583333333333335,NO
27,294,0.02,NO
28,983,0.0,NO
29,252,0.02,NO
30,620,0.0,NO
31,37,0.0,NO
32,35,0.0,NO
33,286,0.03,NO
34,232,0.0,NO
35,203,0.0,NO
36,270,0.05,NO
37,425,0.01,NO
38,244,0.23484126984126985,NO
39,74,0.04,NO
40,69,0.64,NO
41,247,0.05,NO
42,237,0.02,NO
43,202,0.07,NO
44,99,0.01,NO
45,191,1.0,YES
46,464,0.0,NO
47,95,0.13,NO
48,549,0.11,NO
49,136,0.02,NO
50,40,0.0,NO
51,86,0.0,NO
52,105,0.0,NO
53,79,0.0,NO
54,85,0.03,NO
55,72,0.2,NO
56,105,0.0,NO
57,52,0.97,YES
58,151,0.0,NO
59,264,0.51,YES
60,183,0.44,YES
61,195,0.0,NO
62,76,0.0,NO
63,250,0.0,NO
64,237,0.28,NO
65,55,0.34,NO
66,35,0.07,NO
67,110,0.0,NO
68,114,0.43,NO
69,71,0.34,NO
70,54,0.05,NO
71,267,0.01,NO
72,55,0.13,NO
73,46,0.03,NO
74,226,0.09,NO
75,54,0.01,NO
76,266,0.02,NO
77,74,0.02,NO
78,359,0.07,NO
79,78,0.01,NO
80,181,0.08,NO
81,57,0.03,NO
82,50,0.0,NO
83,243,0.92,YES
84,253,0.02,YES
85,306,0.03,YES
86,139,0.02,NO
87,375,0.8236413725593292,YES
88,75,0.0,NO
89,222,0.02,NO
90,28,0.0,NO
91,55,0.0,NO
92,149,0.0,NO
93,25,0.61,NO
94,50,0.0,NO
95,41,0.0,NO
96,101,0.18146807440925086,NO
97,81,0.0,NO
98,51,0.0,NO
99,135,0.0,NO
100,117,0.01,NO
101,25,1.0,YES
102,54,0.11,NO
103,60,0.02,NO
104,62,0.02,NO
105,83,0.19,NO
106,60,0.01,NO
107,63,0.0,NO
108,452,1.0,YES
109,42,0.06,NO
110,57,0.0,NO
111,156,0.0,NO
112,61,0.0,NO
113,91,0.0,NO
114,93,0.19,NO
