ID,Size,Predicted %,Actual value
0,40,0.0,NO
1,28,0.0,NO
2,28,0.6,NO
3,449,0.86,NO
4,1352,0.0,NO
5,25,0.0,NO
6,39,0.01,NO
7,50,0.17,NO
8,76,0.7825,NO
9,40,0.8233333333333333,NO
10,245,0.98,YES
11,227,0.4925,NO
12,363,0.42,NO
13,375,0.07,NO
14,145,0.04,NO
15,49,0.09,NO
16,85,0.01,NO
17,64,0.03,NO
18,36,0.01,NO
19,37,0.89,YES
20,32,0.664,NO
21,26,0.826,NO
22,660,0.0,NO
23,398,0.0,NO
24,206,0.0,NO
25,24,0.69,NO
26,24,0.28,NO
27,27,0.09,NO
28,30,0.69,NO
29,428,0.07,NO
30,972,0.54,NO
31,123,0.76,NO
32,562,0.02,NO
33,205,0.01,NO
34,37,0.09,NO
35,35,0.1,NO
36,276,0.20433333333333334,YES
37,316,0.41,NO
38,204,0.33,NO
39,133,0.55,NO
40,285,0.12,NO
41,336,0.13,NO
42,464,0.675,YES
43,294,0.601,NO
44,76,0.59,NO
45,69,0.09,NO
46,266,0.32,NO
47,247,0.97,YES
48,217,0.06,NO
49,99,0.27,NO
50,191,0.08666666666666664,NO
51,476,0.04,NO
52,95,0.02,NO
53,549,0.1225,NO
54,136,0.02,NO
55,33,0.05,NO
56,478,0.13,NO
57,140,0.21,NO
58,111,0.04,NO
59,34,0.324,NO
60,39,0.5525,NO
61,36,0.21,NO
62,202,0.37666666666666665,NO
63,106,0.3,NO
64,57,0.95,NO
65,43,0.91,NO
66,27,0.03,NO
67,25,0.16,NO
68,53,0.66,NO
69,88,0.04,NO
70,107,0.44,YES
71,132,0.1925,YES
72,169,0.22666666666666668,NO
73,80,0.35,NO
74,29,0.30583333333333335,NO
75,430,0.36,NO
76,79,0.01,NO
77,85,0.88,NO
78,110,0.24,NO
79,111,0.725,NO
80,53,0.15,NO
81,52,0.775,NO
82,155,0.05,NO
83,270,0.373,NO
84,183,0.05,NO
85,215,0.0,NO
86,76,0.15,NO
87,285,0.48416666666666663,NO
88,258,0.29,NO
89,55,0.22333333333333336,NO
90,102,0.75,NO
91,390,0.29,NO
92,35,0.345,NO
93,145,0.0,NO
94,119,0.07,NO
95,71,0.35,NO
96,75,0.0,NO
97,69,0.56,NO
98,80,0.04,NO
99,63,0.15666666666666665,NO
100,120,0.62,NO
101,98,0.0,NO
102,54,0.39,NO
103,267,0.14,NO
104,55,0.0,NO
105,46,0.24,NO
106,226,0.16,NO
107,54,0.01,NO
108,270,0.05,NO
109,74,0.0,NO
110,359,0.01,NO
111,78,0.6373333333333333,NO
112,180,0.33,NO
113,57,0.31,NO
114,50,0.39,NO
115,243,0.11,NO
116,254,0.07,NO
117,306,0.4283333333333333,NO
118,139,0.23,NO
119,375,0.13,NO
120,75,0.14,NO
121,222,0.11,NO
122,28,0.06,NO
123,55,0.19,NO
124,187,0.355,NO
125,28,0.12,NO
126,50,0.58,NO
127,41,0.18166666666666667,NO
128,113,0.01,NO
129,87,0.9,NO
130,51,0.7938333333333333,NO
131,144,0.9008333333333333,NO
132,117,0.15,NO
133,28,0.21,NO
134,57,0.01,NO
135,60,0.02,NO
136,62,0.01,NO
137,83,0.0,NO
138,60,0.0,NO
139,63,0.43,YES
140,522,0.84,NO
141,43,0.14,NO
142,247,0.27,NO
143,35,0.7,NO
144,42,0.0,NO
145,57,0.0,NO
146,91,0.49,NO
147,61,0.91,NO
148,92,0.3,NO
149,93,0.34,NO
150,80,0.37666666666666665,NO
151,101,0.62,NO
152,59,0.38,NO
153,84,0.33,NO
154,82,0.09666666666666668,NO
155,132,0.76,NO
156,143,0.2,NO
157,78,0.22,NO
158,66,0.294,NO
159,66,0.1855,NO
160,85,0.04,NO
161,54,0.35,NO
162,77,0.5233333333333333,NO
163,137,0.3708333333333333,NO
