ID,Size,Predicted %,Actual value
0,215,9.319664492078286E-4,NO
1,274,0.9990680335507922,NO
2,461,9.319664492078286E-4,YES
3,138,0.5,NO
4,358,0.9990680335507922,NO
5,1248,0.9990680335507922,YES
6,51,4.6641791044776124E-4,NO
7,45,9.319664492078286E-4,NO
8,157,4.6641791044776124E-4,NO
9,31,9.319664492078286E-4,NO
10,1008,9.319664492078286E-4,NO
11,55,9.319664492078286E-4,YES
12,204,0.9990680335507922,NO
13,55,0.9990680335507922,YES
14,103,4.6641791044776124E-4,NO
15,83,0.9990680335507922,NO
16,262,0.9990680335507922,NO
17,83,9.319664492078286E-4,NO
18,867,0.9990680335507922,YES
19,40,4.6641791044776124E-4,NO
20,387,4.6641791044776124E-4,NO
21,390,9.319664492078286E-4,YES
22,51,0.9990680335507922,NO
23,637,9.319664492078286E-4,NO
24,32,9.319664492078286E-4,NO
25,68,4.6641791044776124E-4,NO
26,547,0.9990680335507922,NO
27,566,4.6641791044776124E-4,NO
28,314,9.319664492078286E-4,NO
29,839,9.319664492078286E-4,NO
30,211,9.319664492078286E-4,NO
31,31,0.9990680335507922,NO
32,50,4.6641791044776124E-4,NO
33,27,9.319664492078286E-4,NO
34,175,9.319664492078286E-4,NO
35,50,3.110419906687403E-4,NO
36,62,9.319664492078286E-4,NO
37,87,4.6641791044776124E-4,NO
38,52,9.319664492078286E-4,NO
39,373,9.319664492078286E-4,NO
40,224,9.319664492078286E-4,NO
41,118,9.319664492078286E-4,NO
42,83,0.9990680335507922,NO
43,147,0.9990680335507922,NO
44,58,9.319664492078286E-4,NO
45,44,9.319664492078286E-4,NO
46,106,4.6641791044776124E-4,NO
47,189,9.319664492078286E-4,NO
48,151,9.319664492078286E-4,NO
49,352,9.319664492078286E-4,NO
50,849,9.319664492078286E-4,NO
51,877,0.9990680335507922,NO
52,41,9.319664492078286E-4,NO
53,319,9.319664492078286E-4,NO
54,27,9.319664492078286E-4,NO
55,55,9.319664492078286E-4,NO
56,94,9.319664492078286E-4,NO
57,191,0.9990680335507922,YES
58,90,0.9990680335507922,NO
59,90,9.319664492078286E-4,NO
60,271,9.319664492078286E-4,YES
61,152,9.319664492078286E-4,NO
62,90,9.319664492078286E-4,YES
63,82,9.319664492078286E-4,NO
64,147,0.9990680335507922,NO
65,422,9.319664492078286E-4,NO
66,1059,9.319664492078286E-4,NO
67,530,9.319664492078286E-4,NO
68,205,3.110419906687403E-4,NO
69,190,0.9990680335507922,NO
70,86,0.9990680335507922,NO
71,207,4.6641791044776124E-4,NO
72,397,0.9990680335507922,YES
73,573,2.333177788147457E-4,NO
74,126,9.319664492078286E-4,NO
75,167,0.9990680335507922,NO
76,109,9.319664492078286E-4,NO
77,85,9.319664492078286E-4,NO
78,237,0.9990680335507922,NO
79,424,9.319664492078286E-4,NO
80,47,9.319664492078286E-4,NO
81,1118,0.9990680335507922,NO
82,27,9.319664492078286E-4,NO
83,89,9.319664492078286E-4,NO
84,474,9.319664492078286E-4,NO
85,166,0.9990680335507922,NO
86,92,9.319664492078286E-4,NO
87,476,9.319664492078286E-4,NO
88,93,9.319664492078286E-4,NO
89,244,9.319664492078286E-4,NO
90,204,9.319664492078286E-4,NO
91,252,9.319664492078286E-4,NO
92,109,9.319664492078286E-4,NO
93,618,9.319664492078286E-4,NO
94,565,3.110419906687403E-4,NO
95,69,9.319664492078286E-4,NO
96,77,9.319664492078286E-4,NO
97,97,9.319664492078286E-4,NO
98,343,9.319664492078286E-4,NO
99,214,9.319664492078286E-4,NO
100,79,9.319664492078286E-4,NO
101,25,9.319664492078286E-4,NO
102,84,9.319664492078286E-4,NO
103,34,9.319664492078286E-4,NO
104,33,9.319664492078286E-4,NO
105,104,9.319664492078286E-4,NO
106,172,0.9990680335507922,NO
107,70,0.9990680335507922,NO
108,140,9.319664492078286E-4,NO
109,156,0.9990680335507922,NO
110,142,9.319664492078286E-4,NO
111,152,0.9990680335507922,YES
112,31,9.319664492078286E-4,NO
113,60,9.319664492078286E-4,NO
114,60,9.319664492078286E-4,NO
115,876,9.319664492078286E-4,NO
116,61,0.9990680335507922,YES
117,185,9.319664492078286E-4,NO
