ID,Size,Predicted %,Actual value
0,215,4.8309178743961357E-4,NO
1,273,9.652509652509653E-4,YES
2,460,0.9998066511987627,YES
3,138,0.999758337361044,NO
4,358,0.9998066511987627,NO
5,1154,0.9990347490347491,YES
6,51,3.2216494845360824E-4,NO
7,157,3.2216494845360824E-4,NO
8,31,9.652509652509653E-4,NO
9,1009,0.9995169082125603,YES
10,193,3.2216494845360824E-4,NO
11,83,9.652509652509653E-4,NO
12,262,0.9998066511987627,YES
13,638,9.652509652509653E-4,NO
14,40,9.652509652509653E-4,NO
15,374,0.9996778350515463,NO
16,390,1.3812154696132598E-4,NO
17,51,0.9995169082125603,YES
18,579,9.652509652509653E-4,NO
19,32,9.652509652509653E-4,NO
20,66,0.999758337361044,YES
21,260,0.9995169082125603,YES
22,596,0.9996778350515463,YES
23,198,4.8309178743961357E-4,NO
24,50,9.652509652509653E-4,NO
25,27,0.9999033069038872,YES
26,926,9.652509652509653E-4,NO
27,60,9.652509652509653E-4,NO
28,62,0.9995169082125603,NO
29,87,1.3812154696132598E-4,NO
30,52,0.9995169082125603,YES
31,297,4.8309178743961357E-4,NO
32,163,4.8309178743961357E-4,NO
33,118,2.4166263895601743E-4,NO
34,83,4.8309178743961357E-4,NO
35,147,2.4166263895601743E-4,NO
36,58,1.9334880123743234E-4,YES
37,44,3.2216494845360824E-4,NO
38,106,9.652509652509653E-4,YES
39,192,4.8309178743961357E-4,YES
40,151,0.9995169082125603,YES
41,352,0.999758337361044,YES
42,752,9.652509652509653E-4,NO
43,877,4.8309178743961357E-4,NO
44,319,9.652509652509653E-4,NO
45,27,0.9995169082125603,YES
46,55,4.8309178743961357E-4,NO
47,94,4.8309178743961357E-4,NO
48,191,4.8309178743961357E-4,NO
49,90,9.652509652509653E-4,NO
50,90,0.9995169082125603,YES
51,271,3.2216494845360824E-4,YES
52,138,0.999758337361044,YES
53,79,0.9996778350515463,YES
54,82,0.999758337361044,NO
55,147,9.652509652509653E-4,NO
56,422,1.9334880123743234E-4,YES
57,1026,0.9995169082125603,YES
58,530,4.8309178743961357E-4,YES
59,189,4.8309178743961357E-4,NO
60,167,9.652509652509653E-4,NO
61,86,3.2216494845360824E-4,NO
62,195,4.8309178743961357E-4,NO
63,374,0.9995169082125603,YES
64,573,4.8309178743961357E-4,YES
65,126,3.2216494845360824E-4,NO
66,106,0.9996778350515463,NO
67,109,9.652509652509653E-4,YES
68,85,4.8309178743961357E-4,YES
69,237,4.8309178743961357E-4,NO
70,345,0.9998066511987627,YES
71,47,4.8309178743961357E-4,NO
72,781,4.8309178743961357E-4,NO
73,27,4.8309178743961357E-4,YES
74,89,4.8309178743961357E-4,NO
75,300,9.652509652509653E-4,NO
76,166,3.2216494845360824E-4,YES
77,92,0.9990347490347491,YES
78,497,9.652509652509653E-4,NO
79,93,9.652509652509653E-4,NO
80,244,0.9995169082125603,YES
81,183,0.9995169082125603,NO
82,252,9.652509652509653E-4,NO
83,109,4.8309178743961357E-4,NO
84,607,9.652509652509653E-4,NO
85,565,0.9995169082125603,NO
86,69,9.652509652509653E-4,NO
87,77,9.652509652509653E-4,NO
88,97,3.2216494845360824E-4,NO
89,343,3.2216494845360824E-4,NO
90,214,9.652509652509653E-4,NO
91,79,0.9995169082125603,NO
92,25,9.652509652509653E-4,NO
93,84,0.9990347490347491,NO
94,34,0.9990347490347491,YES
95,33,0.999758337361044,NO
96,104,0.9995169082125603,NO
97,172,0.9998066511987627,NO
98,70,9.652509652509653E-4,NO
99,140,0.9998925655350238,YES
100,156,0.9990347490347491,NO
101,142,9.652509652509653E-4,NO
102,152,0.9995169082125603,NO
103,31,9.652509652509653E-4,NO
104,60,0.9998925655350238,YES
105,60,9.652509652509653E-4,NO
106,876,9.652509652509653E-4,NO
107,61,0.9990347490347491,YES
108,185,9.652509652509653E-4,YES
109,264,4.8309178743961357E-4,YES
110,248,0.9995169082125603,NO
111,286,3.2216494845360824E-4,NO
112,185,4.8309178743961357E-4,NO
113,194,3.2216494845360824E-4,YES
114,346,1.9334880123743234E-4,NO
115,309,1.9334880123743234E-4,NO
116,363,4.8309178743961357E-4,NO
117,84,9.652509652509653E-4,NO
118,53,0.999758337361044,NO
119,132,9.652509652509653E-4,NO
