ID,Size,Predicted %,Actual value
0,215,5.827505827505828E-4,NO
1,274,0.9994172494172496,NO
2,461,5.827505827505828E-4,YES
3,138,0.5,NO
4,358,0.9994172494172496,NO
5,1248,0.9994172494172496,YES
6,51,2.915451895043731E-4,NO
7,45,5.827505827505828E-4,NO
8,157,2.915451895043731E-4,NO
9,31,0.9994172494172496,NO
10,1008,5.827505827505828E-4,NO
11,55,5.827505827505828E-4,YES
12,204,0.9994172494172496,NO
13,55,0.9994172494172496,YES
14,103,2.915451895043731E-4,NO
15,83,0.9994172494172496,NO
16,262,0.9994172494172496,NO
17,83,5.827505827505828E-4,NO
18,867,0.9994172494172496,YES
19,40,2.915451895043731E-4,NO
20,387,2.915451895043731E-4,NO
21,390,0.9994172494172496,YES
22,51,0.9994172494172496,NO
23,637,5.827505827505828E-4,NO
24,32,5.827505827505828E-4,NO
25,68,2.915451895043731E-4,NO
26,547,0.9994172494172496,NO
27,566,2.915451895043731E-4,NO
28,314,5.827505827505828E-4,NO
29,839,5.827505827505828E-4,NO
30,211,5.827505827505828E-4,NO
31,31,0.9994172494172496,NO
32,50,2.915451895043731E-4,NO
33,27,5.827505827505828E-4,NO
34,175,5.827505827505828E-4,NO
35,50,1.9440124416796265E-4,NO
36,62,5.827505827505828E-4,NO
37,87,2.915451895043731E-4,NO
38,52,5.827505827505828E-4,NO
39,373,0.9994172494172496,NO
40,224,5.827505827505828E-4,NO
41,118,5.827505827505828E-4,NO
42,83,0.9994172494172496,NO
43,147,0.9994172494172496,NO
44,58,5.827505827505828E-4,NO
45,44,5.827505827505828E-4,NO
46,106,2.915451895043731E-4,NO
47,189,0.9994172494172496,NO
48,151,5.827505827505828E-4,NO
49,352,5.827505827505828E-4,NO
50,849,5.827505827505828E-4,NO
51,877,0.9994172494172496,NO
52,41,5.827505827505828E-4,NO
53,319,5.827505827505828E-4,NO
54,27,5.827505827505828E-4,NO
55,55,5.827505827505828E-4,NO
56,94,5.827505827505828E-4,NO
57,191,0.9994172494172496,YES
58,90,0.9994172494172496,NO
59,90,5.827505827505828E-4,NO
60,271,5.827505827505828E-4,YES
61,152,5.827505827505828E-4,NO
62,90,5.827505827505828E-4,YES
63,82,5.827505827505828E-4,NO
64,147,0.9994172494172496,NO
65,422,5.827505827505828E-4,NO
66,1059,5.827505827505828E-4,NO
67,530,5.827505827505828E-4,NO
68,205,1.9440124416796265E-4,NO
69,190,0.9994172494172496,NO
70,86,0.9994172494172496,NO
71,207,2.915451895043731E-4,NO
72,397,0.9994172494172496,YES
73,573,1.458151064450277E-4,NO
74,126,5.827505827505828E-4,NO
75,167,0.9994172494172496,NO
76,109,5.827505827505828E-4,NO
77,85,5.827505827505828E-4,NO
78,237,0.9994172494172496,NO
79,424,5.827505827505828E-4,NO
80,47,5.827505827505828E-4,NO
81,1118,0.9994172494172496,NO
82,27,5.827505827505828E-4,NO
83,89,5.827505827505828E-4,NO
84,474,5.827505827505828E-4,NO
85,166,0.9994172494172496,NO
86,92,5.827505827505828E-4,NO
87,476,5.827505827505828E-4,NO
88,93,5.827505827505828E-4,NO
89,244,5.827505827505828E-4,NO
