ID,Size,Predicted %,Actual value
0,215,0.0023255813953488367,NO
1,274,0.997674418604651,NO
2,461,0.997674418604651,YES
3,138,0.5,NO
4,358,0.997674418604651,NO
5,1248,0.997674418604651,YES
6,51,0.0023255813953488367,NO
7,45,0.0023255813953488367,NO
8,157,0.0023255813953488367,NO
9,31,0.997674418604651,NO
10,1008,0.0023255813953488367,NO
11,55,0.0023255813953488367,YES
12,204,0.997674418604651,NO
13,55,0.997674418604651,YES
14,103,0.0023255813953488367,NO
15,83,0.997674418604651,NO
16,262,0.997674418604651,NO
17,83,0.0023255813953488367,NO
18,867,0.0023255813953488367,YES
19,40,0.0023255813953488367,NO
20,387,0.0023255813953488367,NO
21,390,0.0023255813953488367,YES
22,51,0.997674418604651,NO
23,637,0.0023255813953488367,NO
24,32,0.0023255813953488367,NO
25,68,0.997674418604651,NO
26,547,0.997674418604651,NO
27,566,0.0023255813953488367,NO
28,314,0.997674418604651,NO
29,839,0.0023255813953488367,NO
30,211,0.0023255813953488367,NO
31,31,0.997674418604651,NO
32,50,0.0023255813953488367,NO
33,27,0.997674418604651,NO
34,175,0.0023255813953488367,NO
35,50,0.0023255813953488367,NO
36,62,0.0023255813953488367,NO
37,87,0.0023255813953488367,NO
38,52,0.0023255813953488367,NO
39,373,0.0023255813953488367,NO
40,224,0.0023255813953488367,NO
41,118,0.0023255813953488367,NO
42,83,0.997674418604651,NO
43,147,0.997674418604651,NO
44,58,0.997674418604651,NO
45,44,0.0023255813953488367,NO
46,106,0.0023255813953488367,NO
47,189,0.0023255813953488367,NO
48,151,0.0023255813953488367,NO
49,352,0.0023255813953488367,NO
50,849,0.0023255813953488367,NO
51,877,0.997674418604651,NO
52,41,0.0023255813953488367,NO
53,319,0.0023255813953488367,NO
54,27,0.997674418604651,NO
55,55,0.0011655011655011655,NO
56,94,0.997674418604651,NO
57,191,0.997674418604651,YES
58,90,0.997674418604651,NO
59,90,0.0023255813953488367,NO
60,271,0.0023255813953488367,YES
61,152,0.0023255813953488367,NO
62,90,0.0023255813953488367,YES
63,82,0.997674418604651,NO
64,147,0.997674418604651,NO
65,422,0.0023255813953488367,NO
66,1059,0.997674418604651,NO
67,530,0.0023255813953488367,NO
68,205,0.0023255813953488367,NO
69,190,0.997674418604651,NO
70,86,0.997674418604651,NO
71,207,0.0023255813953488367,NO
72,397,0.997674418604651,YES
73,573,0.0023255813953488367,NO
74,126,0.0023255813953488367,NO
75,167,0.997674418604651,NO
76,109,0.997674418604651,NO
77,85,0.0023255813953488367,NO
78,237,0.997674418604651,NO
79,424,0.0023255813953488367,NO
80,47,0.0023255813953488367,NO
81,1118,0.997674418604651,NO
82,27,0.0023255813953488367,NO
83,89,0.0023255813953488367,NO
84,474,0.997674418604651,NO
85,166,0.997674418604651,NO
86,92,0.0023255813953488367,NO
87,476,0.0023255813953488367,NO
88,93,0.997674418604651,NO
89,244,0.0023255813953488367,NO
90,204,0.997674418604651,NO
91,252,0.0023255813953488367,NO
92,109,0.0023255813953488367,NO
93,618,0.0023255813953488367,NO
94,565,0.0023255813953488367,NO
95,69,0.0023255813953488367,NO
96,77,0.0023255813953488367,NO
97,97,0.0023255813953488367,NO
98,343,0.997674418604651,NO
99,214,0.5,NO
100,79,0.997674418604651,NO
101,25,0.0023255813953488367,NO
102,84,0.0023255813953488367,NO
103,34,0.997674418604651,NO
104,33,0.0023255813953488367,NO
105,104,0.0023255813953488367,NO
106,172,0.997674418604651,NO
107,70,0.997674418604651,NO
108,140,0.0023255813953488367,NO
109,156,0.997674418604651,NO
110,142,0.997674418604651,NO
111,152,0.997674418604651,YES
112,31,0.997674418604651,NO
113,60,0.0023255813953488367,NO
114,60,0.0023255813953488367,NO
115,876,0.997674418604651,NO
116,61,0.997674418604651,YES
117,185,0.0023255813953488367,NO
118,264,0.997674418604651,NO
119,43,0.0023255813953488367,NO
120,248,0.0023255813953488367,NO
121,310,0.997674418604651,NO
122,199,0.0023255813953488367,NO
123,194,0.0023255813953488367,NO
124,346,0.997674418604651,NO
125,90,0.997674418604651,NO
126,335,0.997674418604651,YES
127,372,0.997674418604651,NO
128,84,0.0023255813953488367,NO
129,53,0.0023255813953488367,NO
130,148,0.997674418604651,YES
131,4088,0.0023255813953488367,NO
132,860,0.0023255813953488367,NO
133,47,0.0023255813953488367,NO
134,101,0.0023255813953488367,NO
135,517,0.997674418604651,NO
136,327,0.0023255813953488367,NO
137,275,0.997674418604651,NO
138,136,0.0023255813953488367,NO
139,56,0.997674418604651,NO
140,74,0.0023255813953488367,NO
141,362,0.0023255813953488367,NO
142,174,0.0023255813953488367,NO
143,148,0.997674418604651,NO
144,92,0.0023255813953488367,NO
145,45,0.0011655011655011655,NO
146,39,0.997674418604651,NO
147,182,0.0023255813953488367,NO
148,77,0.0023255813953488367,NO
149,666,0.997674418604651,NO
150,88,0.0023255813953488367,NO
151,263,0.997674418604651,NO
152,54,0.5,NO
153,76,0.0023255813953488367,NO
154,132,0.0023255813953488367,NO
155,160,0.0023255813953488367,NO
156,152,0.0023255813953488367,NO
157,39,0.997674418604651,NO
158,677,0.0023255813953488367,NO
159,131,0.0011655011655011655,NO
160,47,0.0023255813953488367,NO
161,129,0.0023255813953488367,NO
162,43,0.0023255813953488367,NO
163,73,0.997674418604651,NO
164,257,0.0023255813953488367,NO
165,356,0.997674418604651,NO
166,62,0.0023255813953488367,NO
167,45,0.997674418604651,NO
168,97,0.0023255813953488367,NO
169,131,0.997674418604651,NO
170,68,0.997674418604651,NO
171,99,0.997674418604651,NO
172,53,0.997674418604651,NO
173,81,0.0023255813953488367,NO
174,78,0.0023255813953488367,NO
175,69,0.0023255813953488367,NO
176,69,0.997674418604651,NO
177,77,0.0023255813953488367,NO
178,72,0.0023255813953488367,NO
179,72,0.0023255813953488367,NO
180,63,0.0023255813953488367,NO
181,50,0.0023255813953488367,NO
182,28,0.997674418604651,NO
183,96,0.0023255813953488367,NO
184,40,0.997674418604651,NO
185,76,0.997674418604651,NO
186,49,0.0023255813953488367,NO
187,63,0.0023255813953488367,NO
188,55,0.0023255813953488367,NO
189,45,0.997674418604651,NO
190,476,0.0023255813953488367,NO
191,77,0.997674418604651,NO
192,69,0.0023255813953488367,NO
193,104,0.5,NO
194,115,0.0023255813953488367,NO
195,421,0.0023255813953488367,NO
196,61,0.0023255813953488367,NO
197,2009,0.0023255813953488367,NO
198,179,0.0023255813953488367,NO
199,106,0.0023255813953488367,NO
200,33,0.0023255813953488367,NO
201,657,0.0023255813953488367,NO
202,295,0.997674418604651,NO
203,872,0.0023255813953488367,NO
204,444,0.0023255813953488367,NO
205,168,0.0023255813953488367,NO
206,752,0.0023255813953488367,NO
207,135,0.0023255813953488367,NO
208,1126,0.0023255813953488367,NO
209,163,0.0023255813953488367,NO
210,184,0.0023255813953488367,NO
211,51,0.0023255813953488367,NO
212,25,0.0023255813953488367,NO
213,180,0.0023255813953488367,NO
214,64,0.0023255813953488367,NO
215,101,0.0023255813953488367,NO
216,512,0.0023255813953488367,NO
217,187,0.997674418604651,NO
218,56,0.997674418604651,NO
219,39,0.997674418604651,NO
220,261,0.0023255813953488367,NO
221,73,0.997674418604651,NO
222,65,0.0023255813953488367,NO
223,329,0.0023255813953488367,NO
224,64,0.0023255813953488367,NO
225,164,0.0023255813953488367,NO
226,624,0.0023255813953488367,NO
227,74,0.0023255813953488367,NO
228,117,0.0023255813953488367,NO
229,84,0.0023255813953488367,NO
230,226,0.997674418604651,NO
231,76,0.0023255813953488367,NO
232,323,0.0023255813953488367,NO
233,72,0.0023255813953488367,NO
