ID,Size,Predicted %,Actual value
0,212,6.89655172413793E-4,NO
1,274,0.9993103448275861,NO
2,461,6.89655172413793E-4,YES
3,138,6.89655172413793E-4,NO
4,358,6.89655172413793E-4,NO
5,1272,0.9993103448275861,YES
6,51,2.300966405890474E-4,NO
7,45,6.89655172413793E-4,NO
8,157,6.89655172413793E-4,NO
9,31,2.300966405890474E-4,NO
10,1406,6.89655172413793E-4,YES
11,55,0.9993103448275861,NO
12,204,6.89655172413793E-4,NO
13,55,6.89655172413793E-4,NO
14,103,6.89655172413793E-4,NO
15,34,6.89655172413793E-4,NO
16,83,6.89655172413793E-4,NO
17,285,6.89655172413793E-4,NO
18,83,0.9993103448275861,YES
19,129,2.300966405890474E-4,NO
20,867,0.9993103448275861,YES
21,380,6.89655172413793E-4,NO
22,40,3.450655624568668E-4,NO
23,387,6.89655172413793E-4,NO
24,390,2.300966405890474E-4,NO
25,51,6.89655172413793E-4,YES
26,637,0.9993103448275861,YES
27,32,0.9993103448275861,NO
28,68,6.89655172413793E-4,YES
29,547,0.9993103448275861,NO
30,566,6.89655172413793E-4,NO
31,314,6.89655172413793E-4,NO
32,907,3.450655624568668E-4,NO
33,275,2.300966405890474E-4,NO
34,31,6.89655172413793E-4,NO
35,50,6.89655172413793E-4,NO
36,27,3.450655624568668E-4,NO
37,175,6.89655172413793E-4,NO
38,50,3.450655624568668E-4,NO
39,62,6.89655172413793E-4,NO
40,87,6.89655172413793E-4,NO
41,52,3.450655624568668E-4,YES
42,373,2.300966405890474E-4,NO
43,224,1.7259233690024162E-4,NO
44,118,6.89655172413793E-4,NO
45,83,2.300966405890474E-4,NO
46,147,6.89655172413793E-4,NO
47,58,6.89655172413793E-4,NO
48,44,3.450655624568668E-4,NO
49,106,6.89655172413793E-4,NO
50,238,0.9993103448275861,YES
51,43,0.9993103448275861,YES
52,185,6.89655172413793E-4,NO
53,189,6.89655172413793E-4,NO
54,151,3.450655624568668E-4,NO
55,364,2.300966405890474E-4,NO
56,910,6.89655172413793E-4,NO
57,889,3.450655624568668E-4,NO
58,43,3.450655624568668E-4,NO
59,325,3.450655624568668E-4,NO
60,27,6.89655172413793E-4,NO
61,55,6.89655172413793E-4,NO
62,93,6.89655172413793E-4,YES
63,191,6.89655172413793E-4,NO
64,90,3.450655624568668E-4,NO
65,89,0.9993103448275861,NO
66,272,0.9993103448275861,YES
67,152,0.9993103448275861,NO
68,90,6.89655172413793E-4,YES
69,82,0.9993103448275861,NO
70,148,6.89655172413793E-4,NO
71,421,6.89655172413793E-4,NO
72,1190,0.9993103448275861,NO
73,528,0.9993103448275861,NO
74,205,3.450655624568668E-4,NO
75,190,0.9993103448275861,NO
76,86,3.450655624568668E-4,NO
77,212,1.7259233690024162E-4,NO
78,404,6.89655172413793E-4,NO
79,572,6.89655172413793E-4,NO
80,132,3.450655624568668E-4,NO
81,168,6.89655172413793E-4,YES
82,109,1.1507479861910241E-4,NO
83,85,3.450655624568668E-4,NO
84,107,0.9993103448275861,YES
85,237,0.9993103448275861,NO
86,511,3.450655624568668E-4,NO
87,47,6.89655172413793E-4,NO
88,1328,3.450655624568668E-4,NO
89,27,3.450655624568668E-4,NO
90,89,0.9993103448275861,NO
91,482,6.89655172413793E-4,NO
92,226,3.450655624568668E-4,YES
93,166,6.89655172413793E-4,NO
94,92,6.89655172413793E-4,YES
95,476,3.450655624568668E-4,NO
96,93,3.450655624568668E-4,NO
97,244,6.89655172413793E-4,NO
98,204,6.89655172413793E-4,NO
99,252,3.450655624568668E-4,NO
100,119,3.450655624568668E-4,NO
101,733,2.300966405890474E-4,NO
102,630,3.450655624568668E-4,NO
103,69,1.1507479861910241E-4,NO
104,77,3.450655624568668E-4,NO
105,97,3.450655624568668E-4,NO
106,380,3.450655624568668E-4,NO
107,214,3.450655624568668E-4,NO
108,38,3.450655624568668E-4,NO
109,79,6.89655172413793E-4,NO
110,25,3.450655624568668E-4,NO
