ID,Size,Predicted %,Actual value
0,215,0.9979757085020243,NO
1,271,0.995967741935484,NO
2,458,0.9979757085020243,NO
3,137,0.002024291497975709,NO
4,357,0.9979757085020243,YES
5,1242,0.9979757085020243,YES
6,51,0.9979757085020243,NO
7,154,0.0010141987829614606,NO
8,31,0.0013513513513513516,NO
9,928,0.995967741935484,YES
10,180,0.00403225806451613,NO
11,260,0.002024291497975709,YES
12,551,0.995967741935484,YES
13,40,0.00403225806451613,NO
14,361,0.002024291497975709,NO
15,388,0.9979757085020243,YES
16,51,0.9979757085020243,YES
17,577,0.00403225806451613,NO
18,32,0.002024291497975709,NO
19,66,0.995967741935484,YES
20,188,0.995967741935484,YES
21,582,0.002024291497975709,NO
22,158,0.9979757085020243,NO
23,50,0.00403225806451613,NO
24,27,0.9979757085020243,YES
25,928,0.00403225806451613,NO
26,60,0.00403225806451613,NO
27,62,0.00403225806451613,NO
28,87,0.002024291497975709,NO
29,52,0.00403225806451613,NO
30,268,0.002024291497975709,NO
31,163,0.002024291497975709,NO
32,109,0.002024291497975709,NO
33,147,0.002024291497975709,NO
34,58,0.00403225806451613,NO
35,44,0.995967741935484,NO
36,106,0.9979757085020243,YES
37,139,0.9979757085020243,YES
38,326,0.995967741935484,YES
39,648,0.002024291497975709,NO
40,778,0.002024291497975709,NO
41,314,0.00403225806451613,NO
42,55,0.9979757085020243,YES
43,191,0.002024291497975709,NO
44,90,0.002024291497975709,NO
45,273,0.9989858012170386,YES
46,137,0.9991883116883117,YES
47,79,0.9979757085020243,NO
48,82,0.995967741935484,YES
49,147,0.002024291497975709,NO
50,422,0.00403225806451613,YES
51,978,0.995967741935484,YES
52,467,0.995967741935484,YES
53,189,0.9986486486486487,NO
54,153,0.00403225806451613,NO
55,84,0.00403225806451613,NO
56,182,0.00403225806451613,YES
57,358,0.9979757085020243,YES
58,126,0.9979757085020243,YES
59,106,0.0010141987829614606,NO
60,109,0.002024291497975709,YES
61,85,0.9991883116883117,YES
62,236,0.00403225806451613,YES
63,314,0.00403225806451613,YES
64,694,0.995967741935484,NO
65,27,0.9986486486486487,NO
66,89,0.995967741935484,NO
67,301,0.002024291497975709,NO
68,153,0.00403225806451613,YES
69,92,0.00403225806451613,YES
70,466,0.00403225806451613,NO
71,93,0.9979757085020243,YES
72,244,0.9986486486486487,YES
73,192,0.00403225806451613,NO
74,250,0.002024291497975709,NO
75,109,0.002024291497975709,YES
76,601,0.9986486486486487,YES
77,565,0.00403225806451613,YES
78,69,0.9986486486486487,NO
79,77,0.9986486486486487,NO
80,94,0.9986486486486487,NO
81,337,0.002024291497975709,NO
82,214,0.002024291497975709,NO
83,79,0.0010141987829614606,NO
84,25,0.995967741935484,YES
85,84,0.9986486486486487,NO
86,34,0.00403225806451613,YES
87,33,0.00403225806451613,YES
88,104,0.002024291497975709,NO
89,172,0.002024291497975709,NO
90,70,0.002024291497975709,YES
91,140,0.0010141987829614606,NO
92,154,0.995967741935484,YES
93,248,0.00403225806451613,NO
94,275,0.00403225806451613,NO
95,176,0.002024291497975709,NO
96,624,0.00403225806451613,YES
97,91,0.002024291497975709,YES
98,58,0.002024291497975709,YES
99,132,0.995967741935484,YES
100,4088,0.995967741935484,YES
101,558,0.00403225806451613,NO
102,727,0.995967741935484,NO
103,150,0.00403225806451613,NO
104,503,0.00403225806451613,NO
105,325,0.00403225806451613,YES
106,273,0.00403225806451613,NO
107,136,0.00403225806451613,NO
108,56,0.00403225806451613,NO
109,74,0.00403225806451613,NO
110,357,0.00403225806451613,NO
111,174,0.995967741935484,YES
112,148,0.002024291497975709,NO
113,92,0.002024291497975709,NO
114,45,0.002024291497975709,NO
115,168,0.9986486486486487,YES
116,77,0.002024291497975709,NO
117,664,0.002024291497975709,NO
118,88,0.995967741935484,NO
119,260,0.9986486486486487,YES
120,54,0.999492385786802,YES
121,48,0.995967741935484,YES
122,140,0.9986486486486487,YES
123,152,0.995967741935484,YES
124,39,0.00403225806451613,NO
125,131,0.002024291497975709,NO
126,47,0.002024291497975709,NO
127,129,0.0010141987829614606,NO
128,43,0.002024291497975709,NO
129,243,0.002024291497975709,NO
130,62,0.00403225806451613,NO
131,45,0.002024291497975709,NO
132,94,0.00403225806451613,NO
133,72,0.00403225806451613,NO
134,42,0.00403225806451613,NO
135,48,0.00403225806451613,NO
136,89,0.00403225806451613,YES
137,380,0.00403225806451613,YES
138,138,0.995967741935484,NO
139,142,0.002024291497975709,NO
140,191,0.00403225806451613,NO
141,46,0.002024291497975709,YES
142,165,0.00403225806451613,YES
143,171,0.002024291497975709,YES
144,56,0.002024291497975709,NO
145,179,0.995967741935484,NO
146,74,0.995967741935484,NO
147,36,0.002024291497975709,YES
148,37,0.9979757085020243,YES
149,34,0.9979757085020243,YES
150,34,0.002024291497975709,NO
151,38,0.002024291497975709,YES
152,39,0.002024291497975709,YES
153,156,0.002024291497975709,NO
154,84,0.002024291497975709,NO
155,117,0.00403225806451613,NO
156,94,0.002024291497975709,YES
157,71,0.00403225806451613,NO
158,183,0.0010141987829614606,NO
159,85,0.002024291497975709,YES
160,183,0.9986486486486487,YES
161,70,0.002024291497975709,NO
162,54,0.0010141987829614606,NO
163,160,0.002024291497975709,NO
164,125,0.002024291497975709,NO
165,151,0.002024291497975709,NO
166,421,0.0013513513513513516,NO
167,219,0.002024291497975709,YES
168,50,0.995967741935484,YES
169,42,0.002024291497975709,YES
170,624,0.002024291497975709,NO
171,377,0.0010141987829614606,NO
172,383,0.995967741935484,NO
173,72,0.002024291497975709,YES
174,92,0.002024291497975709,YES
175,284,0.0010141987829614606,NO
176,371,0.995967741935484,NO
177,47,0.00403225806451613,YES
178,108,0.002024291497975709,NO
179,111,0.002024291497975709,YES
180,319,0.002024291497975709,NO
181,129,0.002024291497975709,NO
182,49,0.00403225806451613,NO
183,358,0.002024291497975709,NO
184,277,0.002024291497975709,NO
185,49,0.002024291497975709,NO
186,89,0.002024291497975709,NO
187,41,0.00403225806451613,NO
188,66,0.0010141987829614606,NO
189,63,0.9986486486486487,YES
190,24,0.0010141987829614606,YES
191,50,0.00403225806451613,NO
192,72,0.0010141987829614606,NO
193,47,0.00403225806451613,NO
194,47,0.002024291497975709,NO
195,183,0.995967741935484,NO
196,49,0.002024291497975709,NO
197,50,0.0010141987829614606,NO
198,98,0.002024291497975709,NO
199,143,0.002024291497975709,NO
200,43,0.002024291497975709,NO
201,42,0.002024291497975709,NO
202,56,0.002024291497975709,NO
203,44,0.002024291497975709,NO
204,26,0.00403225806451613,NO
205,254,0.00403225806451613,NO
206,16883,0.002024291497975709,NO
207,74,0.002024291497975709,NO
208,153,0.002024291497975709,NO
209,68,0.9986486486486487,NO
210,100,0.002024291497975709,NO
211,549,0.995967741935484,YES
212,437,0.002024291497975709,YES
213,1033,0.0010141987829614606,NO
214,101,0.002024291497975709,NO
215,331,0.00403225806451613,NO
216,123,0.0010141987829614606,NO
217,106,0.995967741935484,NO
218,106,0.002024291497975709,NO
219,93,0.00403225806451613,NO
220,101,0.002024291497975709,NO
221,38,0.002024291497975709,NO
222,584,0.0010141987829614606,NO
223,32,0.9986486486486487,NO
224,111,0.0010141987829614606,NO
225,35,0.002024291497975709,NO
226,90,0.002024291497975709,NO
