ID,Size,Predicted %,Actual value
0,212,4.096681687832855E-4,NO
1,274,0.9995903318312167,NO
2,461,0.9995903318312167,YES
3,138,0.9995903318312167,NO
4,358,4.096681687832855E-4,NO
5,1272,0.9995903318312167,YES
6,51,1.3663068725235688E-4,NO
7,45,4.096681687832855E-4,NO
8,157,4.096681687832855E-4,NO
9,31,1.3663068725235688E-4,NO
10,1406,4.096681687832855E-4,YES
11,55,0.9995903318312167,NO
12,204,4.096681687832855E-4,NO
13,55,4.096681687832855E-4,NO
14,103,4.096681687832855E-4,NO
15,34,4.096681687832855E-4,NO
16,83,4.096681687832855E-4,NO
17,285,4.096681687832855E-4,NO
18,83,0.9995903318312167,YES
19,129,1.3663068725235688E-4,NO
20,867,0.9995903318312167,YES
21,380,4.096681687832855E-4,NO
22,40,2.0491803278688525E-4,NO
23,387,0.9995903318312167,NO
24,390,1.3663068725235688E-4,NO
25,51,4.096681687832855E-4,YES
26,637,0.9995903318312167,YES
27,32,0.9995903318312167,NO
28,68,0.9995903318312167,YES
29,547,0.9995903318312167,NO
30,566,4.096681687832855E-4,NO
31,314,4.096681687832855E-4,NO
32,907,2.0491803278688525E-4,NO
33,275,1.3663068725235688E-4,NO
34,31,4.096681687832855E-4,NO
35,50,4.096681687832855E-4,NO
36,27,2.0491803278688525E-4,NO
37,175,4.096681687832855E-4,NO
38,50,2.0491803278688525E-4,NO
39,62,4.096681687832855E-4,NO
40,87,0.9995903318312167,NO
41,52,2.0491803278688525E-4,YES
42,373,1.3663068725235688E-4,NO
43,224,1.0248001639680262E-4,NO
44,118,4.096681687832855E-4,NO
45,83,1.3663068725235688E-4,NO
46,147,4.096681687832855E-4,NO
47,58,4.096681687832855E-4,NO
48,44,2.0491803278688525E-4,NO
49,106,4.096681687832855E-4,NO
50,238,0.9995903318312167,YES
51,43,0.9995903318312167,YES
52,185,4.096681687832855E-4,NO
53,189,4.096681687832855E-4,NO
54,151,2.0491803278688525E-4,NO
55,364,1.3663068725235688E-4,NO
56,910,4.096681687832855E-4,NO
57,889,2.0491803278688525E-4,NO
58,43,2.0491803278688525E-4,NO
59,325,2.0491803278688525E-4,NO
60,27,0.9995903318312167,NO
61,55,4.096681687832855E-4,NO
62,93,0.9995903318312167,YES
63,191,4.096681687832855E-4,NO
64,90,2.0491803278688525E-4,NO
65,89,0.9995903318312167,NO
66,272,0.9995903318312167,YES
67,152,0.9995903318312167,NO
68,90,4.096681687832855E-4,YES
69,82,0.9995903318312167,NO
70,148,4.096681687832855E-4,NO
71,421,0.9995903318312167,NO
72,1190,0.9995903318312167,NO
73,528,0.9995903318312167,NO
74,205,2.0491803278688525E-4,NO
75,190,0.9995903318312167,NO
76,86,2.0491803278688525E-4,NO
77,212,1.0248001639680262E-4,NO
78,404,4.096681687832855E-4,NO
79,572,4.096681687832855E-4,NO
80,132,2.0491803278688525E-4,NO
81,168,4.096681687832855E-4,YES
82,109,6.83246788740093E-5,NO
83,85,2.0491803278688525E-4,NO
84,107,0.9995903318312167,YES
85,237,0.9995903318312167,NO
86,511,2.0491803278688525E-4,NO
87,47,4.096681687832855E-4,NO
88,1328,2.0491803278688525E-4,NO
89,27,2.0491803278688525E-4,NO
90,89,0.9995903318312167,NO
91,482,4.096681687832855E-4,NO
92,226,2.0491803278688525E-4,YES
93,166,4.096681687832855E-4,NO
94,92,0.9995903318312167,YES
95,476,2.0491803278688525E-4,NO
96,93,2.0491803278688525E-4,NO
97,244,4.096681687832855E-4,NO
98,204,4.096681687832855E-4,NO
99,252,2.0491803278688525E-4,NO
100,119,2.0491803278688525E-4,NO
101,733,1.3663068725235688E-4,NO
102,630,2.0491803278688525E-4,NO
103,69,6.83246788740093E-5,NO
104,77,2.0491803278688525E-4,NO
105,97,2.0491803278688525E-4,NO
106,380,2.0491803278688525E-4,NO
107,214,2.0491803278688525E-4,NO
108,38,2.0491803278688525E-4,NO
109,79,4.096681687832855E-4,NO
110,25,2.0491803278688525E-4,NO
111,84,4.096681687832855E-4,NO
112,34,2.0491803278688525E-4,NO
113,33,4.096681687832855E-4,NO
114,104,4.096681687832855E-4,NO
115,193,0.9995903318312167,NO
116,70,1.3663068725235688E-4,NO
117,140,2.0491803278688525E-4,NO
118,22,2.0491803278688525E-4,NO
119,156,4.096681687832855E-4,NO
120,142,2.0491803278688525E-4,NO
121,100,4.096681687832855E-4,NO
122,152,4.096681687832855E-4,NO
123,31,0.9995903318312167,NO
124,60,4.096681687832855E-4,NO
125,60,4.096681687832855E-4,NO
126,876,0.9995903318312167,YES
127,61,0.9995903318312167,NO
128,185,4.096681687832855E-4,NO
129,264,4.096681687832855E-4,NO
130,43,4.096681687832855E-4,NO
131,248,2.0491803278688525E-4,NO
132,361,4.096681687832855E-4,YES
133,199,4.096681687832855E-4,NO
134,194,4.096681687832855E-4,NO
135,346,0.9995903318312167,YES
136,91,0.9995903318312167,YES
137,335,4.096681687832855E-4,YES
138,370,0.9995903318312167,NO
139,82,2.0491803278688525E-4,NO
140,53,2.0491803278688525E-4,YES
141,148,0.9995903318312167,YES
142,4088,4.096681687832855E-4,NO
143,88,4.096681687832855E-4,NO
144,878,4.096681687832855E-4,NO
145,37,2.0491803278688525E-4,NO
146,48,4.096681687832855E-4,NO
147,47,0.9995903318312167,NO
148,101,4.096681687832855E-4,NO
149,556,4.096681687832855E-4,NO
150,360,2.0491803278688525E-4,YES
151,284,4.096681687832855E-4,YES
152,135,1.0248001639680262E-4,NO
153,56,4.096681687832855E-4,NO
154,78,4.096681687832855E-4,NO
155,409,4.096681687832855E-4,NO
156,174,2.0491803278688525E-4,NO
157,148,8.198737394441256E-5,NO
158,88,0.9995903318312167,NO
159,45,2.0491803278688525E-4,NO
160,39,8.198737394441256E-5,NO
161,182,2.0491803278688525E-4,NO
162,77,1.3663068725235688E-4,NO
163,666,0.9995903318312167,NO
164,104,0.9995903318312167,NO
165,263,4.096681687832855E-4,NO
166,54,2.0491803278688525E-4,NO
167,76,8.198737394441256E-5,NO
168,119,4.096681687832855E-4,NO
169,200,0.9995903318312167,NO
170,152,4.096681687832855E-4,YES
171,39,0.9995903318312167,NO
172,677,4.096681687832855E-4,NO
173,131,0.9995903318312167,NO
174,47,4.096681687832855E-4,YES
175,100,4.096681687832855E-4,NO
176,43,4.096681687832855E-4,NO
177,73,0.9995903318312167,NO
178,257,0.9995903318312167,NO
179,356,4.096681687832855E-4,NO
180,62,4.096681687832855E-4,NO
181,45,2.0491803278688525E-4,NO
182,97,4.096681687832855E-4,NO
183,131,0.9995903318312167,NO
184,68,4.096681687832855E-4,NO
185,99,4.096681687832855E-4,NO
186,53,2.0491803278688525E-4,NO
187,81,0.9995903318312167,NO
188,78,4.096681687832855E-4,NO
189,69,4.096681687832855E-4,NO
190,69,4.096681687832855E-4,NO
191,77,4.096681687832855E-4,NO
192,72,4.096681687832855E-4,NO
193,72,4.096681687832855E-4,NO
194,63,4.096681687832855E-4,NO
195,50,4.096681687832855E-4,NO
196,28,4.096681687832855E-4,NO
197,96,4.096681687832855E-4,NO
198,40,4.096681687832855E-4,NO
199,76,4.096681687832855E-4,NO
200,49,4.096681687832855E-4,NO
201,63,4.096681687832855E-4,NO
202,55,4.096681687832855E-4,NO
203,45,4.096681687832855E-4,NO
204,476,4.096681687832855E-4,NO
205,77,4.096681687832855E-4,NO
206,69,4.096681687832855E-4,NO
207,104,4.096681687832855E-4,NO
208,115,4.096681687832855E-4,NO
209,421,4.096681687832855E-4,NO
210,61,4.096681687832855E-4,NO
211,2009,4.096681687832855E-4,NO
212,179,1.3663068725235688E-4,NO
213,106,4.096681687832855E-4,NO
214,33,4.096681687832855E-4,NO
215,657,4.096681687832855E-4,NO
216,295,4.096681687832855E-4,NO
217,872,4.096681687832855E-4,NO
218,444,4.096681687832855E-4,NO
219,168,8.198737394441256E-5,NO
220,752,4.096681687832855E-4,NO
221,135,4.096681687832855E-4,NO
222,1126,4.096681687832855E-4,NO
223,163,4.096681687832855E-4,NO
224,184,4.096681687832855E-4,NO
225,51,4.096681687832855E-4,NO
226,25,4.096681687832855E-4,NO
227,180,4.096681687832855E-4,NO
228,64,4.096681687832855E-4,NO
229,101,4.096681687832855E-4,NO
230,512,4.096681687832855E-4,NO
231,187,4.096681687832855E-4,NO
232,56,4.096681687832855E-4,NO
233,39,1.0248001639680262E-4,NO
234,261,1.0248001639680262E-4,NO
235,73,1.0248001639680262E-4,NO
236,65,2.0491803278688525E-4,NO
237,329,2.0491803278688525E-4,NO
238,64,4.096681687832855E-4,NO
239,164,4.096681687832855E-4,NO
240,624,2.0491803278688525E-4,NO
241,74,1.0248001639680262E-4,NO
242,117,1.3663068725235688E-4,NO
243,84,2.0491803278688525E-4,NO
244,226,2.0491803278688525E-4,NO
245,76,2.0491803278688525E-4,NO
246,323,1.0248001639680262E-4,NO
247,72,1.3663068725235688E-4,NO
248,42,1.0248001639680262E-4,NO
249,48,6.83246788740093E-5,NO
250,89,6.83246788740093E-5,NO
251,380,0.20004919242436667,NO
252,141,8.198737394441256E-5,NO
253,148,2.0491803278688525E-4,NO
254,191,2.0491803278688525E-4,NO
255,46,2.0491803278688525E-4,NO
256,165,2.0491803278688525E-4,NO
257,171,2.0491803278688525E-4,NO
258,56,2.0491803278688525E-4,NO
259,179,2.0491803278688525E-4,NO
260,74,2.0491803278688525E-4,NO
261,36,2.0491803278688525E-4,NO
262,37,2.0491803278688525E-4,NO
263,34,2.0491803278688525E-4,NO
264,34,4.096681687832855E-4,NO
265,38,2.0491803278688525E-4,NO
266,39,4.096681687832855E-4,NO
267,156,4.096681687832855E-4,NO
268,84,2.0491803278688525E-4,NO
269,117,2.0491803278688525E-4,NO
270,94,2.0491803278688525E-4,NO
271,71,2.0491803278688525E-4,NO
272,183,4.096681687832855E-4,NO
273,85,2.0491803278688525E-4,NO
274,183,2.0491803278688525E-4,NO
275,70,4.096681687832855E-4,NO
276,54,2.0491803278688525E-4,NO
277,160,2.0491803278688525E-4,NO
278,128,2.0491803278688525E-4,NO
279,151,2.0491803278688525E-4,NO
280,422,2.0491803278688525E-4,NO
281,221,2.0491803278688525E-4,NO
282,50,1.0248001639680262E-4,NO
283,42,2.0491803278688525E-4,NO
284,624,2.0491803278688525E-4,NO
285,377,1.0248001639680262E-4,NO
286,382,2.0491803278688525E-4,NO
287,72,1.0248001639680262E-4,NO
288,92,1.0248001639680262E-4,NO
289,282,1.3663068725235688E-4,NO
290,371,2.0491803278688525E-4,NO
291,47,2.0491803278688525E-4,NO
292,108,2.0491803278688525E-4,NO
293,111,8.198737394441256E-5,NO
294,319,1.0248001639680262E-4,NO
295,129,1.0248001639680262E-4,NO
296,49,1.0248001639680262E-4,NO
297,358,1.0248001639680262E-4,NO
298,277,1.0248001639680262E-4,NO
299,49,1.3663068725235688E-4,NO
300,89,1.0248001639680262E-4,NO
301,41,1.0248001639680262E-4,NO
302,66,1.3663068725235688E-4,NO
303,63,2.0491803278688525E-4,NO
304,24,2.0491803278688525E-4,NO
305,50,2.0491803278688525E-4,NO
306,72,2.0491803278688525E-4,NO
307,47,2.0491803278688525E-4,NO
308,47,1.0248001639680262E-4,NO
309,183,2.0491803278688525E-4,NO
310,49,2.0491803278688525E-4,NO
311,50,4.096681687832855E-4,NO
312,98,2.0491803278688525E-4,NO
313,143,4.096681687832855E-4,NO
314,43,4.096681687832855E-4,NO
315,42,4.096681687832855E-4,NO
316,56,1.3663068725235688E-4,NO
317,44,2.0491803278688525E-4,NO
318,26,4.096681687832855E-4,NO
319,254,4.096681687832855E-4,NO
320,16883,0.3333788768957508,NO
321,74,2.0491803278688525E-4,NO
322,153,4.096681687832855E-4,NO
323,68,1.3663068725235688E-4,NO
324,100,1.0248001639680262E-4,NO
325,550,1.0248001639680262E-4,NO
326,437,2.0491803278688525E-4,NO
327,1038,1.0248001639680262E-4,NO
328,104,1.0248001639680262E-4,NO
329,332,2.0491803278688525E-4,NO
330,123,2.0491803278688525E-4,NO
331,106,1.3663068725235688E-4,NO
332,105,1.0248001639680262E-4,NO
333,94,2.0491803278688525E-4,NO
334,101,1.3663068725235688E-4,NO
335,38,1.0248001639680262E-4,NO
336,666,2.0491803278688525E-4,NO
337,32,1.3663068725235688E-4,NO
338,111,2.0491803278688525E-4,NO
339,35,2.0491803278688525E-4,NO
340,90,2.0491803278688525E-4,NO
341,27,2.0491803278688525E-4,NO
342,28,1.0248001639680262E-4,NO
343,92,6.83246788740093E-5,NO
344,979,1.3663068725235688E-4,NO
345,67,4.096681687832855E-4,NO
346,29,2.0491803278688525E-4,NO
347,105,4.096681687832855E-4,NO
348,72,2.0491803278688525E-4,NO
349,37,2.0491803278688525E-4,NO
350,47,2.0491803278688525E-4,NO
351,31,4.096681687832855E-4,NO
352,90,4.096681687832855E-4,NO
353,223,2.0491803278688525E-4,NO
354,214,1.3663068725235688E-4,NO
355,107,1.0248001639680262E-4,NO
356,37,2.0491803278688525E-4,NO
357,27,4.096681687832855E-4,NO
358,48,4.096681687832855E-4,NO
359,167,1.0248001639680262E-4,NO
360,213,2.0491803278688525E-4,NO
361,867,6.83246788740093E-5,NO
362,159,1.0248001639680262E-4,NO
363,100,4.096681687832855E-4,NO
364,96,1.0248001639680262E-4,NO
365,842,2.0491803278688525E-4,NO
366,535,2.0491803278688525E-4,NO
367,83,6.83246788740093E-5,NO
368,63,1.0248001639680262E-4,NO
369,76,4.096681687832855E-4,NO
370,202,2.0491803278688525E-4,NO
371,155,8.198737394441256E-5,NO
372,1263,1.0248001639680262E-4,NO
373,74,2.0491803278688525E-4,NO
374,101,1.0248001639680262E-4,NO
375,27,2.0491803278688525E-4,NO
376,22,4.096681687832855E-4,NO
377,491,2.0491803278688525E-4,NO
378,62,1.3663068725235688E-4,NO
379,59,1.0248001639680262E-4,NO
380,99,1.0248001639680262E-4,NO
381,27,1.3663068725235688E-4,NO
382,77,1.3663068725235688E-4,NO
383,863,4.096681687832855E-4,NO
384,64,1.0248001639680262E-4,NO
385,45,1.0248001639680262E-4,NO
386,63,2.0491803278688525E-4,NO
387,54,1.3663068725235688E-4,NO
388,64,2.0491803278688525E-4,NO
389,132,1.0248001639680262E-4,NO
