ID,Size,Predicted %,Actual value
0,215,0.9974747474747476,NO
1,273,0.9974747474747476,YES
2,460,0.9974747474747476,YES
3,138,0.9974747474747476,NO
4,358,0.9974747474747476,NO
5,1154,0.9974747474747476,YES
6,51,0.0025252525252525255,NO
7,157,0.0025252525252525255,NO
8,31,0.0025252525252525255,NO
9,1009,0.9974747474747476,YES
10,193,0.0012658227848101264,NO
11,83,0.9974747474747476,NO
12,262,0.9974747474747476,YES
13,638,0.33361486486486486,NO
14,40,0.0025252525252525255,NO
15,374,0.9974747474747476,NO
16,390,0.0025252525252525255,NO
17,51,0.9974747474747476,YES
18,579,0.0025252525252525255,NO
19,32,0.0025252525252525255,NO
20,66,0.9974747474747476,YES
21,260,0.9974747474747476,YES
22,596,0.9974747474747476,YES
23,198,0.0025252525252525255,NO
24,50,0.9974747474747476,NO
25,27,0.9974747474747476,YES
26,926,0.0025252525252525255,NO
27,60,0.9974747474747476,NO
28,62,0.9974747474747476,NO
29,87,0.0025252525252525255,NO
30,52,0.9974747474747476,YES
31,297,0.9974747474747476,NO
32,163,0.0025252525252525255,NO
33,118,0.0025252525252525255,NO
34,83,0.9974747474747476,NO
35,147,0.0025252525252525255,NO
36,58,0.0025252525252525255,YES
37,44,0.0025252525252525255,NO
38,106,0.9974747474747476,YES
39,192,0.9974747474747476,YES
40,151,0.9974747474747476,YES
41,352,0.9974747474747476,YES
42,752,0.0025252525252525255,NO
43,877,0.0025252525252525255,NO
44,319,0.0025252525252525255,NO
45,27,0.9974747474747476,YES
46,55,0.0025252525252525255,NO
47,94,0.0025252525252525255,NO
48,191,0.0025252525252525255,NO
49,90,0.9974747474747476,NO
50,90,0.9974747474747476,YES
51,271,0.9974747474747476,YES
52,138,0.9974747474747476,YES
53,79,0.9974747474747476,YES
54,82,0.9974747474747476,NO
55,147,0.0025252525252525255,NO
56,422,0.0025252525252525255,YES
57,1026,0.9974747474747476,YES
58,530,0.0025252525252525255,YES
59,189,0.0025252525252525255,NO
60,167,0.0012658227848101264,NO
61,86,0.0025252525252525255,NO
62,195,0.9974747474747476,NO
63,374,0.9974747474747476,YES
64,573,0.9974747474747476,YES
65,126,0.0025252525252525255,NO
66,106,0.0025252525252525255,NO
67,109,0.0025252525252525255,YES
68,85,0.9974747474747476,YES
69,237,0.0025252525252525255,NO
70,345,0.9974747474747476,YES
71,47,0.0025252525252525255,NO
72,781,0.9974747474747476,NO
73,27,0.0025252525252525255,YES
74,89,0.9974747474747476,NO
75,300,0.9974747474747476,NO
76,166,0.9974747474747476,YES
77,92,0.9974747474747476,YES
78,497,0.9974747474747476,NO
79,93,0.0025252525252525255,NO
80,244,0.9974747474747476,YES
81,183,0.9974747474747476,NO
82,252,0.9974747474747476,NO
83,109,0.0025252525252525255,NO
84,607,0.0025252525252525255,NO
85,565,0.0012658227848101264,NO
86,69,0.0025252525252525255,NO
87,77,0.9974747474747476,NO
88,97,0.0025252525252525255,NO
89,343,0.0025252525252525255,NO
90,214,0.9974747474747476,NO
91,79,0.9974747474747476,NO
92,25,0.0025252525252525255,NO
93,84,0.0025252525252525255,NO
94,34,0.9974747474747476,YES
95,33,0.9974747474747476,NO
96,104,0.9974747474747476,NO
97,172,0.0025252525252525255,NO
98,70,0.9974747474747476,NO
99,140,0.9974747474747476,YES
100,156,0.9974747474747476,NO
101,142,0.0025252525252525255,NO
102,152,0.9974747474747476,NO
103,31,0.0025252525252525255,NO
104,60,0.9974747474747476,YES
105,60,0.0025252525252525255,NO
106,876,0.9974747474747476,NO
107,61,0.9974747474747476,YES
108,185,0.9974747474747476,YES
109,264,0.9974747474747476,YES
110,248,0.9974747474747476,NO
111,286,0.0025252525252525255,NO
112,185,0.33361486486486486,NO
113,194,0.0025252525252525255,YES
114,346,0.0025252525252525255,NO
115,309,0.0025252525252525255,NO
116,363,0.0025252525252525255,NO
117,84,0.33361486486486486,NO
118,53,0.9974747474747476,NO
119,132,0.0025252525252525255,NO
120,4088,0.9974747474747476,NO
121,721,0.0025252525252525255,NO
122,47,0.9974747474747476,NO
123,101,0.0025252525252525255,NO
124,517,0.33361486486486486,YES
125,327,0.9974747474747476,YES
126,274,0.9974747474747476,NO
127,136,0.0025252525252525255,NO
128,56,0.9974747474747476,NO
129,74,0.0025252525252525255,NO
130,361,0.9974747474747476,NO
131,174,0.0025252525252525255,NO
132,148,0.9974747474747476,YES
133,92,0.0025252525252525255,NO
134,45,0.0025252525252525255,NO
135,168,0.9974747474747476,NO
136,77,0.9974747474747476,NO
137,666,0.0025252525252525255,NO
138,88,0.0025252525252525255,NO
139,263,0.0025252525252525255,NO
140,54,0.0025252525252525255,NO
141,51,0.0025252525252525255,NO
142,132,0.0025252525252525255,NO
143,160,0.0025252525252525255,NO
144,152,0.9974747474747476,NO
145,39,0.0025252525252525255,NO
146,677,0.0025252525252525255,NO
147,131,0.9974747474747476,NO
148,47,0.9974747474747476,NO
149,129,0.9974747474747476,NO
150,43,0.9974747474747476,NO
151,257,0.9974747474747476,NO
