ID,Size,Predicted %,Actual value
0,212,0.7413609214957783,NO
1,274,0.8664122551711496,NO
2,461,0.9987794300714039,YES
3,138,0.009904918182400673,NO
4,358,0.991376672112033,NO
5,1272,0.9999999999999829,YES
6,51,6.065047345986241E-4,NO
7,45,0.0012936507221714584,NO
8,157,9.319692942207463E-4,NO
9,31,5.391586690005458E-4,NO
10,1406,0.9999999999498393,YES
11,55,0.0012936507221714584,NO
12,204,0.022651927664844224,NO
13,55,0.0017241226884461712,NO
14,103,0.00242558861426069,NO
15,34,0.004627539923134811,NO
16,83,0.5778471575238432,NO
17,285,0.0017079232380110053,NO
18,83,0.9999999999979424,YES
19,129,5.55687777439636E-4,NO
20,867,0.07572135605988424,YES
21,380,0.5605935127441736,NO
22,40,5.168593971309319E-4,NO
23,387,0.9996931674255521,NO
24,390,5.391586690005458E-4,NO
25,51,0.0020153237409600306,YES
26,637,0.9805329991922238,YES
27,32,0.9420114260530889,NO
28,68,0.9637895315763383,YES
29,547,0.999621807355016,NO
30,566,0.07389829361008977,NO
31,314,0.0012850322483507987,NO
32,907,6.016646212394552E-4,NO
33,275,5.814216911219344E-4,NO
34,31,0.9657505173513181,NO
35,50,0.0012858497128369196,NO
36,27,8.375800829543682E-4,NO
37,175,0.0019980104398997565,NO
38,50,6.408871839680545E-4,NO
39,62,0.24316949072994223,NO
40,87,0.007372633429275825,NO
41,52,0.0010507938844462948,YES
42,373,6.031305532972383E-4,NO
43,224,0.004913201170924402,NO
44,118,0.0021099457301153816,NO
45,83,0.0018306026774441433,NO
46,147,0.002299073088290737,NO
47,58,0.07017359392489195,NO
48,44,5.913504822876045E-4,NO
49,106,0.32059394116863044,NO
50,238,0.9999999998536061,YES
51,43,0.9999999742840376,YES
52,185,0.0012936507221714584,NO
53,189,0.21873517611785606,NO
54,151,5.168593971309319E-4,NO
55,364,6.408871839680545E-4,NO
56,910,0.0038661589893058713,NO
57,889,0.0019674716278870624,NO
58,43,5.662174028897918E-4,NO
59,325,0.0010835105907292576,NO
60,27,0.06408992634968635,NO
61,55,0.0423991863661925,NO
62,93,0.009177022198984525,YES
63,191,0.0016896127843788692,NO
64,90,0.0010059876735420484,NO
65,89,0.3709210429111375,NO
66,272,0.9999999928117532,YES
67,152,0.12581600592581396,NO
68,90,0.6308140819272521,YES
