ID,Size,Predicted %,Actual value
0,215,0.9977800455384499,NO
1,274,0.9976512486356119,YES
2,461,0.9999985769156332,YES
3,138,0.2036124977610202,NO
4,358,0.9999989433818475,NO
5,1248,1.0,YES
6,51,0.028733882729469414,NO
7,45,0.042172540765666726,NO
8,157,0.024007815035660417,NO
9,31,0.9999999999999997,NO
10,1008,0.10443946541721641,NO
11,55,0.046279867873001056,YES
12,204,0.9967452912961894,NO
13,55,0.9999999976375891,YES
14,103,0.02474889891588145,NO
15,83,0.2592302753316873,NO
16,262,0.9964672816580354,NO
17,83,0.022952794732343056,NO
18,867,0.9999106644436652,YES
19,40,0.024007815035660417,NO
20,387,0.02784607922829963,NO
21,390,0.9809954244853571,YES
22,51,0.9995705737460364,NO
23,637,0.7690784063114281,NO
24,32,0.02784607922829963,NO
25,68,0.02747702297513999,NO
26,547,0.9999978033221243,NO
27,566,0.022952794732343056,NO
28,314,0.041988818380730465,NO
29,839,0.04015622587136428,NO
30,211,0.029667851774960043,NO
31,31,0.9170348218787377,NO
32,50,0.054767789750771026,NO
33,27,0.10057875913820268,NO
34,175,0.046279867873001056,NO
35,50,0.21595752056229725,NO
36,62,0.04211966194956464,NO
37,87,0.07880835417835333,NO
38,52,0.4739411006822827,NO
39,373,0.9378646136923392,NO
40,224,0.045514805763436875,NO
41,118,0.9953719584256149,YES
42,83,0.9999999999997691,YES
43,147,0.9999999999999952,YES
44,58,0.9974802151376579,YES
45,44,0.08442466731403521,NO
46,106,0.029667851774960043,NO
47,189,0.28084436227049664,NO
48,151,0.12222239764818185,NO
49,352,0.025333224431914558,NO
50,849,0.10612961110310412,NO
51,877,0.8941707385649925,YES
52,41,0.33225421840873604,NO
53,319,0.05360739318840912,NO
54,27,0.031659534284695465,NO
55,55,0.055896018354685655,NO
56,94,0.9901618714892052,YES
57,191,0.9999999999943374,YES
58,90,0.9998421737337817,NO
59,90,0.46192575940899605,YES
60,271,0.6234078571922812,YES
61,152,0.04015622587136428,NO
62,90,0.38442323337896783,YES
63,82,0.9994088070791498,YES
64,147,0.9999999726800779,NO
65,422,0.13997870472687277,YES
66,1059,0.10777918406976753,NO
67,530,0.05675261579781768,NO
68,205,0.025333224431914558,NO
69,190,0.1340675933275572,NO
70,86,0.29075023586421034,YES
71,207,0.03946685981884555,NO
72,397,0.10540656874712441,YES
73,573,0.022952794732343056,NO
74,126,0.028494988913289828,NO
75,167,0.9999918942806006,NO
76,109,0.9986422223714972,NO
77,85,0.07545143185233753,NO
78,237,0.9999998802034697,NO
79,424,0.07545143185233753,NO
80,47,0.0699900098897168,NO
81,1118,0.8981732678969958,NO
82,27,0.09883981101630833,NO
83,89,0.04982393559342448,NO
84,474,1.0,NO
85,166,0.999999816780427,NO
86,92,0.05539030287701451,NO
87,476,0.03372214005896992,NO
88,93,0.7714457701073689,NO
89,244,0.5295869580029574,NO
90,204,0.09852376738729027,NO
91,252,0.024221404662476503,NO
92,109,0.022952794732343056,NO
93,618,0.04015622587136428,NO
94,565,0.022952794732343056,NO
95,69,0.029275377867662312,NO
96,77,0.027310395502693867,NO
97,97,0.07782337998201799,NO
98,343,0.02747702297513999,NO
99,214,0.2036124977610202,NO
100,79,0.11874758449941139,NO
101,25,0.08450943142246617,NO
102,84,0.16369793891510023,NO
103,34,0.042499014170381176,NO
104,33,0.041248899429371,NO
105,104,0.13015590608671462,NO
106,172,0.7633019307300882,NO
107,70,0.042499014170381176,NO
108,140,0.06877884620995645,NO
109,156,0.20736613337624954,NO
110,142,0.049935434485107386,NO
111,152,0.9992598372981274,YES
112,31,0.7918926537383182,NO
113,60,0.03945933671250369,NO
114,60,0.031705403576472835,NO
115,876,0.831587557220901,NO
116,61,0.9999989063022304,YES
117,185,0.7439446878120911,NO
118,264,0.02747702297513999,NO
119,43,0.04525913503406129,NO
120,248,1.968725081608877E-15,NO
121,310,0.9999999995348318,YES
122,199,0.024007815035660417,NO
123,194,0.037964609515320824,NO
124,346,1.0,NO
125,90,0.975380266525404,NO
126,335,0.9996914434881466,YES
127,372,0.9905793308420879,NO
128,84,0.030611909044820588,NO
129,53,0.024221404662476503,NO
130,148,0.9999999999999889,YES
131,4088,0.15348674509811847,NO
132,860,0.09297193691434062,NO
133,47,0.07545143185233753,NO
134,101,0.02474889891588145,NO
135,517,0.04128677669801775,NO
136,327,0.026995163694462282,NO
137,275,0.39173638299966673,NO
138,136,0.026995163694462282,NO
139,56,0.9993464249071127,NO
140,74,0.04939600616323686,NO
141,362,0.08442466731403521,NO
142,174,0.06150610846251213,NO
143,148,0.25813756770281127,YES
144,92,0.04632754857774264,NO
145,45,0.022952794732343056,NO
146,39,0.9918747648737666,NO
147,182,0.10671084738432905,NO
148,77,0.024007815035660417,NO
149,666,0.03894477419921043,NO
150,88,0.022952794732343056,NO
151,263,0.7073113207419499,NO
152,54,0.478651421412673,NO
153,76,0.027008743030688436,NO
154,132,0.022952794732343056,NO
155,160,0.03372214005896992,NO
156,152,0.35180153885247145,NO
157,39,0.03528500093308539,NO
158,677,0.08367724914377743,NO
159,131,0.05939295542604464,NO
160,47,0.09183912329372729,NO
161,129,0.03103646366054784,NO
162,43,0.022952794732343056,NO
163,73,0.999998588760466,NO
164,257,0.03643380682650227,NO
165,356,0.06638887368898491,NO
166,62,0.025585085741792222,NO
167,45,0.33851496211279936,NO
168,97,0.14184293771763254,NO
169,131,0.843971068748526,NO
170,68,0.9833181608351748,NO
171,99,0.3177576105765336,NO
172,53,0.9541279901690072,NO
173,81,0.038415491950512186,NO
174,78,0.01682792686237254,NO
175,69,0.038458411044296,NO
176,69,0.03459909844615305,NO
177,77,0.024462489758486243,NO
178,72,0.022952794732343056,NO
179,72,0.03379158427745626,NO
180,63,0.027008743030688436,NO
181,50,0.03345984498847884,NO
182,28,0.06078718256503015,NO
183,96,0.041868850579909,NO
184,40,0.030013330779599893,NO
185,76,0.022952794732343056,NO
186,49,0.03572315299948912,NO
187,63,0.027008743030688436,NO
188,55,0.027008743030688436,NO
189,45,0.0299647368409269,NO
190,476,0.02824480472720018,NO
191,77,0.3192783944897877,NO
192,69,0.23064094703435833,NO
193,104,0.02581233670650662,NO
194,115,0.033802275976082166,NO
195,421,0.027018866084675307,NO
196,61,0.10053434317261803,NO
197,2009,0.024221404662476503,NO
198,179,0.10333219645749409,NO
199,106,0.022952794732343056,NO
200,33,0.022952794732343056,NO
201,657,0.022952794732343056,NO
202,295,0.024221404662476503,NO
203,872,0.03353839677694704,NO
204,444,0.05179950134982205,NO
205,168,0.06755729422262373,NO
206,752,0.18616684045060033,NO
207,135,0.024462489758486243,NO
208,1126,0.19987473158259458,NO
209,163,0.09806833930067173,NO
210,184,0.02637354185534846,NO
211,51,0.054027159327557917,NO
212,25,0.028494988913289828,NO
213,180,0.022952794732343056,NO
214,64,0.022952794732343056,NO
215,101,0.022952794732343056,NO
216,512,0.022952794732343056,NO
217,187,0.022952794732343056,NO
218,56,0.022952794732343056,NO
219,39,0.053182884557471076,NO
220,261,0.03345984498847884,NO
221,73,0.03170722493522638,NO
222,65,0.03136125285303944,NO
223,329,0.028745528056339165,NO
224,64,0.027605509802314642,NO
225,164,0.03345984498847884,NO
226,624,0.04369846319233792,NO
227,74,0.022952794732343056,NO
228,117,0.022952794732343056,NO
229,84,0.03429762065825681,NO
230,226,0.13702976674612588,NO
231,76,0.040018137133401126,NO
232,323,0.3782456269984342,NO
233,72,0.04909453909528725,NO
234,42,0.024007815035660417,NO
235,48,0.022952794732343056,NO
236,89,0.9943114351037993,NO
237,380,0.23889462232370595,NO
238,141,0.5071598053585393,NO
239,148,0.05031634172511193,NO
240,191,0.03211106066972634,NO
241,46,0.36416341858472223,NO
242,165,0.22069433385392148,NO
243,171,0.03273773849223301,NO
244,56,0.03136125285303944,NO
245,179,0.05055658411663419,NO
246,74,0.11683827725696008,NO
247,36,0.03362960275211698,NO
248,37,0.03273773849223301,NO
249,34,0.2639333472112472,NO
250,34,0.14415183996090472,NO
251,38,0.03273773849223301,NO
252,39,0.024221404662476503,NO
253,156,0.024462489758486243,NO
254,84,0.031972228180640064,NO
255,117,0.02824480472720018,NO
256,94,0.02159395168439901,NO
257,71,0.022952794732343056,NO
258,183,0.035765978956469865,NO
259,85,0.024007815035660417,NO
260,183,0.022952794732343056,NO
261,70,0.041868850579909,NO
262,54,0.029667851774960043,NO
263,160,0.022952794732343056,NO
264,128,0.06252411624507778,NO
265,151,0.05606970147680639,NO
266,422,0.022952794732343056,NO
267,221,0.022952794732343056,NO
268,50,0.04520561063124481,NO
269,42,0.022952794732343056,NO
270,624,0.022952794732343056,NO
