ID,Size,Predicted %,Actual value
0,215,0.9999970028925679,NO
1,273,0.9957266465737111,YES
2,460,0.999282017272345,YES
3,138,0.025193188808554593,YES
4,358,0.9999842539909773,YES
5,1248,1.0,YES
6,51,0.008201297543604548,NO
7,157,0.017701551956292583,YES
8,31,0.0063588477918230255,NO
9,981,1.0,NO
10,180,0.010198999334127337,NO
11,262,0.99312255220311,YES
12,553,0.9998817943946353,YES
13,40,0.006649184899155752,NO
14,369,0.025146526900740884,YES
15,390,0.970449648594643,YES
16,51,0.010073188717311714,NO
17,577,1.0,NO
18,32,0.0063588477918230255,NO
19,66,0.006558282553556944,NO
20,188,0.9965557015749964,YES
21,582,1.0,NO
22,160,0.014963436018142356,YES
23,50,0.010073188717311714,NO
24,27,0.008201297543604548,NO
25,923,0.9999999999544575,YES
26,60,0.0074903360329992095,NO
27,62,0.01146508674370495,NO
28,87,0.01146508674370495,NO
29,52,0.011118107948651482,NO
30,268,0.9999999118505716,NO
31,163,0.013312380945502574,NO
32,109,0.013821305019832133,NO
33,147,0.012661813781579252,NO
34,58,0.01489352646709366,NO
35,44,0.0063588477918230255,NO
36,106,0.36531262458041647,NO
37,139,0.007010596959097773,NO
38,326,0.9156239376707368,NO
39,648,1.0,NO
40,792,1.0,YES
41,319,0.9979959476616412,YES
42,55,0.0070212011356397645,NO
43,191,0.06283012804852298,NO
44,90,0.01185771654667738,NO
45,273,0.28887517030240756,NO
46,137,0.954466440963502,NO
47,79,0.1532561656138022,NO
48,82,0.01086018775950947,NO
49,147,0.2976256868228758,NO
50,422,0.995665966598463,NO
51,979,1.0,YES
52,495,1.0,YES
53,189,0.9168272005300064,NO
54,167,0.9999999949998675,NO
55,86,0.007241258126571794,YES
56,182,1.0,NO
57,361,1.0,NO
58,126,0.9999998404178256,NO
59,106,0.10308286843836084,NO
60,109,0.015381645731841906,NO
61,85,0.006558282553556944,NO
62,236,0.5790542207568811,NO
63,315,1.0,YES
64,695,0.8403517987300874,YES
65,27,0.0063588477918230255,NO
66,89,0.1942230414956502,NO
67,301,0.9999999999889888,YES
68,153,0.9999968930366803,NO
69,92,0.07305700223957493,NO
70,466,0.999988654444788,NO
71,93,0.07305700223957493,NO
72,244,0.1194661511151906,NO
73,192,0.9207803720896874,NO
74,252,0.2763305525438897,YES
75,109,0.028505217930084075,NO
76,601,1.0,NO
77,565,0.9999999999565297,YES
78,69,0.35769546387065726,NO
79,77,0.013199347143711076,NO
80,94,0.09997522527860797,NO
81,337,0.26926592988662756,NO
82,214,0.03461988140835744,NO
83,79,0.01185771654667738,NO
84,25,0.010073188717311714,NO
85,84,0.011565175666117474,NO
86,34,0.010073188717311714,NO
87,33,0.01431966073991948,NO
88,104,0.010823702021273949,NO
89,172,0.03503787694749109,NO
90,70,0.013382028445040146,NO
91,140,0.032742336069212404,NO
92,156,0.02100257911794782,YES
93,248,0.26890169332419495,NO
94,277,0.9999999999882095,YES
95,189,0.012695877532230513,NO
96,194,1.0,YES
97,346,0.9999711065804294,YES
98,304,0.009657443408903787,YES
99,356,0.012807568958400685,NO
100,84,1.0,NO
101,53,0.8108410794337333,NO
102,132,1.0,YES
103,4088,0.31646548475845837,YES
104,691,1.0,YES
105,47,0.8996768636683673,NO
106,101,0.9999999999998405,NO
107,510,0.9999851047197048,NO
108,328,0.01431966073991948,NO
109,273,0.019152925864925917,NO
110,136,1.0,NO
111,56,0.09261621055590509,NO
112,74,0.02084286930412523,NO
113,359,0.02022160832303787,NO
114,174,0.010531320567144977,NO
115,148,0.324111626867321,NO
116,92,0.007241258126571794,NO
117,45,0.27478756198515325,YES
118,168,0.011565175666117474,NO
119,77,0.9999236806770193,YES
120,666,0.017017481410518915,NO
121,88,0.15298279640234821,NO
122,262,0.38465280099083965,NO
123,54,0.012251642191416105,NO
124,48,0.0063588477918230255,NO
125,140,0.013635761732367649,NO
126,152,0.0063588477918230255,NO
127,39,0.31852637709086684,NO
128,131,0.0063588477918230255,NO
129,47,0.7125710664020147,NO
130,129,0.1707162845397039,NO
131,43,0.010073188717311714,NO
132,243,0.1766774744757309,YES
133,62,0.006558282553556944,NO
134,45,0.0063588477918230255,NO
135,97,0.0063588477918230255,NO
136,476,0.15705399592718727,NO
137,77,0.35239941465823815,NO
138,69,0.30182040082171796,YES
139,104,0.2515136167052277,YES
140,115,0.39385755054454535,NO
141,421,0.0070212011356397645,NO
142,61,0.050767953556109816,NO
143,2009,0.22865682294409712,NO
144,179,0.01162320506648327,NO
145,106,0.6447412954799534,NO
146,33,0.007241258126571794,NO
147,657,0.0063588477918230255,NO
148,295,0.0063588477918230255,NO
149,872,0.15298279640234821,NO
150,444,0.010073188717311714,NO
151,168,0.0063588477918230255,NO
152,752,0.0063588477918230255,NO
153,135,0.019560011971764168,NO
154,1126,0.012761493866002569,NO
155,163,0.32567434284733765,NO
156,184,0.014680683572327196,NO
157,51,0.023481771480375037,NO
158,25,0.9999917773813634,NO
159,180,0.025657740665402436,NO
160,64,0.014613560629298595,NO
161,101,0.010387899775289084,NO
162,512,0.010073188717311714,NO
163,187,0.012670862865658048,NO
164,56,1.0,NO
165,39,1.0,NO
166,261,1.0,YES
167,73,0.4794036442093769,YES
168,65,0.010073188717311714,NO
169,329,0.2514892729731975,NO
170,64,0.9998034222830281,NO
171,164,0.5033009616204153,NO
172,624,0.728616207341337,NO
173,74,0.021863614862839005,NO
174,117,0.011985756094990899,NO
175,84,0.9176151836701395,YES
176,226,0.09083549100259897,NO
177,76,0.011118107948651482,NO
178,323,0.014680683572327196,NO
179,72,0.026910795160189946,NO
180,42,0.05533677672423047,NO
181,48,0.015094116650708056,NO
182,89,0.011118107948651482,NO
183,380,0.7339040537314105,NO
184,141,0.08781344588821842,NO
185,148,0.011118107948651482,NO
186,191,0.010387899775289084,NO
187,46,0.007082773395073439,NO
188,165,0.0073047459743883205,NO
189,171,0.007241258126571794,NO
190,56,0.010073188717311714,NO
191,179,0.010073188717311714,NO
192,74,0.010387899775289084,NO
193,36,0.010073188717311714,NO
194,37,0.0063588477918230255,NO
195,34,0.009160493938155826,NO
196,34,0.0070212011356397645,NO
197,38,0.0063588477918230255,NO
198,39,0.007480486981974314,NO
199,156,0.016565029213565945,NO
200,84,0.0063588477918230255,NO
201,117,0.0063588477918230255,NO
202,94,0.007341557029620922,NO
203,71,0.010073188717311714,NO
204,183,0.010073188717311714,NO
205,85,0.9851093655982905,NO
206,183,0.9999999999827307,NO
207,70,0.01146508674370495,NO
208,54,0.00780813814947367,NO
209,160,0.019152925864925917,NO
210,125,0.01237977393960484,NO
211,151,0.9999812221145229,YES
212,422,0.4466393359266642,NO
213,221,0.9999999999998733,YES
214,50,0.010823702021273949,YES
215,42,0.9114445168541206,YES
216,624,0.009729126699776292,NO
217,377,0.24509214621759295,NO
218,383,0.9998222264075252,NO
219,72,0.9996220945170193,YES
220,92,0.014317431554768568,YES
221,282,0.15412569857073594,NO
222,371,1.0,YES
223,47,0.0063588477918230255,NO
224,108,0.006775101984971515,NO
225,111,0.0063588477918230255,NO
226,319,0.19186416513694451,NO
227,129,0.0063588477918230255,NO
228,49,0.0063588477918230255,NO
229,358,0.15705399592718727,NO
230,277,1.0,YES
231,49,0.007241258126571794,NO
232,89,0.0063588477918230255,NO
233,41,0.01237977393960484,NO
234,66,0.006615822306482563,NO
235,63,0.0063588477918230255,NO
236,24,0.010073188717311714,NO
237,50,0.0063588477918230255,NO
238,72,0.21011071790844674,NO
239,47,0.9999985182406694,NO
240,47,0.043173862391234843,NO
241,183,0.348448821206253,NO
242,49,0.0063588477918230255,NO
243,50,0.0063588477918230255,NO
244,98,0.009053816344468424,NO
245,143,0.2979000772550772,YES
246,43,0.24261914659232897,NO
247,42,1.0,YES
248,56,0.03355236929777989,NO
249,44,0.34245102937302124,NO
250,26,0.34245102937302124,NO
251,254,0.999999994651678,YES
252,16883,1.0,NO
253,74,0.17559384441930484,NO
254,153,0.0074903360329992095,NO
255,68,0.014365523310231517,NO
256,100,0.2970144000922238,NO
257,550,0.034967598113906255,YES
258,437,1.0,YES
259,1038,0.006558282553556944,NO
260,104,0.025964934451679893,NO
261,332,0.010073188717311714,NO
262,123,0.0063588477918230255,NO
263,106,0.10916022085206682,YES
264,106,0.006558282553556944,NO
265,94,0.010387899775289084,NO
266,101,0.012247577416787359,NO
267,38,0.0063588477918230255,NO
268,628,0.0074903360329992095,NO
269,32,1.0,NO
270,111,0.9999842676171549,NO
271,35,0.0063588477918230255,NO
272,90,0.006558282553556944,NO
273,27,0.010161251428480681,NO
274,28,0.006558282553556944,NO
275,92,0.01235851181029918,NO
276,956,0.9169948891139779,NO
277,67,0.010387899775289084,NO
278,29,0.0064146490819670405,NO
279,105,0.006615822306482563,NO
280,72,0.006558282553556944,NO
281,37,0.012391331337981594,NO
282,47,0.0068576627597626135,NO
283,31,0.007241258126571794,YES
284,90,0.006615822306482563,NO
285,223,0.007341557029620922,NO
286,214,0.013514776672876556,NO
287,107,0.0074903360329992095,NO
288,37,0.05400533303791911,NO
289,27,0.007082773395073439,NO
290,48,0.9997125493433885,YES
291,167,0.012761493866002569,NO
292,213,0.4327149633571351,NO
293,867,0.37254311155191455,NO
294,159,0.036941957840616754,NO
295,100,0.006558282553556944,NO
296,96,0.027817489215163624,NO
297,842,0.017685292159139287,NO
298,525,0.01850014045167779,NO
299,83,0.01592523032923775,NO
300,63,0.012247577416787359,NO
301,76,0.6164407219084838,NO
302,202,0.006558282553556944,NO
303,155,0.0063588477918230255,NO
304,1263,0.006615822306482563,NO
305,74,0.08367181118846412,YES
306,101,0.05271997521661536,YES
307,27,0.05897687510360638,NO
308,22,0.0070212011356397645,NO
309,491,0.007737729518527486,NO
310,62,0.01237977393960484,YES
