ID,Size,Predicted %,Actual value
0,215,0.9999999999998214,NO
1,271,0.9999999751846398,NO
2,458,0.9999998838829788,NO
3,137,0.9590988674729846,NO
4,357,0.9999999995184824,YES
5,1242,1.0,YES
6,51,0.8818604039094934,NO
7,154,0.8628425018225268,NO
8,31,0.7381244040065795,NO
9,928,0.9999994708573906,YES
10,180,0.8344665269906224,NO
11,260,0.9147743098974402,YES
12,551,0.999999999990901,YES
13,40,0.6344876340900185,NO
14,361,0.976233450744864,YES
15,388,0.9984812524499312,YES
16,51,0.9999989849065393,YES
17,577,0.6344876340900185,NO
18,32,0.7315827048369267,NO
19,66,0.999983849913137,YES
20,188,0.994139951667134,YES
21,582,0.891393221291422,YES
22,158,9.928102826270966E-6,YES
23,50,0.8514216279708817,NO
24,27,0.9958200665439196,YES
25,928,0.738586015876784,NO
26,60,0.9628539469081415,YES
27,62,0.8221317512107803,YES
28,87,0.7315827048369267,YES
29,52,0.8626817585525477,NO
30,268,0.8537006327639725,YES
31,163,0.8224199125990099,NO
32,109,0.8213384015552119,NO
33,147,0.6344876340900185,NO
34,58,0.6859861497472354,NO
35,44,0.731212806116798,NO
36,106,1.0,YES
37,139,1.0,YES
38,326,0.9995635225913132,YES
39,648,0.6342435270653226,NO
40,778,0.9671120459541966,NO
41,314,0.6342435270653226,NO
42,55,0.999465297596471,YES
43,191,0.8567658239312904,NO
44,90,0.8065241451378858,NO
45,273,1.0,YES
46,137,0.9973687392759887,YES
47,79,0.9993383842240589,NO
48,82,1.0,YES
49,147,0.6949554262419142,NO
50,422,0.9945713231891027,YES
51,978,0.9997290091544166,YES
52,467,0.9999992757401732,YES
53,189,0.9879925323162403,YES
54,153,0.798014898932658,NO
55,84,0.8065241451378858,NO
56,182,0.974668183256433,YES
57,358,0.9427549145641414,YES
58,126,0.9938810479390795,YES
59,106,0.6344876340900185,NO
60,109,0.7757643573314476,YES
61,85,0.9999994614241144,YES
62,236,0.999999955265861,YES
63,314,0.9999999815699889,YES
64,694,0.9277445364656585,NO
65,27,0.9904451107722368,NO
66,89,0.7618740433588091,NO
67,301,0.8142583940459261,NO
68,153,0.8920078735410003,YES
69,92,0.9999999998124318,YES
70,466,0.863195385211699,NO
71,93,0.9999999999999867,YES
72,244,0.9999918678220168,YES
73,192,0.8213384015552119,NO
74,250,0.8224199125990099,NO
75,109,0.8644327773350625,YES
76,601,1.0,YES
77,565,0.8344665269906224,YES
78,69,0.9958368039138288,NO
79,77,0.9622985507264198,NO
80,94,0.9087261171619937,NO
81,337,0.738586015876784,NO
82,214,0.32570576921412536,NO
83,79,0.738586015876784,NO
84,25,0.9976343613849484,YES
85,84,0.9490144285647544,NO
86,34,0.7605521434307471,YES
87,33,0.8065241451378858,YES
88,104,0.7605521434307471,NO
89,172,0.681889656268296,NO
90,70,0.7861502582081766,YES
91,140,0.6344876340900185,NO
92,154,0.8065241451378858,YES
93,248,0.7861502582081766,NO
94,275,0.7605521434307471,NO
95,176,0.7605521434307471,NO
96,624,0.7861502582081766,YES
97,91,0.9178046288354433,YES
98,58,0.6859861497472354,YES
99,132,0.6859861497472354,YES
100,4088,0.7171851229214318,YES
101,558,0.7605521434307471,NO
102,727,0.772833383573778,NO
103,150,0.7039564961163512,NO
104,503,0.7861502582081766,NO
105,325,0.7039564961163512,YES
106,273,0.7861502582081766,NO
