ID,Size,Predicted %,Actual value
0,215,0.999995470290424,NO
1,273,0.9724986332412657,YES
2,460,0.9998469282701559,YES
3,138,1.9967774782807566E-4,YES
4,358,0.9999393480762656,YES
5,1248,1.0,YES
6,51,6.659657368477919E-5,NO
7,157,1.1845338030699164E-4,YES
8,31,5.1092271883512636E-5,NO
9,981,1.0,NO
10,180,1.4268028441410507E-4,NO
11,262,0.7423587722895625,YES
12,553,0.9999927088682096,YES
13,40,5.1383540310099985E-5,NO
14,369,0.001550773341601456,YES
15,390,0.6704023333229571,YES
16,51,7.722641108607877E-5,NO
17,577,1.0,NO
18,32,5.1092271883512636E-5,NO
19,66,4.550962579815556E-5,NO
20,188,0.9000612785019488,YES
21,582,1.0,NO
22,160,9.476454309424802E-5,YES
23,50,7.722641108607877E-5,NO
24,27,6.659657368477919E-5,NO
25,923,1.0,YES
26,60,9.497167854784265E-5,NO
27,62,7.531801069701783E-5,NO
28,87,7.531801069701783E-5,NO
29,52,8.455692924380816E-5,NO
30,268,0.9999143937822159,NO
31,163,1.6956577365768741E-4,NO
32,109,8.813730178463774E-5,NO
33,147,1.7139267475320898E-4,NO
34,58,1.0820900687417123E-4,NO
35,44,5.1092271883512636E-5,NO
36,106,0.008570359536131656,NO
37,139,4.8529405750002535E-5,NO
38,326,0.34262802331746933,NO
39,648,1.0,NO
40,792,1.0,YES
41,319,0.9785063737650685,YES
42,55,5.594221297945601E-5,NO
43,191,5.971022243354942E-4,NO
44,90,1.4354729193583816E-4,NO
45,273,0.01605632176422617,NO
46,137,0.14528903429802636,NO
47,79,0.0017704054431857982,NO
48,82,6.918053368862029E-5,NO
49,147,0.0025895161841388357,NO
50,422,0.9997032212910942,NO
51,979,1.0,YES
52,495,0.9999999999999173,YES
53,189,0.2622306480396191,NO
54,167,0.9999999966646095,NO
55,86,4.9829659836861684E-5,YES
56,182,0.9999999999864194,NO
57,361,1.0,NO
58,126,0.9993754258682238,NO
59,106,0.0020239376988074203,NO
60,109,9.47467868564256E-5,NO
61,85,4.550962579815556E-5,NO
62,236,0.013866252555259211,NO
63,315,0.9999999997445906,YES
64,695,0.9999999999973326,YES
65,27,5.1092271883512636E-5,NO
66,89,8.346598967028673E-4,NO
67,301,0.9999999999999015,YES
68,153,0.9999791022783449,NO
69,92,0.0010336604774136933,NO
70,466,0.999999980805406,NO
71,93,0.0010336604774136933,NO
72,244,0.002103290386818163,NO
73,192,0.806244200666498,NO
74,252,0.005427794833248849,YES
75,109,2.1535375229119713E-4,NO
76,601,1.0,NO
77,565,0.9999999999999997,YES
78,69,0.0022628520603728912,NO
79,77,1.5431137417193635E-4,NO
80,94,0.0010812640647563905,NO
81,337,0.5109716652907144,NO
82,214,2.706568403366453E-4,NO
83,79,1.4354729193583816E-4,NO
84,25,7.722641108607877E-5,NO
85,84,7.394699200912168E-5,NO
86,34,7.722641108607877E-5,NO
87,33,1.1021519250764076E-4,NO
88,104,6.638758472526842E-5,NO
89,172,4.785473565325524E-4,NO
90,70,8.966221876859753E-5,NO
91,140,2.5112961226246534E-4,NO
92,156,2.562846025476269E-4,YES
93,248,0.003150505997538713,NO
94,277,0.9999999990547083,YES
95,189,8.03155597827752E-5,NO
96,194,1.0,YES
97,346,0.9998169294107324,YES
98,304,1.3897375161227635E-4,YES
99,356,7.445909555497878E-5,NO
100,84,1.0,NO
101,53,0.9962671951437905,NO
102,132,1.0,YES
103,4088,0.07306611860771213,YES
104,691,1.0,YES
105,47,0.867371624550575,NO
106,101,0.9999999999955088,NO
107,510,0.9997984705788318,NO
108,328,1.1021519250764076E-4,NO
109,273,1.234009891199417E-4,NO
110,136,1.0,NO
111,56,0.0010833380946403902,NO
112,74,1.661302850590796E-4,NO
113,359,1.596101593413445E-4,NO
114,174,7.76666542615375E-5,NO
115,148,0.0015955445537518605,NO
116,92,4.9829659836861684E-5,NO
117,45,0.9867475808668742,YES
118,168,7.394699200912168E-5,NO
119,77,0.9983200963277035,YES
120,666,1.6272642464160777E-4,NO
121,88,7.295239615391925E-4,NO
122,262,0.0020409840598377667,NO
123,54,8.03155597827752E-5,NO
124,48,5.1092271883512636E-5,NO
125,140,7.957747569113511E-5,NO
126,152,5.1092271883512636E-5,NO
127,39,0.0014442500962727,NO
128,131,5.1092271883512636E-5,NO
129,47,0.013526574342535508,NO
130,129,7.115076118547229E-4,NO
131,43,7.722641108607877E-5,NO
132,243,6.985640825384191E-4,YES
133,62,4.550962579815556E-5,NO
134,45,5.1092271883512636E-5,NO
135,97,5.1092271883512636E-5,NO
136,476,6.498600025122291E-4,NO
137,77,0.0318671548743472,NO
138,69,0.0014658558955360362,YES
139,104,0.001138688358467334,YES
140,115,0.004799985795978724,NO
141,421,5.594221297945601E-5,NO
142,61,4.1963455643150976E-4,NO
143,2009,0.010833737416575371,NO
144,179,8.503895781478522E-5,NO
145,106,0.02788174394860771,NO
146,33,4.9829659836861684E-5,NO
147,657,5.1092271883512636E-5,NO
148,295,5.1092271883512636E-5,NO
149,872,7.295239615391925E-4,NO
150,444,7.722641108607877E-5,NO
151,168,5.1092271883512636E-5,NO
152,752,5.1092271883512636E-5,NO
153,135,1.5946932234039494E-4,NO
154,1126,8.095430591575707E-5,NO
155,163,0.0015026483947049966,NO
156,184,9.59127963896219E-5,NO
157,51,1.4522428825178724E-4,NO
158,25,0.9999903946879929,NO
159,180,1.6193226977054916E-4,NO
