ID,Size,Predicted %,Actual value
0,215,0.94169293444363,NO
1,273,0.9325162466044024,NO
2,460,0.9999970860181724,NO
3,138,0.011629428671728064,NO
4,358,0.9999895434315969,NO
5,1154,1.0,YES
6,51,7.715023429724866E-4,NO
7,157,0.0034379456462367074,NO
8,31,6.188514649089714E-4,NO
9,1009,0.9999999999998942,YES
10,193,0.0013144940075038014,NO
11,83,0.9841311247278652,NO
12,262,0.9999997454366826,YES
13,638,6.464233733969112E-4,NO
14,40,0.040556451953762646,NO
15,374,0.9882723548624416,NO
16,390,5.98752180001071E-4,NO
17,51,0.9944069566594469,YES
18,579,6.188514649089714E-4,NO
19,32,7.151938773886814E-4,NO
20,66,0.07891689190111938,YES
21,260,0.9346919974508734,YES
22,596,0.01943937264323682,YES
23,198,7.151938773886814E-4,NO
24,50,7.049418481378843E-4,NO
25,27,0.9997743177063564,YES
26,926,5.98752180001071E-4,NO
27,60,0.0010391196624815544,NO
28,62,0.0010391196624815544,NO
29,87,7.705323378102161E-4,NO
30,52,0.026162333110230977,NO
31,297,0.0015721027898017836,NO
32,163,9.374331428673615E-4,NO
33,118,0.006596208910385851,NO
34,83,0.0010370098057327925,NO
35,147,0.002249942541488952,NO
36,58,0.006047383947961125,NO
37,44,6.506816157564546E-4,NO
38,106,0.5756494095677797,NO
39,192,0.9999573983685621,NO
40,151,0.9999999178049943,YES
41,352,0.991596048282525,YES
42,752,7.705323378102161E-4,NO
43,877,0.0020712837962442525,NO
44,319,6.506816157564546E-4,NO
45,27,0.07061521483538466,YES
46,55,0.006512614204440652,NO
47,94,0.001488006620813675,NO
48,191,8.547996439183818E-4,NO
49,90,0.0014654584048703098,NO
50,90,0.35209517409283875,NO
51,271,0.9999999854035725,YES
52,138,0.9501201022265431,YES
53,79,0.018584813776619996,NO
54,82,0.04210413727641302,NO
55,147,0.0033898956435308198,NO
56,422,0.004370606380615319,NO
57,1026,0.9843395105366097,NO
58,530,0.004483665651910464,NO
59,189,0.0017902559811676898,NO
60,167,0.0014087279832917905,NO
61,86,6.188514649089714E-4,NO
62,195,0.001664579946675315,NO
63,374,0.06658396877307819,NO
64,573,0.9994606702336117,YES
65,126,5.901568963904585E-4,NO
66,106,0.0010004555369756143,NO
67,109,0.9928416081882075,YES
68,85,0.2957014183582926,YES
69,237,0.0013613664601563964,NO
70,345,0.7950108881705451,YES
71,47,0.0013613664601563964,NO
72,781,0.002740514706537498,NO
73,27,0.02480421628296078,NO
74,89,0.010432811852113985,NO
75,300,7.848367835919788E-4,NO
76,166,1.0,YES
77,92,0.999889606744667,YES
78,497,8.042037968303116E-4,NO
79,93,8.682015490508216E-4,NO
