ID,Size,Predicted %,Actual value
0,215,0.9999999999999998,NO
1,271,0.9999999999993896,NO
2,458,0.9999999999999961,NO
3,137,0.9999764295471534,NO
4,357,1.0,YES
5,1242,1.0,YES
6,51,0.9994977588681442,NO
7,154,0.9997685003239476,NO
8,31,0.998550182664932,NO
9,928,3.3448972921657066E-20,YES
10,180,0.9994735974527929,NO
11,260,0.9999995923611589,YES
12,551,1.0,YES
13,40,0.99922200696605,NO
14,361,0.9999850896884951,YES
15,388,0.999999999761624,YES
16,51,0.9999999999971851,YES
17,577,0.9990996533882532,NO
18,32,0.9993073675306215,NO
19,66,0.9999999854083897,YES
20,188,0.9999984232670115,YES
21,582,0.9999865381436644,YES
22,158,0.8727023994384486,YES
23,50,0.9997606243571203,NO
24,27,0.9999997493108821,YES
25,928,0.9991727351795658,NO
26,60,0.9997756820978092,YES
27,62,0.9998178279583859,YES
28,87,0.9992503496902664,YES
29,52,0.9990456141167888,NO
30,268,0.9998744636996999,YES
31,163,0.9998766069679953,NO
32,109,0.999623574820294,NO
33,147,0.9998694749219829,NO
34,58,0.9966289756691659,NO
35,44,0.9998749626177034,NO
36,106,1.0,YES
37,139,1.0,YES
38,326,0.9999999800755733,YES
39,648,0.9967150540732953,NO
40,778,0.9998684270449498,NO
41,314,0.9951834055749205,NO
42,55,0.9999974089989678,YES
43,191,0.9992853487684115,NO
44,90,0.9991945934087477,NO
45,273,1.0,YES
46,137,0.9999968856734921,YES
47,79,0.9999961109548923,NO
48,82,1.0,YES
49,147,0.9992644554049315,NO
50,422,0.9999339721631905,YES
51,978,0.9999998141533928,YES
52,467,0.9999999819566161,YES
53,189,0.9998800889076243,YES
54,153,0.9991351857481819,NO
55,84,0.9987857564667526,NO
56,182,0.999717087220703,YES
57,358,0.9997295808901102,YES
58,126,0.9993320236015208,YES
59,106,0.9991456699600525,NO
60,109,0.999806676129463,YES
61,85,0.9999999961468258,YES
62,236,0.9999999993896567,YES
63,314,0.9999999999533536,YES
64,694,0.9997373280194644,NO
65,27,0.999913994013295,NO
66,89,0.9983944019687917,NO
67,301,0.9999754140580961,NO
68,153,0.9984573300658325,YES
69,92,0.9999999999998825,YES
70,466,0.9983677340849957,NO
71,93,1.0,YES
72,244,0.9999999898795555,YES
73,192,0.9994349689774368,NO
74,250,0.9993806174560522,NO
75,109,0.9999995999559167,YES
76,601,1.0,YES
77,565,0.999346594480679,YES
78,69,0.9999875296302903,NO
79,77,0.9998369347192634,NO
80,94,0.999525762122606,NO
81,337,0.9998420995348583,NO
82,214,0.0015324111780986851,NO
83,79,0.9992618052800072,NO
84,25,0.9999999814182865,YES
85,84,0.9996832804771555,NO
86,34,0.9984906048634599,YES
87,33,0.9994135182270697,YES
88,104,0.99861101639623,NO
89,172,0.9992618052800072,NO
90,70,0.99897167027418,YES
91,140,0.9992387714623642,NO
92,154,0.9993583319054095,YES
93,248,0.9987924480205732,NO
94,275,0.9984906048634599,NO
95,176,0.9987105702111206,NO
96,624,0.9987924480205732,YES
97,91,0.9998770302093349,YES
98,58,0.9986370687199361,YES
99,132,0.998679559613386,YES
100,4088,0.999536164255038,YES
101,558,0.9987157415521226,NO
102,727,0.999948279242328,NO
103,150,0.9995884796316892,NO
104,503,0.9988440097308736,NO
105,325,0.9988122981195925,YES
106,273,0.9988182141320084,NO
