ID,Size,Predicted %,Actual value
0,215,0.9437923507592851,NO
1,273,0.2772471330433405,YES
2,460,0.9999999395924634,YES
3,138,1.420205878734931E-7,YES
4,358,0.9999997945537031,YES
5,1248,1.0,YES
6,51,1.0426066420318906E-8,NO
7,157,1.7297722788896028E-8,YES
8,31,8.516458574220149E-9,NO
9,981,1.0,NO
10,180,4.963487048745422E-8,NO
11,262,0.2483741341509221,YES
12,553,0.9999999999998169,YES
13,40,8.944094926866214E-9,NO
14,369,2.4466539274716034E-6,YES
15,390,0.9680751986399883,YES
16,51,6.2133306743444154E-9,NO
17,577,1.0,NO
18,32,8.516458574220149E-9,NO
19,66,8.730983219846368E-9,NO
20,188,0.06925174778535702,YES
21,582,0.9999999999999998,NO
22,160,1.9229286698259433E-7,YES
23,50,1.1630566395348E-8,NO
24,27,1.0609030286545266E-8,NO
25,923,1.0,YES
26,60,1.8817876131245754E-8,NO
27,62,1.578581202360498E-8,NO
28,87,1.578581202360498E-8,NO
29,52,1.2691249670558911E-8,NO
30,268,0.9474645380920445,NO
31,163,5.036530633305915E-8,NO
32,109,1.23134142631409E-8,NO
33,147,3.9794947605700605E-7,NO
34,58,1.3723389171305506E-8,NO
35,44,4.0647849891375495E-8,NO
36,106,1.641422604572565E-5,NO
37,139,8.600158678744675E-9,NO
38,326,0.13256543714806202,NO
39,648,1.0,NO
40,792,1.0,YES
41,319,0.5469211465507482,YES
42,55,1.0382944670935161E-8,NO
43,191,1.1469112587825288E-7,NO
44,90,2.6341618278128896E-8,NO
45,273,0.006666057690016226,NO
46,137,3.933475447311269E-5,NO
47,79,2.277264090175999E-7,NO
48,82,1.2145824269007973E-8,NO
49,147,1.2972138107050964E-5,NO
50,422,0.9999695422959034,NO
51,979,1.0,YES
52,495,0.9999999999999997,YES
53,189,1.7780773609031858E-5,NO
54,167,0.9973696414859106,NO
55,86,1.3772956594448574E-8,YES
56,182,0.9999988837759005,NO
57,361,1.0,NO
58,126,0.01883396190823701,NO
59,106,2.7679837560893275E-7,NO
60,109,2.187279835852739E-8,NO
61,85,7.57134307825759E-9,NO
62,236,5.28661199133097E-6,NO
63,315,0.999939063736485,YES
64,695,0.9999999999902133,YES
65,27,8.96041185775089E-9,NO
66,89,1.1133507254786629E-7,NO
67,301,0.999999999519563,YES
68,153,0.9428982281575319,NO
69,92,3.9146959357610295E-7,NO
70,466,0.9999990084545584,NO
71,93,3.9146959357610295E-7,NO
72,244,1.1681788915214825E-5,NO
73,192,2.2701687181162625E-4,NO
74,252,9.348041313675462E-6,YES
75,109,2.0165602962940485E-8,NO
76,601,1.0,NO
77,565,1.0,YES
78,69,1.3348083155704457E-7,NO
79,77,4.787968739750932E-8,NO
80,94,5.26542134583448E-6,NO
81,337,1.0,NO
82,214,0.9962995043671973,NO
83,79,4.0866503176553935E-8,NO
84,25,5.66427024053071E-9,NO
85,84,3.065937897800643E-8,NO
86,34,5.834387263409984E-9,NO
87,33,7.551408693188722E-9,NO
88,104,1.812412921230788E-7,NO
89,172,6.122063014441328E-4,NO
90,70,1.698274055763033E-8,NO
91,140,2.2151744167562445E-4,NO
92,156,7.352442393545193E-4,YES
93,248,5.947356645285294E-7,NO
94,277,0.9999892701687113,YES
95,189,1.3999243680171786E-8,NO
96,194,1.0,YES
97,346,0.03330971169074047,YES
98,304,2.303732522981069E-8,YES
99,356,1.7432075550729322E-8,NO
100,84,1.0,NO
101,53,0.9999987046876689,NO
102,132,1.0,YES
103,4088,1.286957223559099E-5,YES
104,691,1.0,YES
105,47,0.949703032198681,NO
106,101,0.9999999978572554,NO
107,510,0.7645212571436857,NO
108,328,8.557107488118708E-9,NO
109,273,1.4497379524140106E-8,NO
110,136,1.0,NO
111,56,2.974393218344894E-7,NO
112,74,3.876314223144426E-8,NO
113,359,2.6179813544979228E-8,NO
114,174,8.097544142248651E-9,NO
115,148,1.6977065805630012E-6,NO
116,92,8.826774491899339E-9,NO
117,45,0.48203760265822093,YES
118,168,5.536312531387188E-9,NO
119,77,0.9902956294733583,YES
120,666,2.1223214818627177E-8,NO
121,88,6.894018951816123E-8,NO
122,262,7.219103780141447E-7,NO
123,54,6.380701313262834E-8,NO
124,48,8.96041185775089E-9,NO
125,140,2.8465592416909454E-6,NO
126,152,8.805880147043083E-9,NO
127,39,1.3516434931704872E-7,NO
128,131,8.96041185775089E-9,NO
129,47,1.5071213329822872E-5,NO
130,129,5.1260154222945543E-8,NO
131,43,5.886140982843386E-9,NO
132,243,2.6015645094360953E-7,YES
133,62,1.0601445544453953E-8,NO
134,45,8.665911313873433E-9,NO
135,97,9.555910466673647E-9,NO
136,476,1.1131719380684641E-7,NO
137,77,2.1125199227614564E-5,NO
138,69,2.517486407725013E-7,YES
139,104,7.915770629841321E-7,YES
140,115,1.916125248156094E-6,NO
141,421,9.161899296767137E-9,NO
142,61,1.5149661920178371E-6,NO
143,2009,2.4183030166901283E-6,NO
144,179,1.1951027720197085E-8,NO
145,106,6.148052272242338E-6,NO
146,33,8.421959202575368E-9,NO
147,657,8.665911313873433E-9,NO
148,295,8.665911313873433E-9,NO
149,872,3.9740231552427485E-8,NO
150,444,5.834387263409984E-9,NO
151,168,8.665911313873433E-9,NO
152,752,8.665911313873433E-9,NO
153,135,4.6645825324045644E-4,NO
154,1126,7.006402743942582E-8,NO
155,163,2.0314561690033127E-7,NO
156,184,2.727676590807365E-8,NO
157,51,4.837723782890793E-8,NO
158,25,0.957362442160763,NO
159,180,8.871523725117987E-8,NO
160,64,2.8138548435617183E-7,NO
161,101,9.31496073931337E-9,NO
162,512,6.727434317685146E-9,NO
163,187,2.1281235339669284E-4,NO
164,56,0.9999999999925779,NO
165,39,0.9999996883143136,NO
