ID,Size,Predicted %,Actual value
0,215,0.9999999876687934,NO
1,273,0.9999972812567407,YES
2,460,0.9999999997617113,YES
3,138,0.024536902976551166,YES
4,358,0.9999999999994745,YES
5,1248,1.0,YES
6,51,8.113702751359754E-4,NO
7,157,0.0014274447647195287,YES
8,31,5.467207278838649E-4,NO
9,981,1.0,NO
10,180,0.0012137428371054644,NO
11,262,0.9999993568065587,YES
12,553,0.9999999999999983,YES
13,40,5.39197172826435E-4,NO
14,369,0.03447427142625248,YES
15,390,0.9999994660043162,YES
16,51,0.0011502454133255127,NO
17,577,1.0,NO
18,32,5.467207278838649E-4,NO
19,66,6.561565567930212E-4,NO
20,188,0.9999992197712245,YES
21,582,1.0,NO
22,160,0.019675838251874408,YES
23,50,8.530847873835822E-4,NO
24,27,7.322837681954053E-4,NO
25,923,1.0,YES
26,60,5.442897328752207E-4,NO
27,62,0.0014646061282544472,NO
28,87,0.0013739726509970208,NO
29,52,9.00569917621669E-4,NO
30,268,0.9999999989196888,NO
31,163,0.001781678106896055,NO
32,109,0.0016085115083754626,NO
33,147,0.01572241302365662,NO
34,58,0.001457067202558916,NO
35,44,0.004176827476078691,NO
36,106,0.3500326185380277,NO
37,139,5.866774024287185E-4,NO
38,326,0.9892303411599978,NO
39,648,1.0,NO
40,792,1.0,YES
41,319,0.9999998991171949,YES
42,55,6.852061330420691E-4,NO
43,191,0.011612069399117131,NO
44,90,0.0011174530925714098,NO
45,273,0.9729276203553635,NO
46,137,0.997369152790919,NO
47,79,0.06661146167394418,NO
48,82,0.0010841146470516132,NO
49,147,0.9251873045961895,NO
50,422,0.9999934423131049,NO
51,979,1.0,YES
52,495,1.0,YES
53,189,0.9756025784798056,NO
54,167,0.9999999999958755,NO
55,86,0.0011724854837072867,YES
56,182,1.0,NO
57,361,1.0,NO
58,126,0.9999999599742979,NO
59,106,0.02956465625046359,NO
60,109,0.0030044945670744867,NO
61,85,5.611308467098585E-4,NO
62,236,0.9224995153921525,NO
63,315,1.0,YES
64,695,0.9986689613888081,YES
65,27,5.202479388060545E-4,NO
66,89,0.12359702631603989,NO
67,301,1.0,YES
68,153,0.999999999264702,NO
69,92,0.07746851280222668,NO
70,466,0.9999999997156265,NO
71,93,0.07746851280222668,NO
72,244,0.27488227361685597,NO
73,192,0.9753008151607094,NO
74,252,0.5159932084154447,YES
75,109,0.009950221771811159,NO
76,601,1.0,NO
77,565,1.0,YES
78,69,0.417932614890861,NO
79,77,0.0018508401364715334,NO
80,94,0.5560767200638788,NO
81,337,0.011680581328260857,NO
82,214,0.003491749229340114,NO
83,79,0.0013297334310048959,NO
84,25,8.553101048612032E-4,NO
85,84,0.002277834083433581,NO
86,34,0.0010092247607634266,NO
87,33,0.0015095547877593263,NO
88,104,0.0013989774164343113,NO
89,172,0.004703966670459879,NO
90,70,0.0017823946630632441,NO
91,140,0.023506127672905854,NO
92,156,0.012022845548619349,YES
93,248,0.20331476891893363,NO
94,277,0.9999999999999984,YES
