ID,Size,Predicted %,Actual value
0,215,0.8911709388640159,NO
1,273,0.06749758752306227,YES
2,460,0.9999999889396882,YES
3,138,6.600267335717763E-9,YES
4,358,0.9999997469074212,YES
5,1248,1.0,YES
6,51,4.252352232077353E-10,NO
7,157,5.561290117478401E-10,YES
8,31,3.296795510904701E-10,NO
9,981,1.0,NO
10,180,1.912464151512556E-9,NO
11,262,0.03260395935807751,YES
12,553,1.0,YES
13,40,3.0612709706699504E-10,NO
14,369,2.4238171435697563E-6,YES
15,390,0.8783647264421843,YES
16,51,1.535827277459268E-10,NO
17,577,1.0,NO
18,32,3.296795510904701E-10,NO
19,66,3.517148287167386E-10,NO
20,188,0.9997878816035897,YES
21,582,1.0,NO
22,160,6.637179525260625E-8,YES
23,50,5.169392004287592E-9,NO
24,27,4.036942712747543E-10,NO
25,923,1.0,YES
26,60,6.135905913782244E-10,NO
27,62,6.982025684670758E-9,NO
28,87,6.982025684670758E-9,NO
29,52,5.6429938980708595E-9,NO
30,268,0.997889077856132,NO
31,163,1.4496413115818915E-9,NO
32,109,3.2077108312995446E-9,NO
33,147,4.558503912725254E-8,NO
34,58,4.1736692017256555E-10,NO
35,44,1.835136656224531E-9,NO
36,106,8.867126426406668E-7,NO
37,139,3.1121830924849665E-10,NO
38,326,0.2284538386230452,NO
39,648,1.0,NO
40,792,1.0,YES
41,319,0.35185679179840074,YES
42,55,3.683629263967383E-10,NO
43,191,4.319378823462326E-9,NO
44,90,4.4917260661345537E-10,NO
45,273,0.0028443407238350877,NO
46,137,5.0382270982698276E-6,NO
47,79,7.624239177497125E-9,NO
48,82,3.3848849327662095E-10,NO
49,147,2.3999845750533258E-6,NO
50,422,0.999999261823203,NO
51,979,1.0,YES
52,495,1.0,YES
53,189,8.385228984502841E-7,NO
54,167,0.9920832002905091,NO
55,86,5.414969368491643E-10,YES
56,182,1.0,NO
57,361,1.0,NO
58,126,0.08497106186532874,NO
59,106,1.4130325796773761E-7,NO
60,109,7.18843524152653E-10,NO
61,85,2.870543713183699E-10,NO
62,236,3.6013465649427907E-7,NO
63,315,1.0,YES
64,695,0.999999999911549,YES
65,27,3.1205937599377113E-10,NO
66,89,5.86559296754113E-9,NO
67,301,0.9999999999756205,YES
