ID,Size,Predicted %,Actual value
0,212,0.3,NO
1,274,0.47,NO
2,461,0.75,YES
3,138,0.39,NO
4,358,0.45,NO
5,1272,0.87,YES
6,51,0.02,NO
7,45,0.01,NO
8,157,0.09916666666666668,NO
9,31,0.0,NO
10,1406,0.69,YES
11,55,0.14,NO
12,204,0.43,NO
13,55,0.03,NO
14,103,0.22,NO
15,34,0.24833333333333335,NO
16,83,0.32,NO
17,285,0.59,NO
18,83,0.84,YES
19,129,0.016666666666666666,NO
20,867,0.6,YES
21,380,0.49,NO
22,40,0.0,NO
23,387,0.91,NO
24,390,0.0,NO
25,51,0.07,YES
26,637,0.7,YES
27,32,0.66,NO
28,68,0.7,YES
29,547,0.86,NO
30,566,0.54,NO
31,314,0.32,NO
32,907,0.09,NO
33,275,0.0,NO
34,31,0.5,NO
35,50,0.15,NO
36,27,0.06,NO
37,175,0.12,NO
38,50,0.0,NO
39,62,0.82,NO
40,87,0.48,NO
41,52,0.03,YES
42,373,0.2676428571428571,NO
43,224,0.02,NO
44,118,0.0,NO
45,83,0.11,NO
46,147,0.0975,NO
47,58,0.59,NO
48,44,0.02,NO
49,106,0.2740714285714286,NO
50,238,0.79,YES
51,43,0.83,YES
52,185,0.01,NO
53,189,0.36,NO
54,151,0.0,NO
55,364,0.0,NO
56,910,0.3475,NO
57,889,0.19,NO
58,43,0.0,NO
59,325,0.17,NO
60,27,0.43,NO
61,55,0.66,NO
62,93,0.77,YES
63,191,0.18,NO
64,90,0.02,NO
65,89,0.89,NO
66,272,0.75,YES
67,152,0.52,NO
68,90,0.45,YES
69,82,0.69,NO
70,148,0.12,NO
71,421,0.89,NO
72,1190,0.74,NO
73,528,0.87,NO
74,205,0.01,NO
75,190,0.5,NO
76,86,0.01,NO
77,212,0.02,NO
78,404,0.09,NO
79,572,0.7,NO
80,132,0.0,NO
81,168,0.79,YES
82,109,0.0,NO
83,85,0.09,NO
84,107,0.87,YES
85,237,0.94,NO
86,511,0.01,NO
87,47,0.84,NO
88,1328,0.04,NO
89,27,0.01,NO
90,89,0.64,NO
91,482,0.08,NO
92,226,0.0,YES
93,166,0.65,NO
94,92,0.73,YES
95,476,0.07,NO
96,93,0.07,NO
97,244,0.3175,NO
98,204,0.26,NO
99,252,0.1425,NO
100,119,0.01,NO
101,733,0.0,NO
102,630,0.2390909090909091,NO
103,69,0.0,NO
104,77,0.0,NO
105,97,0.02,NO
106,380,0.01,NO
107,214,0.08,NO
108,38,0.048333333333333346,NO
109,79,0.05,NO
110,25,0.0,NO
111,84,0.02,NO
112,34,0.02,NO
113,33,0.03,NO
114,104,0.06,NO
115,193,0.13,NO
116,70,0.03,NO
117,140,0.01,NO
118,22,0.22,NO
119,156,0.0,NO
120,142,0.01,NO
121,100,0.72,NO
122,152,0.56,NO
123,31,0.32,NO
124,60,0.03,NO
125,60,0.16,NO
126,876,0.75,YES
127,61,0.91,NO
128,185,0.18,NO
129,264,0.25,NO
130,43,0.52,NO
131,248,0.04,NO
132,361,0.91,YES
133,199,0.08,NO
134,194,0.02,NO
135,346,0.77,YES
136,91,0.49,YES
137,335,0.83,YES
138,370,0.25,NO
139,82,0.03,NO
140,53,0.04,YES
141,148,0.92,YES
142,4088,0.5,NO
143,88,0.34,NO
144,878,0.12,NO
145,37,0.07,NO
146,48,0.0,NO
147,47,0.49,NO
148,101,0.23,NO
149,556,0.65,NO
150,360,0.048,YES
151,284,0.62,YES
152,135,0.02,NO
153,56,0.07,NO
154,78,0.2,NO
155,409,0.07833333333333334,NO
156,174,0.01,NO
157,148,0.0,NO
158,88,0.16,NO
159,45,0.04,NO
160,39,0.0,NO
161,182,0.14107142857142857,NO
162,77,0.0,NO
163,666,0.04,NO
164,104,0.78,NO
165,263,0.11857142857142858,NO
166,54,0.02,NO
167,76,0.01,NO
168,119,0.24,NO
169,200,0.27,NO
170,152,0.14,YES
171,39,0.6525,NO
172,677,0.08,NO
173,131,0.59,NO
174,47,0.71,YES
175,100,0.32,NO
176,43,0.18,NO
177,73,0.32,NO
178,257,0.16,NO
179,356,0.36,NO
180,62,0.14,NO
181,45,0.07,NO
182,97,0.01,NO
183,131,0.21,NO
184,68,0.1,NO
185,99,0.36,NO
186,53,0.06,NO
187,81,0.04,NO
188,78,0.04,NO
189,69,0.04,NO
190,69,0.08,NO
191,77,0.11,NO
192,72,0.28,NO
193,72,0.08,NO
194,63,0.01,NO
195,50,0.02,NO
196,28,0.04,NO
197,96,0.05,NO
198,40,0.02,NO
199,76,0.09,NO
200,49,0.0,NO
201,63,0.12,NO
202,55,0.12,NO
203,45,0.07,NO
204,476,0.24,NO
205,77,0.3358333333333333,NO
206,69,0.09,NO
207,104,0.078,NO
208,115,0.05,NO
209,421,0.03,NO
210,61,0.12,NO
211,2009,0.01,NO
212,179,0.0,NO
213,106,0.19,NO
214,33,0.016666666666666663,NO
215,657,0.1225,NO
216,295,0.04,NO
217,872,0.04,NO
218,444,0.04,NO
219,168,0.05721428571428572,NO
220,752,0.08,NO
221,135,0.01,NO
222,1126,0.0,NO
223,163,0.1,NO
224,184,0.0,NO
225,51,0.1,NO
226,25,0.07,NO
227,180,0.09797979797979797,NO
228,64,0.04,NO
229,101,0.0,NO
230,512,0.03,NO
231,187,0.01,NO
232,56,0.01,NO
233,39,0.0,NO
234,261,0.0,NO
235,73,0.03,NO
236,65,0.1,NO
237,329,0.01,NO
238,64,0.1355,NO
239,164,0.12166666666666667,NO
240,624,0.15,NO
241,74,0.0,NO
242,117,0.08,NO
243,84,0.0,NO
244,226,0.0,NO
245,76,0.0,NO
246,323,0.018333333333333333,NO
247,72,0.013714285714285714,NO
248,42,0.04396428571428572,NO
249,48,0.0,NO
250,89,0.0,NO
251,380,0.6840407647907649,NO
252,141,0.05721428571428572,NO
253,148,0.03,NO
254,191,0.04,NO
255,46,0.09,NO
256,165,0.11,NO
257,171,0.0,NO
258,56,0.01,NO
259,179,0.08,NO
260,74,0.0,NO
261,36,0.0,NO
262,37,0.01,NO
263,34,0.0,NO
264,34,0.14523809523809525,NO
265,38,0.07,NO
266,39,0.08,NO
267,156,0.0,NO
268,84,0.0,NO
269,117,0.0,NO
270,94,0.1,NO
271,71,0.04,NO
272,183,0.06,NO
273,85,0.07130952380952381,NO
274,183,0.27,NO
275,70,0.03,NO
276,54,0.05,NO
277,160,0.01,NO
278,128,0.0,NO
279,151,0.01,NO
280,422,0.0,NO
281,221,0.06,NO
282,50,0.02,NO
283,42,0.03,NO
284,624,0.05,NO
285,377,0.02,NO
286,382,0.03,NO
287,72,0.0,NO
288,92,0.03,NO
289,282,0.05,NO
290,371,0.0,NO
291,47,0.0,NO
292,108,0.13,NO
293,111,0.0,NO
294,319,0.09,NO
295,129,0.0,NO
296,49,0.0,NO
297,358,0.0,NO
298,277,0.15,NO
299,49,0.02,NO
300,89,0.0,NO
301,41,0.0,NO
302,66,0.02875,NO
303,63,0.0,NO
304,24,0.0,NO
305,50,0.155,NO
306,72,0.04,NO
307,47,0.2,NO
308,47,0.02,NO
309,183,0.09,NO
310,49,0.14,NO
311,50,0.59,NO
312,98,0.04,NO
313,143,0.07,NO
314,43,0.06,NO
315,42,0.265,NO
316,56,0.0,NO
317,44,0.25,NO
318,26,0.56,NO
319,254,0.5575,NO
320,16883,0.8467802197802197,NO
321,74,0.4175833333333334,NO
322,153,0.015,NO
323,68,0.0,NO
324,100,0.02,NO
325,550,0.0,NO
326,437,0.0,NO
327,1038,0.0,NO
328,104,0.0,NO
329,332,0.0,NO
330,123,0.07,NO
331,106,0.04833333333333334,NO
332,105,0.0,NO
333,94,0.03,NO
334,101,0.0,NO
335,38,0.0,NO
336,666,0.0,NO
337,32,0.0,NO
338,111,0.04857142857142858,NO
339,35,0.05,NO
340,90,0.0,NO
341,27,0.01,NO
342,28,0.0,NO
343,92,0.0,NO
344,979,0.01,NO
345,67,0.1718888888888889,NO
346,29,0.03,NO
347,105,0.38,NO
348,72,0.0,NO
349,37,0.08,NO
350,47,0.02,NO
351,31,0.2,NO
352,90,0.41,NO
353,223,0.04657142857142856,NO
354,214,0.03,NO
355,107,0.11547619047619047,NO
356,37,0.01,NO
357,27,0.0,NO
358,48,0.28,NO
359,167,0.0,NO
