ID,Size,Predicted %,Actual value
0,212,0.1,NO
1,274,0.48,NO
2,461,0.76,YES
3,138,0.35,NO
4,358,0.16,NO
5,1272,0.76,YES
6,51,0.01,NO
7,45,0.0,NO
8,157,0.04,NO
9,31,0.0,NO
10,1406,0.35,YES
11,55,0.12,NO
12,204,0.58,NO
13,55,0.09,NO
14,103,0.27,NO
15,34,0.13,NO
16,83,0.32,NO
17,285,0.27,NO
18,83,0.65,YES
19,129,0.0,NO
20,867,0.24,YES
21,380,0.41,NO
22,40,0.02,NO
23,387,0.76,NO
24,390,0.0,NO
25,51,0.1,YES
26,637,0.67,YES
27,32,0.56,NO
28,68,0.62,YES
29,547,0.84,NO
30,566,0.55,NO
31,314,0.33,NO
32,907,0.02,NO
33,275,0.0,NO
34,31,0.54,NO
35,50,0.14,NO
36,27,0.01,NO
37,175,0.05,NO
38,50,0.0,NO
39,62,0.8,NO
40,87,0.44,NO
41,52,0.0,YES
42,373,0.11583333333333334,NO
43,224,0.0,NO
44,118,0.11,NO
45,83,0.01,NO
46,147,0.02,NO
47,58,0.36,NO
48,44,0.0,NO
49,106,0.20166666666666663,NO
50,238,0.78,YES
51,43,0.71,YES
52,185,0.06,NO
53,189,0.22,NO
54,151,0.0,NO
55,364,0.0,NO
56,910,0.31,NO
57,889,0.07,NO
58,43,0.0,NO
59,325,0.08,NO
60,27,0.37,NO
61,55,0.53,NO
62,93,0.35,YES
63,191,0.19,NO
64,90,0.0,NO
65,89,0.67,NO
66,272,0.69,YES
67,152,0.47,NO
68,90,0.33,YES
69,82,0.46,NO
70,148,0.06,NO
71,421,0.7,NO
72,1190,0.76,NO
73,528,0.71,NO
74,205,0.01,NO
75,190,0.46,NO
76,86,0.0,NO
77,212,0.0,NO
78,404,0.02,NO
79,572,0.5,NO
80,132,0.02,NO
81,168,0.67,YES
82,109,0.0,NO
83,85,0.0,NO
84,107,0.61,YES
85,237,0.86,NO
86,511,0.0,NO
87,47,0.68,NO
88,1328,0.01,NO
89,27,0.02,NO
90,89,0.55,NO
91,482,0.04,NO
92,226,0.0,YES
93,166,0.61,NO
94,92,0.61,YES
95,476,0.0,NO
96,93,0.0,NO
97,244,0.21,NO
98,204,0.27,NO
99,252,0.012,NO
100,119,0.0,NO
101,733,0.0,NO
102,630,0.04,NO
103,69,0.0,NO
104,77,0.0,NO
105,97,0.02,NO
106,380,0.0,NO
107,214,0.0,NO
108,38,0.0,NO
109,79,0.01,NO
110,25,0.01,NO
111,84,0.03,NO
112,34,0.01,NO
113,33,0.0,NO
114,104,0.01,NO
115,193,0.02,NO
116,70,0.0,NO
117,140,0.0,NO
118,22,0.07,NO
119,156,0.03,NO
120,142,0.0,NO
121,100,0.53,NO
122,152,0.44,NO
123,31,0.46,NO
124,60,0.04333333333333334,NO
125,60,0.13,NO
126,876,0.64,YES
127,61,0.84,NO
128,185,0.046,NO
129,264,0.2,NO
130,43,0.36,NO
131,248,0.0,NO
132,361,0.84,YES
133,199,0.04,NO
134,194,0.05,NO
135,346,0.55,YES
136,91,0.61,YES
137,335,0.6,YES
138,370,0.33,NO
139,82,0.02,NO
