ID,Size,Predicted %,Actual value
0,215,0.56,NO
1,273,0.61,YES
2,460,0.82,YES
3,138,0.51,YES
4,358,0.76,YES
5,1248,1.0,YES
6,51,0.12,NO
7,157,0.67,YES
8,31,0.01,NO
9,981,0.97,NO
10,180,0.2,NO
11,262,0.83,YES
12,553,0.97,YES
13,40,0.20654761904761906,NO
14,369,0.79,YES
15,390,0.81,YES
16,51,0.02,NO
17,577,0.99,NO
18,32,0.07666666666666666,NO
19,66,0.53,NO
20,188,0.88,YES
21,582,0.99,NO
22,160,0.56,YES
23,50,0.28,NO
24,27,0.14666666666666667,NO
25,923,0.99,YES
26,60,0.19,NO
27,62,0.43,NO
28,87,0.45,NO
29,52,0.34,NO
30,268,0.93,NO
31,163,0.68,NO
32,109,0.48,NO
33,147,0.2,NO
34,58,0.25,NO
35,44,0.23600000000000002,NO
36,106,0.62,NO
37,139,0.19,NO
38,326,0.63,NO
39,648,0.99,NO
40,792,1.0,YES
41,319,0.84,YES
42,55,0.12,NO
43,191,0.67,NO
44,90,0.34,NO
45,273,0.75,NO
46,137,0.79,NO
47,79,0.62,NO
48,82,0.39,NO
49,147,0.7,NO
50,422,0.67,NO
51,979,1.0,YES
52,495,0.88,YES
53,189,0.71,NO
54,167,0.76,NO
55,86,0.35,YES
56,182,0.76,NO
57,361,0.89,NO
58,126,0.63,NO
59,106,0.67,NO
60,109,0.52,NO
61,85,0.07,NO
62,236,0.83,NO
63,315,0.88,YES
64,695,0.91,YES
65,27,0.056666666666666664,NO
66,89,0.62,NO
67,301,0.77,YES
68,153,0.92,NO
69,92,0.62,NO
70,466,0.9,NO
71,93,0.62,NO
72,244,0.78,NO
73,192,0.73,NO
74,252,0.65,YES
75,109,0.68,NO
76,601,0.94,NO
77,565,0.97,YES
78,69,0.51,NO
79,77,0.52,NO
80,94,0.71,NO
81,337,0.79,NO
82,214,0.79,NO
83,79,0.64,NO
84,25,0.0,NO
85,84,0.52,NO
86,34,0.02,NO
87,33,0.11,NO
88,104,0.34,NO
89,172,0.58,NO
90,70,0.42,NO
91,140,0.57,NO
92,156,0.8,YES
93,248,0.83,NO
94,277,0.76,YES
95,189,0.44,NO
96,194,0.98,YES
97,346,0.52,YES
98,304,0.26,YES
99,356,0.18,NO
100,84,0.72,NO
101,53,0.94,NO
102,132,1.0,YES
103,4088,0.76,YES
104,691,0.9,YES
105,47,0.74,NO
106,101,0.78,NO
107,510,0.78,NO
108,328,0.17,NO
109,273,0.27,NO
110,136,0.72,NO
111,56,0.54,NO
112,74,0.42,NO
113,359,0.5,NO
114,174,0.11,NO
115,148,0.65,NO
116,92,0.12,NO
117,45,0.88,YES
118,168,0.4,NO
119,77,0.88,YES
120,666,0.22266666666666665,NO
121,88,0.36,NO
122,262,0.77,NO
123,54,0.32,NO
124,48,0.016666666666666663,NO
125,140,0.2,NO
126,152,0.01,NO
127,39,0.48,NO
128,131,0.02,NO
129,47,0.8,NO
130,129,0.33,NO
131,43,0.09,NO
132,243,0.54,YES
133,62,0.07,NO
134,45,0.04,NO
135,97,0.0,NO
136,476,0.39,NO
137,77,0.76,NO
138,69,0.65,YES
139,104,0.57,YES
140,115,0.76,NO
141,421,0.02,NO
142,61,0.77,NO
143,2009,0.32,NO
144,179,0.14,NO
145,106,0.38,NO
146,33,0.14,NO
147,657,0.10916666666666668,NO
148,295,0.07916666666666666,NO
149,872,0.1,NO
150,444,0.02,NO
151,168,0.424952380952381,NO
152,752,0.1192142857142857,NO
153,135,0.56,NO
154,1126,0.19,NO
155,163,0.46,NO
156,184,0.2,NO
157,51,0.13,NO
158,25,0.79,NO
159,180,0.21,NO
160,64,0.48,NO
161,101,0.29,NO
162,512,0.08,NO
163,187,0.35,NO
164,56,0.61,NO
165,39,0.59,NO
166,261,0.81,YES
167,73,0.78,YES
168,65,0.05,NO
169,329,0.2,NO
170,64,0.96,NO
171,164,0.65,NO
172,624,0.8,NO
173,74,0.37,NO
174,117,0.52,NO
175,84,0.68,YES
176,226,0.83,NO
177,76,0.26,NO
178,323,0.14,NO
179,72,0.34,NO
180,42,0.8,NO
181,48,0.5,NO
182,89,0.29,NO
183,380,0.65,NO
184,141,0.51,NO
185,148,0.37,NO
186,191,0.41,NO
