ID,Size,Predicted %,Actual value
0,215,0.51,NO
1,273,0.6,YES
2,460,0.74,YES
3,138,0.11,YES
4,358,0.87,YES
5,1248,1.0,YES
6,51,0.01,NO
7,157,0.39,YES
8,31,0.02,NO
9,981,0.83,NO
10,180,0.09,NO
11,262,0.87,YES
12,553,0.96,YES
13,40,0.25249999999999995,NO
14,369,0.46,YES
15,390,0.79,YES
16,51,0.0,NO
17,577,0.96,NO
18,32,0.0625,NO
19,66,0.21,NO
20,188,0.93,YES
21,582,0.95,NO
22,160,0.16,YES
23,50,0.14,NO
24,27,0.0125,NO
25,923,0.94,YES
26,60,0.04,NO
27,62,0.09,NO
28,87,0.2,NO
29,52,0.01,NO
30,268,0.51,NO
31,163,0.32,NO
32,109,0.17,NO
33,147,0.03,NO
34,58,0.13,NO
35,44,0.27,NO
36,106,0.59,NO
37,139,0.11,NO
38,326,0.32,NO
39,648,0.98,NO
40,792,0.98,YES
41,319,0.9,YES
42,55,0.06,NO
43,191,0.38,NO
44,90,0.28,NO
45,273,0.28,NO
46,137,0.81,NO
47,79,0.47,NO
48,82,0.18,NO
49,147,0.53,NO
50,422,0.52,NO
51,979,0.97,YES
52,495,0.94,YES
53,189,0.83,NO
54,167,0.48,NO
55,86,0.12,YES
56,182,0.72,NO
57,361,0.93,NO
58,126,0.54,NO
59,106,0.55,NO
60,109,0.51,NO
61,85,0.07,NO
62,236,0.66,NO
63,315,0.83,YES
64,695,0.75,YES
65,27,0.01,NO
66,89,0.4,NO
67,301,0.88,YES
68,153,0.9,NO
69,92,0.48,NO
70,466,0.89,NO
71,93,0.46,NO
72,244,0.65,NO
73,192,0.65,NO
74,252,0.55,YES
75,109,0.33,NO
76,601,0.79,NO
77,565,0.96,YES
78,69,0.27,NO
79,77,0.43,NO
80,94,0.5,NO
81,337,0.6,NO
82,214,0.53,NO
83,79,0.58,NO
84,25,0.0,NO
85,84,0.27,NO
86,34,0.0,NO
87,33,0.0,NO
88,104,0.2,NO
89,172,0.52,NO
90,70,0.39,NO
91,140,0.26,NO
92,156,0.6,YES
93,248,0.6,NO
94,277,0.85,YES
95,189,0.24,NO
96,194,0.92,YES
97,346,0.44,YES
98,304,0.02,YES
99,356,0.16,NO
100,84,0.64,NO
101,53,0.79,NO
102,132,0.97,YES
103,4088,0.48,YES
104,691,0.78,YES
105,47,0.43,NO
106,101,0.62,NO
107,510,0.72,NO
108,328,0.0,NO
109,273,0.13,NO
110,136,0.6,NO
111,56,0.15,NO
112,74,0.1,NO
113,359,0.25,NO
114,174,0.03,NO
115,148,0.35,NO
116,92,0.11,NO
117,45,0.54,YES
118,168,0.26,NO
119,77,0.87,YES
120,666,0.025,NO
121,88,0.065,NO
122,262,0.52,NO
123,54,0.11,NO
124,48,0.0,NO
125,140,0.07,NO
126,152,0.01,NO
127,39,0.17,NO
128,131,0.0,NO
129,47,0.65,NO
130,129,0.12,NO
131,43,0.03,NO
132,243,0.34,YES
133,62,0.12,NO
134,45,0.0,NO
135,97,0.0,NO
136,476,0.38,NO
137,77,0.77,NO
138,69,0.42,YES
139,104,0.45,YES
140,115,0.5,NO
141,421,0.03,NO
142,61,0.36,NO
143,2009,0.42,NO
144,179,0.07,NO
145,106,0.46,NO
146,33,0.04,NO
147,657,0.05916666666666666,NO
148,295,0.09983333333333333,NO
149,872,0.0,NO
150,444,0.0,NO
151,168,0.4355,NO
152,752,0.13083333333333333,NO
153,135,0.31,NO
154,1126,0.28,NO
155,163,0.5,NO
156,184,0.47,NO
157,51,0.16,NO
158,25,0.51,NO
159,180,0.32,NO
160,64,0.32,NO
161,101,0.18,NO
162,512,0.01,NO
163,187,0.55,NO
164,56,0.61,NO
165,39,0.6,NO
166,261,0.71,YES
167,73,0.52,YES
168,65,0.0,NO
169,329,0.14,NO
170,64,0.78,NO
171,164,0.26,NO
172,624,0.44,NO
173,74,0.3,NO
174,117,0.47,NO
175,84,0.44,YES
176,226,0.59,NO
177,76,0.04,NO
178,323,0.18,NO
179,72,0.3,NO
180,42,0.29,NO
181,48,0.4,NO
182,89,0.04,NO
183,380,0.41,NO
184,141,0.47,NO
185,148,0.02,NO
186,191,0.23,NO
187,46,0.02,NO
188,165,0.04,NO
189,171,0.15,NO
190,56,0.04,NO
191,179,0.0,NO
192,74,0.17,NO
193,36,0.0,NO
194,37,0.02,NO
195,34,0.03,NO
196,34,0.07,NO
197,38,0.0,NO
198,39,0.13,NO
199,156,0.2,NO
200,84,0.0,NO
201,117,0.0,NO
202,94,0.21,NO
203,71,0.01,NO
204,183,0.0,NO
205,85,0.5,NO
206,183,0.67,NO
207,70,0.06,NO
208,54,0.09,NO
209,160,0.15,NO
210,125,0.25,NO
211,151,0.82,YES
212,422,0.56,NO
213,221,0.82,YES
214,50,0.36,YES
215,42,0.79,YES
216,624,0.28,NO
217,377,0.45,NO
218,383,0.77,NO
219,72,0.71,YES
220,92,0.23,YES
221,282,0.315,NO
222,371,0.85,YES
223,47,0.0,NO
224,108,0.07,NO
225,111,0.0225,NO
226,319,0.51,NO
227,129,0.03,NO
228,49,0.0,NO
229,358,0.41,NO
230,277,0.96,YES
231,49,0.06,NO
232,89,0.0,NO
233,41,0.31,NO
234,66,0.15,NO
235,63,0.01,NO
236,24,0.05,NO
237,50,0.0,NO
238,72,0.56,NO
239,47,0.64,NO
240,47,0.28,NO
241,183,0.56,NO
242,49,0.02,NO
243,50,0.01,NO
244,98,0.03,NO
245,143,0.37,YES
246,43,0.48,NO
247,42,0.63,YES
248,56,0.33,NO
249,44,0.23,NO
250,26,0.18,NO
251,254,0.79,YES
252,16883,0.84,NO
253,74,0.24,NO
254,153,0.06,NO
255,68,0.02,NO
256,100,0.58,NO
257,550,0.39,YES
258,437,0.94,YES
259,1038,0.02,NO
260,104,0.36,NO
261,332,0.0,NO
262,123,0.0,NO
263,106,0.57,YES
264,106,0.12,NO
265,94,0.07,NO
266,101,0.14,NO
267,38,0.0,NO
268,628,0.03,NO
269,32,0.94,NO
270,111,0.18,NO
271,35,0.03,NO
272,90,0.04,NO
273,27,0.1,NO
274,28,0.03,NO
275,92,0.53,NO
276,956,0.24,NO
277,67,0.42,NO
278,29,0.09,NO
279,105,0.06,NO
280,72,0.04,NO
281,37,0.33,NO
282,47,0.04,NO
283,31,0.09,YES
284,90,0.01,NO
285,223,0.03,NO
286,214,0.26,NO
287,107,0.11,NO
288,37,0.39,NO
289,27,0.01,NO
290,48,0.92,YES
291,167,0.34,NO
292,213,0.6,NO
293,867,0.69,NO
294,159,0.56,NO
295,100,0.02,NO
296,96,0.32,NO
297,842,0.3,NO
298,525,0.42,NO
299,83,0.4,NO
300,63,0.32,NO
301,76,0.55,NO
302,202,0.11,NO
303,155,0.0,NO
304,1263,0.17,NO
305,74,0.25,YES
306,101,0.38,YES
307,27,0.02,NO
308,22,0.1,NO
309,491,0.01,NO
310,62,0.5,YES
