ID,Size,Predicted %,Actual value
0,215,0.73,NO
1,273,0.8,YES
2,460,0.87,YES
3,138,0.59,YES
4,358,0.97,YES
5,1248,0.98,YES
6,51,0.22,NO
7,157,0.77,YES
8,31,0.195,NO
9,981,0.91,NO
10,180,0.46,NO
11,262,0.96,YES
12,553,1.0,YES
13,40,0.44347619047619047,NO
14,369,0.88,YES
15,390,0.94,YES
16,51,0.05,NO
17,577,0.99,NO
18,32,0.33399999999999996,NO
19,66,0.55,NO
20,188,0.98,YES
21,582,1.0,NO
22,160,0.67,YES
23,50,0.5085714285714286,NO
24,27,0.23700000000000002,NO
25,923,0.98,YES
26,60,0.28,NO
27,62,0.62,NO
28,87,0.59,NO
29,52,0.5085714285714286,NO
30,268,0.91,NO
31,163,0.67,NO
32,109,0.7,NO
33,147,0.42,NO
34,58,0.44,NO
35,44,0.5925,NO
36,106,0.67,NO
37,139,0.44,NO
38,326,0.72,NO
39,648,0.99,NO
40,792,0.98,YES
41,319,0.96,YES
42,55,0.35,NO
43,191,0.83,NO
44,90,0.66,NO
45,273,0.85,NO
46,137,0.95,NO
47,79,0.59,NO
48,82,0.52,NO
49,147,0.88,NO
50,422,0.89,NO
51,979,0.99,YES
52,495,0.95,YES
53,189,0.93,NO
54,167,0.76,NO
55,86,0.41,YES
56,182,0.91,NO
57,361,0.95,NO
58,126,0.68,NO
59,106,0.87,NO
60,109,0.79,NO
61,85,0.488,NO
62,236,0.94,NO
63,315,0.97,YES
64,695,0.94,YES
65,27,0.18764285714285714,NO
66,89,0.71,NO
67,301,0.96,YES
68,153,0.97,NO
69,92,0.8,NO
70,466,0.96,NO
71,93,0.81,NO
72,244,0.95,NO
73,192,0.75,NO
74,252,0.89,YES
75,109,0.81,NO
76,601,0.96,NO
77,565,0.98,YES
78,69,0.63,NO
79,77,0.77,NO
80,94,0.81,NO
81,337,0.91,NO
82,214,0.82,NO
83,79,0.84,NO
84,25,0.02,NO
85,84,0.62,NO
86,34,0.07,NO
87,33,0.08,NO
88,104,0.66,NO
89,172,0.87,NO
90,70,0.69,NO
91,140,0.75,NO
92,156,0.93,YES
93,248,0.89,NO
94,277,0.96,YES
95,189,0.49,NO
96,194,0.99,YES
97,346,0.76,YES
98,304,0.24,YES
99,356,0.4,NO
100,84,0.78,NO
101,53,0.92,NO
102,132,0.99,YES
103,4088,0.82,YES
104,691,0.94,YES
105,47,0.91,NO
106,101,0.88,NO
107,510,0.86,NO
108,328,0.17,NO
109,273,0.58,NO
110,136,0.88,NO
111,56,0.46,NO
112,74,0.48,NO
113,359,0.54,NO
114,174,0.24,NO
115,148,0.73,NO
116,92,0.39,NO
117,45,0.81,YES
118,168,0.54,NO
119,77,0.94,YES
120,666,0.3460714285714286,NO
121,88,0.4260714285714286,NO
122,262,0.88,NO
123,54,0.74,NO
124,48,0.10833333333333332,NO
125,140,0.45,NO
126,152,0.24,NO
127,39,0.62,NO
128,131,0.08666666666666666,NO
129,47,0.92,NO
130,129,0.49,NO
131,43,0.08,NO
132,243,0.71,YES
133,62,0.53,NO
134,45,0.13,NO
135,97,0.051666666666666666,NO
136,476,0.72,NO
137,77,0.91,NO
138,69,0.81,YES
139,104,0.79,YES
140,115,0.84,NO
141,421,0.33857142857142863,NO
142,61,0.73,NO
143,2009,0.76,NO
144,179,0.17,NO
145,106,0.77,NO
146,33,0.26,NO
147,657,0.3983095238095239,NO
148,295,0.5260476190476191,NO
149,872,0.1,NO
150,444,0.07,NO
151,168,0.8723809523809524,NO
152,752,0.5792142857142857,NO
153,135,0.65,NO
154,1126,0.6,NO
155,163,0.69,NO
156,184,0.65,NO
157,51,0.34,NO
158,25,0.77,NO
159,180,0.57,NO
160,64,0.78,NO
161,101,0.68,NO
162,512,0.17,NO
163,187,0.76,NO
164,56,0.81,NO
165,39,0.86,NO
166,261,0.88,YES
167,73,0.81,YES
168,65,0.05,NO
169,329,0.31,NO
170,64,0.96,NO
171,164,0.77,NO
172,624,0.88,NO
173,74,0.55,NO
174,117,0.81,NO
175,84,0.83,YES
176,226,0.9,NO
177,76,0.25,NO
178,323,0.56,NO
179,72,0.58,NO
180,42,0.83,NO
181,48,0.63,NO
182,89,0.25,NO
183,380,0.81,NO
184,141,0.72,NO
185,148,0.45,NO
186,191,0.85,NO
187,46,0.09,NO
188,165,0.39,NO
189,171,0.51,NO
190,56,0.14,NO
191,179,0.02,NO
192,74,0.58,NO
193,36,0.01,NO
194,37,0.3221666666666667,NO
195,34,0.39,NO
196,34,0.5360714285714286,NO
197,38,0.07666666666666667,NO
198,39,0.68,NO
199,156,0.58,NO
200,84,0.08166666666666667,NO
201,117,0.10666666666666666,NO
202,94,0.58,NO
203,71,0.01,NO
204,183,0.08,NO
205,85,0.89,NO
206,183,0.79,NO
207,70,0.47,NO
