ID,Size,Predicted %,Actual value
0,215,0.49,NO
1,273,0.54,YES
2,460,0.85,YES
3,138,0.34,YES
4,358,0.86,YES
5,1248,0.98,YES
6,51,0.0,NO
7,157,0.31,YES
8,31,0.04,NO
9,981,0.84,NO
10,180,0.19,NO
11,262,0.86,YES
12,553,0.97,YES
13,40,0.14625,NO
14,369,0.63,YES
15,390,0.85,YES
16,51,0.0,NO
17,577,0.94,NO
18,32,0.17316666666666664,NO
19,66,0.33,NO
20,188,0.94,YES
21,582,0.94,NO
22,160,0.31,YES
23,50,0.22,NO
24,27,0.10100000000000002,NO
25,923,0.92,YES
26,60,0.08,NO
27,62,0.18,NO
28,87,0.19,NO
29,52,0.15,NO
30,268,0.71,NO
31,163,0.5,NO
32,109,0.24,NO
33,147,0.03,NO
34,58,0.16,NO
35,44,0.31,NO
36,106,0.47,NO
37,139,0.12,NO
38,326,0.34,NO
39,648,0.96,NO
40,792,0.98,YES
41,319,0.92,YES
42,55,0.13,NO
43,191,0.4,NO
44,90,0.31,NO
45,273,0.62,NO
46,137,0.81,NO
47,79,0.42,NO
48,82,0.31,NO
49,147,0.59,NO
50,422,0.63,NO
51,979,0.98,YES
52,495,0.98,YES
53,189,0.91,NO
54,167,0.5,NO
55,86,0.32,YES
56,182,0.8,NO
57,361,0.88,NO
58,126,0.53,NO
59,106,0.44,NO
60,109,0.51,NO
61,85,0.2,NO
62,236,0.89,NO
63,315,0.77,YES
64,695,0.87,YES
65,27,0.10866666666666668,NO
66,89,0.65,NO
67,301,0.82,YES
68,153,0.91,NO
69,92,0.6,NO
70,466,0.8,NO
71,93,0.55,NO
72,244,0.81,NO
73,192,0.65,NO
74,252,0.56,YES
75,109,0.4,NO
76,601,0.85,NO
77,565,0.89,YES
78,69,0.4,NO
79,77,0.65,NO
80,94,0.48,NO
81,337,0.8,NO
82,214,0.65,NO
83,79,0.71,NO
84,25,0.01,NO
85,84,0.36,NO
86,34,0.0,NO
87,33,0.0,NO
88,104,0.24,NO
89,172,0.57,NO
90,70,0.43,NO
91,140,0.23,NO
92,156,0.53,YES
93,248,0.71,NO
94,277,0.86,YES
95,189,0.42,NO
96,194,0.98,YES
97,346,0.38,YES
98,304,0.03,YES
99,356,0.2,NO
100,84,0.64,NO
101,53,0.91,NO
102,132,0.95,YES
103,4088,0.64,YES
104,691,0.9,YES
105,47,0.47,NO
106,101,0.63,NO
107,510,0.66,NO
108,328,0.0,NO
109,273,0.22,NO
110,136,0.62,NO
111,56,0.05,NO
112,74,0.13,NO
113,359,0.36,NO
114,174,0.08,NO
115,148,0.33,NO
116,92,0.2,NO
117,45,0.53,YES
118,168,0.21,NO
119,77,0.91,YES
120,666,0.0275,NO
121,88,0.24,NO
122,262,0.57,NO
123,54,0.21,NO
124,48,0.01,NO
125,140,0.08,NO
126,152,0.05,NO
127,39,0.17,NO
128,131,0.01,NO
129,47,0.57,NO
130,129,0.17,NO
131,43,0.0,NO
132,243,0.59,YES
133,62,0.41,NO
134,45,0.0,NO
135,97,0.0,NO
136,476,0.55,NO
137,77,0.86,NO
138,69,0.65,YES
139,104,0.41,YES
140,115,0.55,NO
141,421,0.0275,NO
142,61,0.37,NO
143,2009,0.55,NO
144,179,0.09,NO
145,106,0.69,NO
146,33,0.29,NO
147,657,0.2512142857142857,NO
148,295,0.5635674603174603,NO
149,872,0.0,NO
150,444,0.0,NO
151,168,0.7495198412698413,NO
152,752,0.08763888888888889,NO
153,135,0.45,NO
154,1126,0.45,NO
155,163,0.56,NO
156,184,0.51,NO
157,51,0.3,NO
158,25,0.7,NO
159,180,0.34,NO
160,64,0.54,NO
161,101,0.5,NO
162,512,0.0,NO
163,187,0.52,NO
164,56,0.56,NO
165,39,0.62,NO
166,261,0.67,YES
167,73,0.72,YES
168,65,0.01,NO
169,329,0.14,NO
170,64,0.88,NO
171,164,0.48,NO
172,624,0.6,NO
173,74,0.23,NO
174,117,0.74,NO
175,84,0.48,YES
176,226,0.64,NO
177,76,0.11,NO
178,323,0.49,NO
179,72,0.43,NO
180,42,0.48,NO
181,48,0.39,NO
182,89,0.11,NO
183,380,0.51,NO
184,141,0.43,NO
185,148,0.1,NO
186,191,0.47,NO
187,46,0.02,NO
188,165,0.05,NO
189,171,0.37,NO
190,56,0.13,NO
191,179,0.01,NO
192,74,0.44,NO
193,36,0.0,NO
194,37,0.04,NO
195,34,0.32,NO
196,34,0.2575,NO
197,38,0.0,NO
198,39,0.3,NO
199,156,0.28,NO
200,84,0.0,NO
201,117,0.0,NO
202,94,0.2675,NO
203,71,0.0,NO
204,183,0.0,NO
205,85,0.55,NO
206,183,0.76,NO
207,70,0.24,NO
208,54,0.02,NO
209,160,0.42,NO
210,125,0.35,NO
211,151,0.86,YES
212,422,0.52,NO
213,221,0.95,YES
214,50,0.62,YES
215,42,0.82,YES
216,624,0.24,NO
217,377,0.54,NO
218,383,0.85,NO
219,72,0.66,YES
220,92,0.13,YES
221,282,0.3375,NO
222,371,0.87,YES
223,47,0.0,NO
224,108,0.06,NO
225,111,0.22104761904761905,NO
226,319,0.55,NO
227,129,0.0,NO
228,49,0.0,NO
229,358,0.66,NO
230,277,0.99,YES
231,49,0.32,NO
232,89,0.0,NO
233,41,0.46,NO
234,66,0.21,NO
235,63,0.03,NO
236,24,0.24,NO
237,50,0.0,NO
238,72,0.78,NO
239,47,0.73,NO
240,47,0.47,NO
241,183,0.63,NO
242,49,0.045714285714285714,NO
243,50,0.10866666666666668,NO
244,98,0.09,NO
245,143,0.47,YES
246,43,0.42,NO
247,42,0.57,YES
248,56,0.53,NO
249,44,0.35,NO
250,26,0.28,NO
251,254,0.73,YES
252,16883,0.91,NO
253,74,0.35,NO
254,153,0.09,NO
255,68,0.2,NO
256,100,0.68,NO
257,550,0.48,YES
258,437,0.94,YES
259,1038,0.0,NO
260,104,0.49,NO
261,332,0.0,NO
262,123,0.0,NO
263,106,0.84,YES
264,106,0.1475,NO
265,94,0.14,NO
266,101,0.28,NO
267,38,0.0,NO
268,628,0.0,NO
269,32,0.97,NO
270,111,0.08,NO
271,35,0.03,NO
272,90,0.1,NO
273,27,0.2,NO
274,28,0.0,NO
275,92,0.53,NO
276,956,0.31,NO
277,67,0.48,NO
278,29,0.06,NO
279,105,0.04,NO
280,72,0.18,NO
281,37,0.56,NO
282,47,0.19,NO
283,31,0.39,YES
284,90,0.24,NO
285,223,0.02,NO
286,214,0.4,NO
287,107,0.28,NO
288,37,0.67,NO
289,27,0.08,NO
290,48,0.78,YES
291,167,0.51,NO
292,213,0.74,NO
293,867,0.78,NO
294,159,0.68,NO
295,100,0.02,NO
296,96,0.46,NO
297,842,0.29,NO
298,525,0.48,NO
299,83,0.46,NO
300,63,0.28,NO
301,76,0.52,NO
302,202,0.3,NO
303,155,0.0,NO
304,1263,0.17,NO
305,74,0.51,YES
306,101,0.55,YES
307,27,0.06,NO
308,22,0.23933333333333334,NO
309,491,0.09,NO
310,62,0.49,YES
