ID,Size,Predicted %,Actual value
0,215,0.29,NO
1,273,0.84,YES
2,460,0.81,YES
3,138,0.4018333333333333,NO
4,358,0.76,NO
5,1154,0.75,YES
6,51,0.11,NO
7,157,0.6,NO
8,31,0.0,NO
9,1009,0.7,YES
10,193,0.03,NO
11,83,0.91,NO
12,262,0.77,YES
13,638,0.0325,NO
14,40,0.6,NO
15,374,0.86,NO
16,390,0.01,NO
17,51,0.72,YES
18,579,0.01,NO
19,32,0.06,NO
20,66,0.56,YES
21,260,0.7,YES
22,596,0.6525,YES
23,198,0.03,NO
24,50,0.02,NO
25,27,0.81,YES
26,926,0.05,NO
27,60,0.17,NO
28,62,0.335,NO
29,87,0.02,NO
30,52,0.6466666666666666,YES
31,297,0.27,NO
32,163,0.085,NO
33,118,0.02,NO
34,83,0.21,NO
35,147,0.09,NO
36,58,0.185,YES
37,44,0.01,NO
38,106,0.32,YES
39,192,0.6366666666666666,YES
40,151,0.9,YES
41,352,0.84,YES
42,752,0.02,NO
43,877,0.259047619047619,NO
44,319,0.06,NO
45,27,0.7233333333333334,YES
46,55,0.19250000000000003,NO
47,94,0.17,NO
48,191,0.14833333333333337,NO
49,90,0.06,NO
50,90,0.81,YES
51,271,0.72,YES
52,138,0.89,YES
53,79,0.18,YES
54,82,0.68,NO
55,147,0.41,NO
56,422,0.1057142857142857,YES
57,1026,0.87,YES
58,530,0.18666666666666665,YES
59,189,0.225,NO
60,167,0.25,NO
61,86,0.02,NO
62,195,0.3057142857142857,NO
63,374,0.66,YES
64,573,0.61,YES
65,126,0.01,NO
66,106,0.3936666666666667,NO
67,109,0.66,YES
68,85,0.525,YES
69,237,0.5050000000000001,NO
70,345,0.68,YES
71,47,0.49500000000000005,NO
72,781,0.4757142857142857,NO
73,27,0.29,YES
74,89,0.7,NO
75,300,0.08928571428571429,NO
76,166,0.71,YES
77,92,0.77,YES
78,497,0.31,NO
79,93,0.28,NO
80,244,0.475,YES
81,183,0.5966666666666667,NO
82,252,0.55,NO
83,109,0.02,NO
84,607,0.0,NO
85,565,0.5,NO
86,69,0.0,NO
87,77,0.05,NO
88,97,0.09666666666666668,NO
89,343,0.175,NO
90,214,0.28,NO
91,79,0.25500000000000006,NO
92,25,0.63,NO
93,84,0.51,NO
94,34,0.73,YES
95,33,0.68,NO
96,104,0.45,NO
97,172,0.32,NO
98,70,0.69,NO
99,140,0.6,YES
100,156,0.56,NO
101,142,0.33,NO
102,152,0.12,NO
103,31,0.66,NO
104,60,0.84,YES
105,60,0.13,NO
106,876,0.545,NO
107,61,0.78,YES
108,185,0.79,YES
109,264,0.53,YES
110,248,0.38166666666666665,NO
111,286,0.11,NO
112,185,0.05428571428571429,NO
113,194,0.73,YES
114,346,0.07,NO
115,309,0.0,NO
116,363,0.08,NO
117,84,0.0725,NO
118,53,0.5066666666666666,NO
119,132,0.12,NO
120,4088,0.81,NO
121,721,0.19,NO
122,47,0.93,NO
123,101,0.01,NO
124,517,0.04678571428571429,YES
125,327,0.475,YES
126,274,0.08,NO
127,136,0.01,NO
128,56,0.13,NO
129,74,0.01,NO
