Classifier,FeatureSelection,Balancing,CostSensitive,Index,IFA,Precision_0.5,Recall,F1,MAP,AUC,G_Measure,MCC,PofB10,PofB15,PofB20,PofB25,PofB30,PofB35,PofB40,PofB45,PofB50,PofB55,PofB60,PofB65,PofB70,PofB75,PofB80,PofB85,PofB90,PofB95,PofB100,Average_Pofb,Npofb10,Npofb15,Npofb20,Npofb25,Npofb30,Npofb35,Npofb40,Npofb45,Npofb50,Npofb55,Npofb60,Npofb65,Npofb70,Npofb75,Npofb80,Npofb85,Npofb90,Npofb95,Npofb100,avgNPofB,Popt10,Popt15,Popt20,Popt25,Popt30,Popt35,Popt40,Popt45,Popt50,Popt55,Popt60,Popt65,Popt70,Popt75,Popt80,Popt85,Popt90,Popt95,Popt100,avgNpopt,
IBk,BestFirst(Bi-directional),None,None,1,0,0.5692307692307692,0.4868421052631579,0.524822695035461,0.4961707895628599,0.9048448936911815,0.6094409106126548,0.31465968722572096,0.39473684210526316,0.4342105263157895,0.4473684210526316,0.47368421052631576,0.5921052631578947,0.7236842105263158,0.7894736842105263,0.8421052631578947,0.881578947368421,0.9210526315789473,0.9473684210526315,0.9736842105263158,0.9868421052631579,1.0,1.0,1.0,1.0,1.0,1.0,0.6464260436920842,0.39473684210526316,0.4342105263157895,0.4473684210526316,0.47368421052631576,0.5921052631578947,0.7236842105263158,0.7894736842105263,0.8421052631578947,0.881578947368421,0.9210526315789473,0.9473684210526315,0.9736842105263158,0.9868421052631579,1.0,1.0,1.0,1.0,1.0,1.0,0.8231861172407676,0.5263157894736843,0.5,0.4722222222222222,0.4800000000000001,0.6,0.7236842105263158,0.7894736842105263,0.8421052631578947,0.881578947368421,0.9210526315789473,0.9473684210526315,0.9736842105263158,0.983050847457627,1.0,1.0,1.0,1.0,1.0,1,0.8109418282548476,
IBk,BestFirst(Bi-directional),None,None,2,5,0.3902439024390244,0.5517241379310345,0.45714285714285713,0.3345348512493447,0.9096360910453865,0.6538500251635632,0.31301865259705836,0.29310344827586204,0.41379310344827586,0.46551724137931033,0.5172413793103449,0.5689655172413793,0.7068965517241379,0.7758620689655172,0.8448275862068966,0.8793103448275862,0.9310344827586207,0.9482758620689655,0.9827586206896551,0.9827586206896551,0.9827586206896551,0.9827586206896551,1.0,1.0,1.0,1.0,0.8118411490608292,0.29310344827586204,0.41379310344827586,0.46551724137931033,0.5172413793103449,0.5689655172413793,0.7068965517241379,0.7758620689655172,0.8448275862068966,0.8793103448275862,0.9310344827586207,0.9482758620689655,0.9827586206896551,0.9827586206896551,0.9827586206896551,0.9827586206896551,1.0,1.0,1.0,1.0,0.8099614498127088,0.37777777777777777,0.4528301886792453,0.4736842105263158,0.5172413793103449,0.5689655172413793,0.7068965517241379,0.7758620689655172,0.8448275862068966,0.8793103448275862,0.9310344827586207,0.9482758620689655,0.9827586206896551,0.9827586206896551,0.9827586206896551,0.9642857142857142,1.0,1.0,1.0,1,0.8039927404718693,
IBk,BestFirst(Bi-directional),None,None,3,2,0.1650485436893204,0.6296296296296297,0.26153846153846155,0.1475804256488022,0.8942760942760943,0.6801114936874898,0.2153562529506483,0.48148148148148145,0.5185185185185185,0.5925925925925926,0.6296296296296297,0.7037037037037037,0.7777777777777778,0.8518518518518519,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.9629629629629629,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8557504873294347,0.48148148148148145,0.5185185185185185,0.5925925925925926,0.6296296296296297,0.7037037037037037,0.7777777777777778,0.8518518518518519,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.9629629629629629,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8615984405458089,0.4814814814814814,0.5185185185185185,0.5925925925925926,0.6296296296296297,0.7037037037037037,0.7777777777777778,0.8518518518518519,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.9629629629629629,1.0,1.0,1.0,1.0,1.0,1.0,1,0.8615984405458089,
IBk,BestFirst(Bi-directional),None,None,4,9,0.1509433962264151,0.5714285714285714,0.23880597014925373,0.13084754436181145,0.9456906729634003,0.6916802610114192,0.24342360513383893,0.5,0.6428571428571429,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7857142857142857,0.8571428571428571,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.906015037593985,0.5,0.6428571428571429,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7857142857142857,0.8571428571428571,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8909774436090226,0.5,0.6428571428571429,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7857142857142857,0.8571428571428571,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.8909774436090224,
IBk,BestFirst(Bi-directional),None,None,5,1,0.48148148148148145,0.4482758620689655,0.4642857142857143,0.39275326709255726,0.9768911355840403,0.611842946668372,0.42548736491599304,0.4482758620689655,0.4482758620689655,0.4482758620689655,0.4482758620689655,0.4827586206896552,0.6551724137931034,0.6896551724137931,0.7241379310344828,0.7931034482758621,0.7931034482758621,0.8620689655172413,0.8620689655172413,0.896551724137931,0.9310344827586207,0.9655172413793104,0.9655172413793104,1.0,1.0,1.0,0.7604355716878404,0.4482758620689655,0.4482758620689655,0.4482758620689655,0.4482758620689655,0.4827586206896552,0.6551724137931034,0.6896551724137931,0.7241379310344828,0.7931034482758621,0.7931034482758621,0.8620689655172413,0.8620689655172413,0.896551724137931,0.9310344827586207,0.9655172413793104,0.9655172413793104,1.0,1.0,1.0,0.7586206896551724,0.4482758620689655,0.4482758620689655,0.4482758620689655,0.4482758620689655,0.48275862068965525,0.6551724137931034,0.6896551724137931,0.7241379310344828,0.7931034482758621,0.7931034482758621,0.8620689655172413,0.8620689655172413,0.896551724137931,0.9310344827586207,0.9655172413793104,0.9655172413793104,1.0,1.0,1,0.7586206896551724,
IBk,BestFirst(Bi-directional),None,None,6,0,0.36666666666666664,0.3548387096774194,0.36065573770491804,0.29441706575306137,0.9493670886075948,0.5169676895194051,0.31141388213495597,0.3548387096774194,0.3548387096774194,0.3548387096774194,0.4838709677419355,0.7096774193548387,0.7419354838709677,0.7741935483870968,0.8387096774193549,0.8387096774193549,0.8709677419354839,0.8709677419354839,0.9354838709677419,0.967741935483871,1.0,1.0,1.0,1.0,1.0,1.0,0.7521222410865874,0.3548387096774194,0.3548387096774194,0.3548387096774194,0.4838709677419355,0.7096774193548387,0.7419354838709677,0.7741935483870968,0.8387096774193549,0.8387096774193549,0.8709677419354839,0.8709677419354839,0.9354838709677419,0.967741935483871,1.0,1.0,1.0,1.0,1.0,1.0,0.7945670628183362,0.3548387096774194,0.3548387096774194,0.3548387096774194,0.4838709677419355,0.7096774193548387,0.7419354838709677,0.7741935483870968,0.8387096774193549,0.8387096774193549,0.8709677419354839,0.8709677419354839,0.9354838709677419,0.967741935483871,1.0,1.0,1.0,1.0,1.0,1,0.7945670628183362,
IBk,BestFirst(Bi-directional),None,SensitiveLearning,1,0,0.5692307692307692,0.4868421052631579,0.524822695035461,0.4961707895628599,0.85953293830603,0.6094409106126548,0.31465968722572096,0.39473684210526316,0.4342105263157895,0.4473684210526316,0.618421052631579,0.631578947368421,0.7236842105263158,0.7894736842105263,0.8421052631578947,0.881578947368421,0.9210526315789473,0.9473684210526315,0.9736842105263158,0.9868421052631579,1.0,1.0,1.0,1.0,1.0,1.0,0.6464260436920842,0.39473684210526316,0.4342105263157895,0.4473684210526316,0.618421052631579,0.631578947368421,0.7236842105263158,0.7894736842105263,0.8421052631578947,0.881578947368421,0.9210526315789473,0.9473684210526315,0.9736842105263158,0.9868421052631579,1.0,1.0,1.0,1.0,1.0,1.0,0.8330106786442765,0.5263157894736843,0.5,0.4722222222222222,0.6266666666666667,0.64,0.7236842105263158,0.7894736842105263,0.8421052631578947,0.881578947368421,0.9210526315789473,0.9473684210526315,0.9736842105263158,0.983050847457627,1.0,1.0,1.0,1.0,1.0,1,0.8206371191135734,
IBk,BestFirst(Bi-directional),None,SensitiveLearning,2,5,0.3855421686746988,0.5517241379310345,0.45390070921985815,0.33239769953828757,0.9096360910453865,0.6525338178881487,0.3083282889781049,0.27586206896551724,0.41379310344827586,0.46551724137931033,0.5172413793103449,0.5689655172413793,0.7068965517241379,0.7758620689655172,0.8448275862068966,0.8793103448275862,0.9310344827586207,0.9482758620689655,0.9827586206896551,0.9827586206896551,0.9827586206896551,0.9827586206896551,1.0,1.0,1.0,1.0,0.8118411490608292,0.27586206896551724,0.41379310344827586,0.46551724137931033,0.5172413793103449,0.5689655172413793,0.7068965517241379,0.7758620689655172,0.8448275862068966,0.8793103448275862,0.9310344827586207,0.9482758620689655,0.9827586206896551,0.9827586206896551,0.9827586206896551,0.9827586206896551,1.0,1.0,1.0,1.0,0.808791859169434,0.3555555555555555,0.4528301886792453,0.4736842105263158,0.5172413793103449,0.5689655172413793,0.7068965517241379,0.7758620689655172,0.8448275862068966,0.8793103448275862,0.9310344827586207,0.9482758620689655,0.9827586206896551,0.9827586206896551,0.9827586206896551,0.9642857142857142,1.0,1.0,1.0,1,0.8030852994555354,
IBk,BestFirst(Bi-directional),None,SensitiveLearning,3,2,0.16346153846153846,0.6296296296296297,0.2595419847328244,0.14076100940749714,0.8942760942760943,0.6788267192506777,0.21297813345515323,0.48148148148148145,0.5185185185185185,0.5925925925925926,0.6296296296296297,0.7037037037037037,0.7777777777777778,0.8518518518518519,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.9629629629629629,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8557504873294347,0.48148148148148145,0.5185185185185185,0.5925925925925926,0.6296296296296297,0.7037037037037037,0.7777777777777778,0.8518518518518519,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.9629629629629629,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8615984405458089,0.4814814814814814,0.5185185185185185,0.5925925925925926,0.6296296296296297,0.7037037037037037,0.7777777777777778,0.8518518518518519,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.9629629629629629,1.0,1.0,1.0,1.0,1.0,1.0,1,0.8615984405458089,
IBk,BestFirst(Bi-directional),None,SensitiveLearning,4,9,0.14814814814814814,0.5714285714285714,0.23529411764705882,0.12509628254585964,0.9456906729634003,0.6908199400708254,0.24004516770723025,0.5,0.6428571428571429,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7857142857142857,0.8571428571428571,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.906015037593985,0.5,0.6428571428571429,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7857142857142857,0.8571428571428571,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8909774436090226,0.5,0.6428571428571429,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7857142857142857,0.8571428571428571,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.8909774436090224,
