DATASET,INDEX TRAINING_RELEASES,TRAINING_INSTANCES(%),CLASSIFIER,FEATURE_SELECTION,BALANCING,COST_SENSITIVE,PRECISION,RECALL,F1,AREA_UNDER_ROC,KAPPA,TRUE_POSITIVES,FALSE_POSITIVES,TRUE_NEGATIVES,FALSE_NEGATIVES,TOTAL_COST
AVRO,1,44.71544715447155,RandomForest,None,None,None,0.5,0.1,0.16666666666666669,0.6354166666666666,0.07608695652173925,2.0,2.0,46.0,18.0,182.0
AVRO,1,44.71544715447155,NaiveBayes,None,None,None,0.375,0.15,0.21428571428571425,0.675,0.055555555555555754,3.0,5.0,43.0,17.0,175.0
AVRO,1,44.71544715447155,IBk,None,None,None,0.42105263157894735,0.4,0.41025641025641024,0.5979166666666667,0.17336152219873144,8.0,11.0,37.0,12.0,131.0
AVRO,1,44.71544715447155,RandomForest,BestFirst(Bi-directional),None,None,0.5714285714285714,0.4,0.47058823529411764,0.6010416666666667,0.30136986301369884,8.0,6.0,42.0,12.0,126.0
AVRO,1,44.71544715447155,NaiveBayes,BestFirst(Bi-directional),None,None,0.5,0.2,0.28571428571428575,0.7453125,0.14141414141414163,4.0,4.0,44.0,16.0,164.0
AVRO,1,44.71544715447155,IBk,BestFirst(Bi-directional),None,None,0.3125,0.25,0.2777777777777778,0.5130208333333334,0.02212389380530979,5.0,11.0,37.0,15.0,161.0
AVRO,1,44.71544715447155,RandomForest,None,SMOTE,None,0.4444444444444444,0.2,0.2758620689655173,0.7020833333333333,0.11414392059553335,4.0,5.0,43.0,16.0,165.0
AVRO,1,44.71544715447155,NaiveBayes,None,SMOTE,None,0.5,0.35,0.4117647058823529,0.6864583333333333,0.2237442922374431,7.0,7.0,41.0,13.0,137.0
AVRO,1,44.71544715447155,IBk,None,SMOTE,None,0.4230769230769231,0.55,0.47826086956521735,0.628125,0.21839080459770127,11.0,15.0,33.0,9.0,105.0
AVRO,1,44.71544715447155,RandomForest,None,None,SensitiveLearning,0.4642857142857143,0.65,0.5416666666666667,0.6911458333333333,0.30223880597014935,13.0,15.0,33.0,7.0,85.0
AVRO,1,44.71544715447155,NaiveBayes,None,None,SensitiveLearning,0.4666666666666667,0.35,0.4,0.675,0.19775280898876393,7.0,8.0,40.0,13.0,138.0
AVRO,1,44.71544715447155,IBk,None,None,SensitiveLearning,0.42105263157894735,0.4,0.41025641025641024,0.5979166666666667,0.17336152219873144,8.0,11.0,37.0,12.0,131.0
AVRO,1,44.71544715447155,RandomForest,BestFirst(Bi-directional),SMOTE,None,0.6,0.45,0.5142857142857143,0.5760416666666667,0.35056179775280893,9.0,6.0,42.0,11.0,116.0
AVRO,1,44.71544715447155,NaiveBayes,BestFirst(Bi-directional),SMOTE,None,0.5384615384615384,0.35,0.4242424242424242,0.7588541666666667,0.2505800464037123,7.0,6.0,42.0,13.0,136.0
AVRO,1,44.71544715447155,IBk,BestFirst(Bi-directional),SMOTE,None,0.36363636363636365,0.4,0.380952380952381,0.5661458333333333,0.10526315789473689,8.0,14.0,34.0,12.0,134.0
AVRO,1,44.71544715447155,RandomForest,BestFirst(Bi-directional),None,SensitiveLearning,0.2641509433962264,0.7,0.3835616438356165,0.5213541666666667,-0.0759493670886076,14.0,39.0,9.0,6.0,99.0
AVRO,1,44.71544715447155,NaiveBayes,BestFirst(Bi-directional),None,SensitiveLearning,0.48484848484848486,0.8,0.6037735849056605,0.7453125,0.3747810858143607,16.0,17.0,31.0,4.0,57.0
AVRO,1,44.71544715447155,IBk,BestFirst(Bi-directional),None,SensitiveLearning,0.30434782608695654,0.35,0.3255813953488372,0.5104166666666666,0.015968063872255477,7.0,16.0,32.0,13.0,146.0
AVRO,2,62.121212121212125,RandomForest,None,None,None,0.6666666666666666,0.26666666666666666,0.3809523809523809,0.8261111111111111,0.30107526881720426,4.0,2.0,58.0,11.0,112.0
AVRO,2,62.121212121212125,NaiveBayes,None,None,None,0.5,0.4,0.4444444444444445,0.7033333333333334,0.32432432432432456,6.0,6.0,54.0,9.0,96.0
AVRO,2,62.121212121212125,IBk,None,None,None,0.5,0.4666666666666667,0.4827586206896552,0.675,0.35897435897435925,7.0,7.0,53.0,8.0,87.0
AVRO,2,62.121212121212125,RandomForest,BestFirst(Bi-directional),None,None,0.3333333333333333,0.13333333333333333,0.19047619047619044,0.8211111111111111,0.08602150537634401,2.0,4.0,56.0,13.0,134.0
AVRO,2,62.121212121212125,NaiveBayes,BestFirst(Bi-directional),None,None,0.5454545454545454,0.4,0.4615384615384615,0.7894444444444444,0.35185185185185197,6.0,5.0,55.0,9.0,95.0
AVRO,2,62.121212121212125,IBk,BestFirst(Bi-directional),None,None,0.4444444444444444,0.5333333333333333,0.4848484848484848,0.6911111111111111,0.34108527131782934,8.0,10.0,50.0,7.0,80.0
AVRO,2,62.121212121212125,RandomForest,None,SMOTE,None,0.8,0.5333333333333333,0.64,0.8566666666666667,0.5714285714285715,8.0,2.0,58.0,7.0,72.0
AVRO,2,62.121212121212125,NaiveBayes,None,SMOTE,None,0.5,0.4,0.4444444444444445,0.7322222222222222,0.32432432432432456,6.0,6.0,54.0,9.0,96.0
AVRO,2,62.121212121212125,IBk,None,SMOTE,None,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.7083333333333334,0.41666666666666663,8.0,7.0,53.0,7.0,77.0
AVRO,2,62.121212121212125,RandomForest,None,None,SensitiveLearning,0.4375,0.9333333333333333,0.5957446808510638,0.8711111111111111,0.4444444444444445,14.0,18.0,42.0,1.0,28.0
AVRO,2,62.121212121212125,NaiveBayes,None,None,SensitiveLearning,0.42857142857142855,0.4,0.4137931034482759,0.7033333333333334,0.2735042735042736,6.0,8.0,52.0,9.0,98.0
AVRO,2,62.121212121212125,IBk,None,None,SensitiveLearning,0.5,0.4666666666666667,0.4827586206896552,0.675,0.35897435897435925,7.0,7.0,53.0,8.0,87.0
AVRO,2,62.121212121212125,RandomForest,BestFirst(Bi-directional),SMOTE,None,0.625,0.3333333333333333,0.43478260869565216,0.7883333333333333,0.3434343434343434,5.0,3.0,57.0,10.0,103.0
AVRO,2,62.121212121212125,NaiveBayes,BestFirst(Bi-directional),SMOTE,None,0.5,0.4666666666666667,0.4827586206896552,0.7866666666666666,0.35897435897435925,7.0,7.0,53.0,8.0,87.0
AVRO,2,62.121212121212125,IBk,BestFirst(Bi-directional),SMOTE,None,0.45,0.6,0.5142857142857143,0.715,0.3703703703703703,9.0,11.0,49.0,6.0,71.0
AVRO,2,62.121212121212125,RandomForest,BestFirst(Bi-directional),None,SensitiveLearning,0.5555555555555556,0.6666666666666666,0.606060606060606,0.8188888888888889,0.4961240310077519,10.0,8.0,52.0,5.0,58.0
