DATASET,INDEX TRAINING_RELEASES,TRAINING_INSTANCES(%),CLASSIFIER,FEATURE_SELECTION,BALANCING,COST_SENSITIVE,PRECISION,RECALL,F1,AREA_UNDER_ROC,KAPPA,TRUE_POSITIVES,FALSE_POSITIVES,TRUE_NEGATIVES,FALSE_NEGATIVES
BOOKKEEPER,1,43.67245657568238,RandomForest,None,None,None,0.95,0.22093023255813954,0.3584905660377359,0.842899554675903,0.25147900300649784,19.0,1.0,140.0,67.0
BOOKKEEPER,1,43.67245657568238,NaiveBayes,None,None,None,0.36936936936936937,0.9534883720930233,0.5324675324675324,0.7369289130793336,-0.03012731627379296,82.0,140.0,1.0,4.0
BOOKKEEPER,1,43.67245657568238,IBk,None,None,None,0.7258064516129032,0.5232558139534884,0.6081081081081081,0.7030348012535048,0.4258677830106402,45.0,17.0,124.0,41.0
BOOKKEEPER,1,43.67245657568238,RandomForest,BestFirst(Bi-directional),None,None,0.8421052631578947,0.37209302325581395,0.5161290322580645,0.8196437407224146,0.3697945585785676,32.0,6.0,135.0,54.0
BOOKKEEPER,1,43.67245657568238,NaiveBayes,BestFirst(Bi-directional),None,None,0.38613861386138615,0.9069767441860465,0.5416666666666666,0.6638627742041894,0.021807260381300562,78.0,124.0,17.0,8.0
BOOKKEEPER,1,43.67245657568238,IBk,BestFirst(Bi-directional),None,None,0.65625,0.4883720930232558,0.5599999999999999,0.6810159986805212,0.3497960246506379,42.0,22.0,119.0,44.0
BOOKKEEPER,1,43.67245657568238,RandomForest,None,OverSampling,None,0.8125,0.3023255813953488,0.44067796610169485,0.8228599703117269,0.2960248096983366,26.0,6.0,135.0,60.0
BOOKKEEPER,1,43.67245657568238,NaiveBayes,None,OverSampling,None,0.3721973094170404,0.9651162790697675,0.5372168284789645,0.739897740392545,-0.021203636706829808,83.0,140.0,1.0,3.0
BOOKKEEPER,1,43.67245657568238,IBk,None,OverSampling,None,0.6521739130434783,0.5232558139534884,0.5806451612903226,0.7149513442190335,0.3671998970708067,45.0,24.0,117.0,41.0
BOOKKEEPER,1,43.67245657568238,RandomForest,None,UnderSampling,None,0.7755102040816326,0.4418604651162791,0.562962962962963,0.8314778162625763,0.3971733357338974,38.0,11.0,130.0,48.0
BOOKKEEPER,1,43.67245657568238,NaiveBayes,None,UnderSampling,None,0.8636363636363636,0.4418604651162791,0.5846153846153846,0.7939963714332838,0.4413453650533225,38.0,6.0,135.0,48.0
BOOKKEEPER,1,43.67245657568238,IBk,None,UnderSampling,None,0.6911764705882353,0.5465116279069767,0.6103896103896104,0.6987877288471054,0.4144957441320609,47.0,21.0,120.0,39.0
BOOKKEEPER,1,43.67245657568238,RandomForest,None,SMOTE,None,0.8222222222222222,0.43023255813953487,0.564885496183206,0.8355599538182418,0.41178342501250176,37.0,8.0,133.0,49.0
BOOKKEEPER,1,43.67245657568238,NaiveBayes,None,SMOTE,None,0.36936936936936937,0.9534883720930233,0.5324675324675324,0.7591126505030513,-0.03012731627379296,82.0,140.0,1.0,4.0
BOOKKEEPER,1,43.67245657568238,IBk,None,SMOTE,None,0.704225352112676,0.5813953488372093,0.6369426751592356,0.7177140029688273,0.44768856447688576,50.0,21.0,120.0,36.0
BOOKKEEPER,1,43.67245657568238,RandomForest,None,None,SensitiveLearning,0.7547169811320755,0.46511627906976744,0.5755395683453238,0.8265710044532409,0.4030841912911708,40.0,13.0,128.0,46.0
BOOKKEEPER,1,43.67245657568238,NaiveBayes,None,None,SensitiveLearning,0.3721973094170404,0.9651162790697675,0.5372168284789645,0.7369289130793336,-0.021203636706829808,83.0,140.0,1.0,3.0
BOOKKEEPER,1,43.67245657568238,IBk,None,None,SensitiveLearning,0.7258064516129032,0.5232558139534884,0.6081081081081081,0.7030348012535048,0.4258677830106402,45.0,17.0,124.0,41.0
BOOKKEEPER,1,43.67245657568238,RandomForest,BestFirst(Bi-directional),OverSampling,None,0.8125,0.45348837209302323,0.582089552238806,0.8121392050140195,0.42640555906506633,39.0,9.0,132.0,47.0
BOOKKEEPER,1,43.67245657568238,NaiveBayes,BestFirst(Bi-directional),OverSampling,None,0.8709677419354839,0.313953488372093,0.4615384615384615,0.721301335972291,0.32628256465821814,27.0,4.0,137.0,59.0
BOOKKEEPER,1,43.67245657568238,IBk,BestFirst(Bi-directional),OverSampling,None,0.671875,0.5,0.5733333333333334,0.6389163780306779,0.36949917541880056,43.0,21.0,120.0,43.0
