@relation AVRO_Training_Set_1

@attribute ' Size' numeric
@attribute ' Number Of Revisions(numNR)' numeric
@attribute 'Number Of DefectFixes(NumFix)' numeric
@attribute 'Number Of Comment Lines In Class' numeric
@attribute totalInvokedClasses numeric
@attribute 'Number Of Methods' numeric
@attribute 'Number Of Java Imports' numeric
@attribute ' Number Of Api Imports' numeric
@attribute 'Number Of Package Imports' numeric
@attribute 'Number Of Authors (numAuth)' numeric
@attribute 'CHURN value' numeric
@attribute ' CHURN MAX' numeric
@attribute ' CHURN Averange' numeric
@attribute 'LOC touched value' numeric
@attribute 'LOC added MAX' numeric
@attribute 'LOC added Averange' numeric
@attribute 'LOC deleted MAX' numeric
@attribute 'LOC deleted Averange' numeric
@attribute 'Is Buggy ' {NO,YES}

@data
24,2,0,1,0,0,0,0,0,1,48,24,24,48,24,24,0,24,NO
25,3,0,2,0,0,0,0,0,1,59,28,19.666667,59,28,18.666667,3,18.666667,NO
339,12,0,22,8,19,10,3,1,1,647,300,53.916667,813,300,60.5,32,60.5,NO
725,15,0,40,26,50,12,6,0,1,1204,451,80.266667,1648,451,94.133333,80,94.133333,NO
24,2,0,1,0,0,0,0,0,1,48,24,24,48,24,24,0,24,NO
218,5,0,24,7,8,8,0,4,1,426,208,85.2,466,208,89.2,10,89.2,YES
193,5,0,18,6,4,10,0,4,1,376,183,75.2,402,183,77.8,5,77.8,YES
32,2,0,2,0,3,1,0,0,1,64,32,32,64,32,32,0,32,NO
36,2,0,6,0,0,1,0,0,1,72,36,36,72,36,36,0,36,YES
36,3,0,5,0,0,0,0,0,1,75,37,25,75,37,24.666667,1,24.666667,NO
279,9,0,8,4,14,6,0,5,1,543,250,60.333333,569,250,61,11,61,YES
462,14,0,13,4,26,6,1,8,1,883,265,63.071429,1483,265,78.928571,169,78.928571,YES
252,8,0,10,2,23,5,0,7,1,419,164,52.375,541,164,59.875,31,59.875,YES
24,1,0,3,0,0,0,0,0,1,24,24,24,24,24,24,0,24,NO
28,2,0,3,0,0,1,0,1,1,56,28,28,56,28,28,0,28,NO
57,5,0,2,1,3,1,2,7,1,114,57,22.8,144,57,25.8,7,25.8,NO
54,4,0,5,0,3,1,0,6,1,107,53,26.75,135,53,30.25,9,30.25,NO
300,2,0,3,5,27,4,0,3,1,310,305,155,310,305,152.5,5,152.5,NO
250,2,0,3,2,23,3,0,2,1,282,266,141,282,266,133,16,133,NO
622,1,0,30,5,28,5,0,3,1,622,622,622,622,622,622,0,622,YES
37,4,0,2,0,0,1,0,1,1,79,39,19.75,85,39,20.25,3,20.25,NO
35,4,0,2,0,0,1,0,1,1,73,36,18.25,79,36,18.75,3,18.75,NO
287,2,0,4,1,2,3,0,2,1,287,279,143.5,291,279,144.5,2,144.5,NO
275,2,0,2,1,3,3,0,2,1,275,269,137.5,281,269,139,3,139,NO
383,1,0,5,4,3,3,0,3,1,383,383,383,383,383,383,0,383,NO
223,1,0,5,2,9,1,0,2,1,223,223,223,223,223,223,0,223,NO
489,1,0,6,3,5,1,0,3,1,489,489,489,489,489,489,0,489,NO
358,1,0,7,3,25,4,0,3,1,358,358,358,358,358,358,0,358,NO
225,1,0,2,2,22,3,0,3,1,225,225,225,225,225,225,0,225,NO
40,3,0,2,0,1,1,0,0,1,92,44,30.666667,92,44,29.333333,4,29.333333,NO
86,5,0,5,1,4,5,0,0,1,155,69,31,189,69,34.4,16,34.4,NO
87,3,0,4,0,5,3,0,0,1,174,87,58,176,87,58.333333,1,58.333333,NO
183,7,0,17,10,7,6,2,13,1,288,105,41.142857,382,105,47.857143,25,47.857143,NO
174,8,0,11,11,2,3,2,7,1,298,124,37.25,378,124,42.25,24,42.25,NO
110,4,0,2,6,4,6,2,0,1,244,118,61,294,118,65.25,26,65.25,NO
93,3,0,5,0,3,5,2,0,1,180,87,60,180,87,60,0,60,NO
42,3,0,2,0,1,3,0,0,1,82,40,27.333333,82,40,27.333333,0,27.333333,NO
30,1,0,3,0,0,1,0,1,1,30,30,30,30,30,30,0,30,YES
244,8,0,11,4,0,11,2,10,1,440,194,55,500,194,58.625,13,58.625,YES
118,7,0,3,2,7,4,0,4,1,246,92,35.142857,336,92,39,41,39,YES
67,7,0,2,1,5,2,0,6,1,153,61,21.857143,187,61,22.571429,17,22.571429,YES
85,4,0,3,3,4,5,0,9,1,162,77,40.5,186,77,43.5,7,43.5,NO
124,7,0,5,3,5,5,0,11,1,244,118,34.857143,282,118,37.428571,13,37.428571,YES
105,3,0,6,3,6,5,5,1,1,189,84,63,203,84,65.333333,7,65.333333,NO
28,3,0,2,0,1,2,0,0,1,56,28,18.666667,62,28,19.666667,3,19.666667,NO
269,11,0,16,7,12,5,2,3,1,500,225,45.454545,556,225,47.727273,12,47.727273,YES
48,7,0,2,0,3,0,0,3,1,379,125,54.142857,433,125,43.285714,88,43.285714,YES
36,5,0,2,0,1,0,0,3,1,93,43,18.6,111,43,19,6,19,YES
40,1,0,2,0,2,0,0,2,1,40,40,40,40,40,40,0,40,NO
28,1,0,2,0,0,0,0,2,1,28,28,28,28,28,28,0,28,NO
28,3,0,1,0,0,0,0,1,1,62,30,20.666667,62,30,20,2,20,NO
64,1,0,2,0,2,0,0,1,1,64,64,64,64,64,64,0,64,NO
56,3,0,3,3,0,2,0,8,1,109,53,36.333333,121,53,38.333333,6,38.333333,YES
41,3,0,2,2,0,0,0,5,1,97,46,32.333333,105,46,32,9,32,YES
80,2,0,2,2,5,1,0,0,1,160,80,80,160,80,80,0,80,NO
