 Size, Number Of Revisions(numNR),Number Of DefectFixes(NumFix),Number Of Comment Lines In Class,totalInvokedClasses,Number Of Methods,Number Of Java Imports, Number Of Api Imports,Number Of Package Imports,Number Of Authors (numAuth),CHURN value, CHURN MAX, CHURN Averange,LOC touched value,LOC added MAX,LOC added Averange,LOC deleted MAX,LOC deleted Averange,Is Buggy 
24,2,0,1,0,0,0,0,0,1,48,24,24.0,48,24,24.0,0,24.0,NO
25,3,0,2,0,0,0,0,0,1,59,28,19.666666666666668,59,28,18.666666666666668,3,18.666666666666668,NO
339,12,0,22,8,19,10,3,1,1,647,300,53.916666666666664,813,300,60.5,32,60.5,NO
725,15,0,40,26,50,12,6,0,1,1204,451,80.26666666666667,1648,451,94.13333333333334,80,94.13333333333334,NO
24,2,0,1,0,0,0,0,0,1,48,24,24.0,48,24,24.0,0,24.0,NO
218,5,0,24,7,8,8,0,4,1,426,208,85.2,466,208,89.2,10,89.2,NO
193,5,0,18,6,4,10,0,4,1,376,183,75.2,402,183,77.8,5,77.8,NO
32,2,0,2,0,3,1,0,0,1,64,32,32.0,64,32,32.0,0,32.0,NO
36,2,0,6,0,0,1,0,0,1,72,36,36.0,72,36,36.0,0,36.0,NO
36,3,0,5,0,0,0,0,0,1,75,37,25.0,75,37,24.666666666666668,1,24.666666666666668,NO
279,9,0,8,4,14,6,0,5,1,543,250,60.333333333333336,569,250,61.0,11,61.0,NO
462,14,0,13,4,26,6,1,8,1,883,265,63.07142857142857,1483,265,78.92857142857143,169,78.92857142857143,NO
252,8,0,10,2,23,5,0,7,1,419,164,52.375,541,164,59.875,31,59.875,NO
24,1,0,3,0,0,0,0,0,1,24,24,24.0,24,24,24.0,0,24.0,NO
28,2,0,3,0,0,1,0,1,1,56,28,28.0,56,28,28.0,0,28.0,NO
57,5,0,2,1,3,1,2,7,1,114,57,22.8,144,57,25.8,7,25.8,NO
54,4,0,5,0,3,1,0,6,1,107,53,26.75,135,53,30.25,9,30.25,NO
300,2,0,3,5,27,4,0,3,1,310,305,155.0,310,305,152.5,5,152.5,NO
250,2,0,3,2,23,3,0,2,1,282,266,141.0,282,266,133.0,16,133.0,NO
622,1,0,30,5,28,5,0,3,1,622,622,622.0,622,622,622.0,0,622.0,NO
37,4,0,2,0,0,1,0,1,1,79,39,19.75,85,39,20.25,3,20.25,NO
35,4,0,2,0,0,1,0,1,1,73,36,18.25,79,36,18.75,3,18.75,NO
287,2,0,4,1,2,3,0,2,1,287,279,143.5,291,279,144.5,2,144.5,NO
