@relation BOOKKEEPER_Generico

@attribute Size numeric
@attribute 'Number Of Revisions(numNR)' numeric
@attribute 'Number Of DefectFixes(NumFix)' numeric
@attribute 'Number Of Comment Lines In Class' numeric
@attribute totalInvokedClasses numeric
@attribute 'Number Of Methods' numeric
@attribute 'Number Of Java Imports' numeric
@attribute ' Number Of Api Imports' numeric
@attribute 'Number Of Package Imports' numeric
@attribute 'Number Of Authors (numAuth)' numeric
@attribute 'CHURN value' numeric
@attribute 'CHURN MAX' numeric
@attribute 'CHURN Averange' numeric
@attribute 'LOC touched value' numeric
@attribute 'LOC added MAX' numeric
@attribute 'LOC added Averange' numeric
@attribute 'LOC deleted MAX' numeric
@attribute 'LOC deleted Averange' numeric
@attribute 'Is Buggy ' {YES,NO}

@data
137,4,0,5,3,1,6,9,2,2,139,137,34.75,333,137,58.75,94,58.75,NO
244,5,0,2,5,5,5,8,7,2,262,252,52.4,436,252,68,64,68,NO
1026,14,0,69,24,31,21,29,5,3,1026,545,73.285714,1466,545,89,81,89,NO
92,3,0,1,3,3,1,1,0,3,92,81,30.666667,150,81,40.333333,29,40.333333,NO
180,4,0,10,1,8,3,3,0,2,180,168,45,210,168,48.75,12,48.75,NO
471,9,0,45,12,13,17,19,2,3,551,487,61.222222,795,487,70.333333,104,70.333333,NO
204,5,0,4,2,8,5,7,0,3,204,124,40.8,216,124,42,2,42,NO
551,7,0,32,7,15,12,14,2,3,557,536,79.571429,691,536,88.714286,26,88.714286,NO
149,5,0,2,1,4,2,4,0,3,149,133,29.8,187,133,33.6,14,33.6,NO
157,3,0,1,4,16,2,2,0,3,157,151,52.333333,171,151,54.666667,6,54.666667,NO
147,1,0,18,0,17,7,7,0,1,147,147,147,147,147,147,0,147,NO
137,5,0,1,0,1,1,1,0,3,141,126,28.2,401,126,53.8,113,53.8,NO
271,4,0,1,18,2,1,1,0,3,271,249,67.75,289,249,70,8,70,NO
548,9,0,10,15,15,2,10,9,3,548,410,60.888889,1532,410,115.555556,401,115.555556,NO
728,6,0,16,16,21,9,19,9,2,882,714,147,1134,714,155.166667,121,155.166667,NO
205,4,0,4,4,9,11,18,3,2,205,204,51.25,219,204,53,4,53,NO
50,2,0,1,1,0,2,2,0,2,50,50,25,56,50,26.5,3,26.5,NO
