@relation BOOKKEEPER_Training_Set_5

@attribute Size numeric
@attribute 'Number Of Revisions(numNR)' numeric
@attribute 'Number Of DefectFixes(NumFix)' numeric
@attribute 'Number Of Comment Lines In Class' numeric
@attribute totalInvokedClasses numeric
@attribute 'Number Of Methods' numeric
@attribute 'Number Of Java Imports' numeric
@attribute ' Number Of Api Imports' numeric
@attribute 'Number Of Package Imports' numeric
@attribute 'Number Of Authors (numAuth)' numeric
@attribute 'CHURN value' numeric
@attribute 'CHURN MAX' numeric
@attribute 'CHURN Averange' numeric
@attribute 'LOC touched value' numeric
@attribute 'LOC added MAX' numeric
@attribute 'LOC added Averange' numeric
@attribute 'LOC deleted MAX' numeric
@attribute 'LOC deleted Averange' numeric
@attribute 'Is Buggy ' {YES,NO}

@data
137,4,0,5,3,1,6,3,2,2,139,137,34.75,333,137,58.75,94,58.75,NO
244,5,0,2,5,5,5,3,7,2,262,252,52.4,436,252,68,64,68,NO
1026,14,0,69,24,31,21,8,5,3,1026,545,73.285714,1466,545,89,81,89,YES
92,3,0,1,3,3,1,0,0,3,92,81,30.666667,150,81,40.333333,29,40.333333,YES
180,4,0,10,1,8,3,0,0,2,180,168,45,210,168,48.75,12,48.75,NO
471,9,0,45,12,13,17,2,2,3,551,487,61.222222,795,487,70.333333,104,70.333333,YES
204,5,0,4,2,8,5,2,0,3,204,124,40.8,216,124,42,2,42,YES
551,7,0,32,7,15,12,2,2,3,557,536,79.571429,691,536,88.714286,26,88.714286,YES
149,5,0,2,1,4,2,2,0,3,149,133,29.8,187,133,33.6,14,33.6,YES
157,3,0,1,4,16,2,0,0,3,157,151,52.333333,171,151,54.666667,6,54.666667,YES
147,1,0,18,0,17,7,0,0,1,147,147,147,147,147,147,0,147,NO
137,5,0,1,0,1,1,0,0,3,141,126,28.2,401,126,53.8,113,53.8,YES
271,4,0,1,18,2,1,0,0,3,271,249,67.75,289,249,70,8,70,NO
548,9,0,10,15,15,2,8,9,3,548,410,60.888889,1532,410,115.555556,401,115.555556,YES
