Size,Number Of Revisions(numNR),Number Of DefectFixes(NumFix),Number Of Comment Lines In Class,totalInvokedClasses,Number Of Methods,Number Of Java Imports, Number Of Api Imports,Number Of Package Imports,Number Of Authors (numAuth),CHURN value,CHURN MAX,CHURN Averange,LOC touched value,LOC added MAX,LOC added Averange,LOC deleted MAX,LOC deleted Averange,Is Buggy 
137,4,0,5,3,1,6,3,2,2,139,137,34.75,333,137,58.75,94,58.75,NO
244,5,0,2,5,5,5,3,7,2,262,252,52.4,436,252,68.0,64,68.0,NO
1026,14,0,69,24,31,21,8,5,3,1026,545,73.28571428571429,1466,545,89.0,81,89.0,NO
92,3,0,1,3,3,1,0,0,3,92,81,30.666666666666668,150,81,40.333333333333336,29,40.333333333333336,NO
180,4,0,10,1,8,3,0,0,2,180,168,45.0,210,168,48.75,12,48.75,NO
471,9,0,45,12,13,17,2,2,3,551,487,61.22222222222222,795,487,70.33333333333333,104,70.33333333333333,NO
204,5,0,4,2,8,5,2,0,3,204,124,40.8,216,124,42.0,2,42.0,NO
551,7,0,32,7,15,12,2,2,3,557,536,79.57142857142857,691,536,88.71428571428571,26,88.71428571428571,NO
149,5,0,2,1,4,2,2,0,3,149,133,29.8,187,133,33.6,14,33.6,NO
157,3,0,1,4,16,2,0,0,3,157,151,52.333333333333336,171,151,54.666666666666664,6,54.666666666666664,NO
147,1,0,18,0,17,7,0,0,1,147,147,147.0,147,147,147.0,0,147.0,NO
137,5,0,1,0,1,1,0,0,3,141,126,28.2,401,126,53.8,113,53.8,NO
271,4,0,1,18,2,1,0,0,3,271,249,67.75,289,249,70.0,8,70.0,NO
548,9,0,10,15,15,2,8,9,3,548,410,60.888888888888886,1532,410,115.55555555555556,401,115.55555555555556,NO
728,6,0,16,16,21,9,10,9,2,882,714,147.0,1134,714,155.16666666666666,121,155.16666666666666,NO
205,4,0,4,4,9,11,7,3,2,205,204,51.25,219,204,53.0,4,53.0,NO
50,2,0,1,1,0,2,0,0,2,50,50,25.0,56,50,26.5,3,26.5,NO
185,5,0,1,6,4,2,5,2,3,185,184,37.0,229,184,41.4,16,41.4,NO
61,3,0,1,0,3,0,0,0,3,61,61,20.333333333333332,71,61,22.0,4,22.0,NO
157,8,0,1,3,3,4,5,4,3,181,167,22.625,263,167,26.25,26,26.25,NO
81,4,0,3,0,2,0,3,1,3,81,80,20.25,103,80,23.0,7,23.0,NO
84,3,0,7,0,4,2,3,0,2,84,83,28.0,182,83,44.333333333333336,46,44.333333333333336,NO
762,12,0,9,17,27,8,7,10,3,770,547,64.16666666666667,2162,547,121.83333333333333,520,121.83333333333333,NO
248,7,0,5,6,2,6,3,1,3,252,198,36.0,328,198,41.142857142857146,16,41.142857142857146,NO
169,9,0,2,2,5,2,5,4,3,171,140,19.0,295,140,25.77777777777778,17,25.77777777777778,NO
196,6,0,14,1,5,1,4,9,3,196,178,32.666666666666664,252,178,37.333333333333336,9,37.333333333333336,NO
67,4,0,1,1,0,3,2,0,3,67,67,16.75,85,67,19.0,7,19.0,NO
165,4,0,11,0,1,1,3,3,3,165,138,41.25,199,138,45.5,11,45.5,NO
173,4,0,3,1,6,8,4,4,3,173,170,43.25,213,170,48.25,17,48.25,NO
103,6,0,6,0,1,1,3,5,2,107,101,17.833333333333332,151,101,21.166666666666668,10,21.166666666666668,NO
78,1,0,2,0,6,1,0,3,1,78,78,78.0,78,78,78.0,0,78.0,NO
87,2,0,5,0,2,0,0,1,2,87,87,43.5,89,87,44.0,1,44.0,NO
85,2,0,1,0,0,1,0,0,2,85,85,42.5,87,85,43.0,1,43.0,NO
105,2,0,3,2,6,1,5,1,1,105,61,52.5,107,61,53.0,1,53.0,NO
216,4,0,6,1,11,0,0,1,2,216,216,54.0,232,216,56.0,6,56.0,NO
377,4,0,11,1,26,1,1,0,2,377,377,94.25,417,377,99.25,11,99.25,NO
253,2,0,12,3,9,3,6,5,1,253,251,126.5,257,251,127.5,2,127.5,NO
193,1,0,5,3,9,4,8,5,1,193,193,193.0,193,193,193.0,0,193.0,NO
514,1,0,25,5,24,8,9,5,1,514,514,514.0,514,514,514.0,0,514.0,NO
204,1,0,8,5,5,1,8,2,1,204,204,204.0,204,204,204.0,0,204.0,NO
144,1,0,1,0,9,1,1,2,1,144,144,144.0,144,144,144.0,0,144.0,NO
98,1,0,6,4,0,1,2,1,1,98,98,98.0,98,98,98.0,0,98.0,NO
181,7,0,2,9,7,5,6,6,3,189,178,27.0,225,178,29.0,9,29.0,NO
154,4,0,1,1,0,0,0,0,3,154,75,38.5,170,75,40.5,5,40.5,NO
393,11,0,9,15,11,7,9,5,3,399,209,36.27272727272727,585,209,44.45454545454545,48,44.45454545454545,NO
132,3,0,5,1,3,3,4,0,3,132,75,44.0,146,75,46.333333333333336,7,46.333333333333336,NO
533,8,0,22,6,24,15,2,1,3,535,521,66.875,579,521,69.5,8,69.5,NO
603,9,0,55,10,16,7,22,8,3,607,573,67.44444444444444,763,573,75.88888888888889,24,75.88888888888889,NO
148,1,0,3,3,21,0,0,0,1,148,148,148.0,148,148,148.0,0,148.0,NO
174,3,0,16,1,1,4,2,3,2,174,173,58.0,194,173,61.333333333333336,8,61.333333333333336,NO
148,3,0,9,0,2,3,2,2,2,148,147,49.333333333333336,168,147,52.666666666666664,8,52.666666666666664,NO
92,6,0,6,2,0,2,3,2,3,1442,763,240.33333333333334,1576,763,139.0,688,139.0,NO
234,6,0,18,12,4,8,16,2,3,234,209,39.0,642,209,73.0,101,73.0,NO
54,3,0,1,0,0,1,0,2,3,54,54,18.0,64,54,19.666666666666668,4,19.666666666666668,NO
38,2,0,1,0,0,0,0,0,2,38,38,19.0,48,38,21.5,5,21.5,NO
98,2,0,3,2,3,4,0,0,2,98,98,49.0,106,98,51.0,4,51.0,NO
39,3,0,1,0,1,0,2,0,2,39,38,13.0,59,38,16.333333333333332,7,16.333333333333332,NO
69,3,0,1,2,0,2,0,0,3,119,94,39.666666666666664,127,94,32.666666666666664,25,32.666666666666664,NO
94,1,0,6,2,2,2,6,0,1,94,94,94.0,94,94,94.0,0,94.0,NO
72,1,0,1,0,3,0,6,0,1,72,72,72.0,72,72,72.0,0,72.0,NO
42,1,0,1,0,3,0,0,0,1,42,42,42.0,42,42,42.0,0,42.0,NO
48,3,0,1,0,1,0,3,0,2,48,48,16.0,64,48,18.666666666666668,5,18.666666666666668,NO
63,2,0,1,0,2,0,5,0,2,63,63,31.5,71,63,33.5,4,33.5,NO
237,2,0,1,0,10,1,9,0,2,237,237,118.5,277,237,128.5,20,128.5,NO
133,3,0,5,5,4,0,9,0,2,133,133,44.333333333333336,145,133,46.333333333333336,5,46.333333333333336,NO
137,4,0,3,4,3,3,12,0,2,137,136,34.25,163,136,37.5,10,37.5,NO
177,3,0,4,7,9,4,4,0,2,177,176,59.0,185,176,60.333333333333336,2,60.333333333333336,NO
46,2,0,1,1,0,0,0,0,2,46,46,23.0,48,46,23.5,1,23.5,NO
128,5,0,8,9,1,2,10,0,3,128,127,25.6,146,127,27.4,5,27.4,NO
149,3,0,45,2,13,1,5,0,2,149,148,49.666666666666664,155,148,50.666666666666664,2,50.666666666666664,NO
58,2,0,5,1,1,0,2,0,2,58,58,29.0,60,58,29.5,1,29.5,NO
149,2,0,33,1,2,1,5,0,2,149,149,74.5,155,149,76.0,3,76.0,NO
74,2,0,1,2,5,0,2,0,2,74,74,37.0,82,74,39.0,4,39.0,NO
37,1,0,1,0,0,0,0,0,1,37,37,37.0,37,37,37.0,0,37.0,NO
38,2,0,1,0,0,0,0,0,2,38,38,19.0,42,38,20.0,2,20.0,NO
39,2,0,1,0,0,0,0,0,2,39,39,19.5,41,39,20.0,1,20.0,NO
96,4,0,12,2,3,1,8,0,2,96,95,24.0,118,95,26.75,5,26.75,NO
88,3,0,15,0,4,0,5,0,2,88,87,29.333333333333332,94,87,30.333333333333332,2,30.333333333333332,NO
71,4,0,10,1,1,0,8,0,2,71,70,17.75,85,70,19.5,3,19.5,NO
114,4,0,18,1,4,1,10,0,2,114,113,28.5,132,113,30.75,4,30.75,NO
336,6,0,98,4,6,5,15,0,3,336,329,56.0,492,329,69.0,35,69.0,NO
84,4,0,14,2,1,0,9,0,2,84,83,21.0,102,83,23.25,5,23.25,NO
58,3,0,4,6,1,0,9,0,2,58,58,19.333333333333332,68,58,21.0,3,21.0,NO
123,4,0,33,1,1,2,10,0,2,123,122,30.75,137,122,32.5,4,32.5,NO
369,1,0,78,13,15,9,14,0,1,369,369,369.0,369,369,369.0,0,369.0,NO
231,5,0,60,4,4,3,18,0,2,231,224,46.2,255,224,48.6,6,48.6,NO
586,4,0,128,8,28,4,28,0,2,586,585,146.5,704,585,161.25,48,161.25,NO
366,5,0,101,9,9,4,25,0,2,366,365,73.2,414,365,78.0,14,78.0,NO
99,4,0,22,1,1,2,9,0,2,99,98,24.75,117,98,27.0,4,27.0,NO
41,1,0,2,1,1,0,2,0,1,41,41,41.0,41,41,41.0,0,41.0,NO
66,2,0,4,1,4,2,4,0,2,66,65,33.0,92,65,39.5,13,39.5,NO
54,3,0,1,2,2,1,4,0,3,54,45,18.0,56,45,18.333333333333332,1,18.333333333333332,NO
47,2,0,1,0,0,0,1,0,2,47,47,23.5,55,47,25.5,4,25.5,NO
183,4,0,1,2,9,2,4,0,3,187,185,46.75,223,185,50.75,16,50.75,NO
49,1,0,1,1,0,2,0,0,1,49,49,49.0,49,49,49.0,0,49.0,NO
50,1,0,1,0,2,0,0,0,1,50,50,50.0,50,50,50.0,0,50.0,NO
98,2,0,1,2,2,4,2,0,2,98,97,49.0,102,97,50.0,2,50.0,NO
138,1,0,23,2,8,1,0,0,1,138,138,138.0,138,138,138.0,0,138.0,NO
43,1,0,1,0,1,0,0,0,1,43,43,43.0,43,43,43.0,0,43.0,NO
42,1,0,1,0,2,0,0,0,1,42,42,42.0,42,42,42.0,0,42.0,NO
56,1,0,5,1,0,3,0,0,1,56,56,56.0,56,56,56.0,0,56.0,NO
162,2,0,5,10,2,1,1,0,2,162,162,81.0,164,162,81.5,1,81.5,NO
6367,2,0,141,17,376,0,0,0,2,6367,6095,3183.5,18077,6127,6111.0,5855,6111.0,NO
153,2,0,4,2,0,3,5,0,2,153,153,76.5,157,153,77.5,2,77.5,NO
43,1,0,1,0,0,0,4,0,1,43,43,43.0,43,43,43.0,0,43.0,NO
41,2,0,5,1,0,0,2,0,2,41,41,20.5,43,41,21.0,1,21.0,NO
105,3,0,2,3,3,4,3,0,2,105,104,35.0,205,104,51.666666666666664,48,51.666666666666664,NO
105,5,0,1,9,2,4,6,5,3,105,103,21.0,191,103,29.6,39,29.6,NO
92,4,0,1,6,2,2,2,5,3,92,91,23.0,160,91,31.5,31,31.5,NO
101,3,0,3,7,2,2,17,0,2,101,100,33.666666666666664,201,100,50.333333333333336,48,50.333333333333336,NO
45,1,0,3,0,0,2,1,0,1,45,45,45.0,45,45,45.0,0,45.0,NO
289,2,0,31,4,36,9,4,0,2,289,289,144.5,291,289,145.0,1,145.0,NO
32,2,0,1,0,1,0,2,0,2,32,31,16.0,38,31,17.5,3,17.5,NO
111,1,0,1,0,4,4,3,0,1,111,111,111.0,111,111,111.0,0,111.0,NO
35,2,0,1,0,0,0,0,0,2,35,35,17.5,37,35,18.0,1,18.0,NO
81,1,0,2,1,5,2,5,0,1,81,81,81.0,81,81,81.0,0,81.0,NO
27,1,0,1,0,3,0,0,0,1,27,27,27.0,27,27,27.0,0,27.0,NO
28,1,0,1,0,2,0,1,0,1,28,28,28.0,28,28,28.0,0,28.0,NO
29,2,0,1,0,2,0,3,0,2,29,29,14.5,31,29,15.0,1,15.0,NO
566,4,0,48,11,32,11,17,0,3,566,561,141.5,634,561,150.0,32,150.0,NO
64,2,0,1,1,3,0,9,0,2,64,64,32.0,96,64,40.0,16,40.0,NO
29,2,0,1,0,1,0,1,0,2,29,29,14.5,31,29,15.0,1,15.0,NO
64,2,0,1,0,3,0,9,0,2,64,64,32.0,66,64,32.5,1,32.5,NO
37,2,0,1,0,1,0,2,0,2,37,37,18.5,43,37,20.0,3,20.0,NO
68,2,0,1,1,3,0,11,0,2,68,68,34.0,90,68,39.5,11,39.5,NO
154,3,0,16,2,4,1,22,0,2,154,153,51.333333333333336,176,153,55.0,9,55.0,NO
72,2,0,1,0,3,0,12,0,2,72,72,36.0,74,72,36.5,1,36.5,NO
385,6,0,31,37,10,12,45,3,3,385,364,64.16666666666667,415,364,66.66666666666667,8,66.66666666666667,NO
76,2,0,7,7,1,0,10,0,2,76,76,38.0,80,76,39.0,2,39.0,NO
159,3,0,15,2,6,2,22,0,2,159,158,53.0,167,158,54.333333333333336,2,54.333333333333336,NO
737,3,0,43,10,28,7,27,5,2,737,736,245.66666666666666,1035,736,295.3333333333333,144,295.3333333333333,NO
74,2,0,1,0,5,0,2,0,2,74,74,37.0,78,74,38.0,2,38.0,NO
94,3,0,3,2,6,2,4,0,2,94,93,31.333333333333332,100,93,32.333333333333336,2,32.333333333333336,NO
22,1,0,1,0,1,0,0,0,1,22,22,22.0,22,22,22.0,0,22.0,NO
427,3,0,10,5,15,10,12,0,2,427,426,142.33333333333334,451,426,146.33333333333334,10,146.33333333333334,NO
62,1,0,1,0,0,2,0,0,1,62,62,62.0,62,62,62.0,0,62.0,NO
58,2,0,1,0,3,0,3,0,2,58,58,29.0,60,58,29.5,1,29.5,NO
91,2,0,1,0,6,0,3,0,2,91,91,45.5,101,91,48.0,5,48.0,NO
27,2,0,1,0,1,0,0,0,2,27,27,13.5,29,27,14.0,1,14.0,NO
77,2,0,1,0,6,0,1,0,2,77,77,38.5,81,77,39.5,2,39.5,NO
704,3,0,66,17,27,13,11,0,2,704,703,234.66666666666666,780,703,247.33333333333334,36,247.33333333333334,NO
63,2,0,1,0,1,0,1,0,2,63,63,31.5,71,63,33.5,4,33.5,NO
37,1,0,1,0,2,0,0,0,1,37,37,37.0,37,37,37.0,0,37.0,NO
64,2,0,1,0,4,0,2,0,2,64,64,32.0,66,64,32.5,1,32.5,NO
124,2,0,3,1,2,3,8,0,2,124,124,62.0,130,124,63.5,3,63.5,NO
