Release ID, Release Name,Size, numberOfRevisions(numNR),numberOfDefectFixes(NumFix),numberOfAuthors(numAuth),CHURN value, CHURN MAX, CHURN Averange,LOC touched value,LOC added MAX,LOC added Averange,LOC deleted MAX,LOC deleted Averange,Is Buggy 
2,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchBookie.java,215,2,1,1,0,0,0.0,0,0,0.0,0,0.0,false
3,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchBookie.java,215,0,0,0,0,0,0.0,0,0,0.0,0,0.0,false
4,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchBookie.java,215,0,0,0,0,0,0.0,0,0,0.0,0,0.0,false
5,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchBookie.java,215,1,0,1,0,0,0.0,0,0,0.0,0,0.0,false
6,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchBookie.java,215,1,0,1,0,0,0.0,0,0,0.0,0,0.0,false
7,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchBookie.java,212,1,0,1,0,0,0.0,0,0,0.0,0,0.0,false
8,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchBookie.java,212,0,0,0,0,0,0.0,0,0,0.0,0,0.0,false
9,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchBookie.java,215,1,0,1,0,0,0.0,0,0,0.0,0,0.0,false
11,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchBookie.java,227,5,0,5,0,0,0.0,0,0,0.0,0,0.0,false
12,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchBookie.java,227,0,0,0,0,0,0.0,0,0,0.0,0,0.0,false
13,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchBookie.java,227,0,0,0,0,0,0.0,0,0,0.0,0,0.0,false
2,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchReadThroughputLatency.java,271,1,0,1,0,0,0.0,0,0,0.0,0,0.0,true
3,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchReadThroughputLatency.java,271,0,0,0,0,0,0.0,0,0,0.0,0,0.0,true
4,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchReadThroughputLatency.java,273,1,1,1,0,0,0.0,0,0,0.0,0,0.0,true
5,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchReadThroughputLatency.java,273,0,0,0,0,0,0.0,0,0,0.0,0,0.0,true
6,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchReadThroughputLatency.java,274,2,1,2,0,0,0.0,0,0,0.0,0,0.0,false
7,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchReadThroughputLatency.java,274,0,0,0,0,0,0.0,0,0,0.0,0,0.0,false
8,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchReadThroughputLatency.java,274,0,0,0,0,0,0.0,0,0,0.0,0,0.0,true
9,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchReadThroughputLatency.java,274,0,0,0,0,0,0.0,0,0,0.0,0,0.0,true
11,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchReadThroughputLatency.java,276,4,0,4,0,0,0.0,0,0,0.0,0,0.0,false
12,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchReadThroughputLatency.java,276,0,0,0,0,0,0.0,0,0,0.0,0,0.0,false
13,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchReadThroughputLatency.java,276,0,0,0,0,0,0.0,0,0,0.0,0,0.0,false
2,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchThroughputLatency.java,451,4,0,3,0,0,0.0,0,0,0.0,0,0.0,true
3,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchThroughputLatency.java,458,1,0,1,0,0,0.0,0,0,0.0,0,0.0,true
4,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchThroughputLatency.java,460,1,1,1,0,0,0.0,0,0,0.0,0,0.0,true
5,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchThroughputLatency.java,460,0,0,0,0,0,0.0,0,0,0.0,0,0.0,true
6,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchThroughputLatency.java,461,2,1,2,0,0,0.0,0,0,0.0,0,0.0,true
7,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchThroughputLatency.java,461,0,0,0,0,0,0.0,0,0,0.0,0,0.0,true
8,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchThroughputLatency.java,461,1,1,1,0,0,0.0,0,0,0.0,0,0.0,false
9,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchThroughputLatency.java,461,0,0,0,0,0,0.0,0,0,0.0,0,0.0,false
11,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchThroughputLatency.java,460,5,0,4,0,0,0.0,0,0,0.0,0,0.0,false
12,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchThroughputLatency.java,460,1,0,1,0,0,0.0,0,0,0.0,0,0.0,false
13,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchThroughputLatency.java,460,1,0,1,0,0,0.0,0,0,0.0,0,0.0,false
1,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/MySqlClient.java,137,3,0,2,0,0,0.0,0,0,0.0,0,0.0,false
2,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/MySqlClient.java,137,0,0,0,0,0,0.0,0,0,0.0,0,0.0,true
3,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/MySqlClient.java,137,0,0,0,0,0,0.0,0,0,0.0,0,0.0,true
4,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/MySqlClient.java,138,1,1,1,0,0,0.0,0,0,0.0,0,0.0,false
5,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/MySqlClient.java,138,0,0,0,0,0,0.0,0,0,0.0,0,0.0,false
6,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/MySqlClient.java,138,1,0,1,0,0,0.0,0,0,0.0,0,0.0,false
7,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/MySqlClient.java,138,0,0,0,0,0,0.0,0,0,0.0,0,0.0,false
8,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/MySqlClient.java,138,0,0,0,0,0,0.0,0,0,0.0,0,0.0,false
9,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/MySqlClient.java,138,0,0,0,0,0,0.0,0,0,0.0,0,0.0,false
11,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/MySqlClient.java,138,3,0,3,0,0,0.0,0,0,0.0,0,0.0,false
12,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/MySqlClient.java,138,0,0,0,0,0,0.0,0,0,0.0,0,0.0,false
13,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/MySqlClient.java,138,0,0,0,0,0,0.0,0,0,0.0,0,0.0,false
1,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java,244,4,0,2,0,0,0.0,0,0,0.0,0,0.0,false
2,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java,368,2,0,2,0,0,0.0,0,0,0.0,0,0.0,true
3,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java,357,1,1,1,0,0,0.0,0,0,0.0,0,0.0,true
4,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java,358,1,1,1,0,0,0.0,0,0,0.0,0,0.0,false
5,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java,358,0,0,0,0,0,0.0,0,0,0.0,0,0.0,false
6,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java,358,0,0,0,0,0,0.0,0,0,0.0,0,0.0,false
7,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java,358,0,0,0,0,0,0.0,0,0,0.0,0,0.0,false
8,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java,358,0,0,0,0,0,0.0,0,0,0.0,0,0.0,false
9,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java,358,0,0,0,0,0,0.0,0,0,0.0,0,0.0,false
11,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java,355,3,0,3,0,0,0.0,0,0,0.0,0,0.0,false
12,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java,355,0,0,0,0,0,0.0,0,0,0.0,0,0.0,false
13,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java,352,1,0,1,0,0,0.0,0,0,0.0,0,0.0,false
11,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/package-info.java,23,1,0,1,0,0,0.0,0,0,0.0,0,0.0,false
12,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/package-info.java,23,0,0,0,0,0,0.0,0,0,0.0,0,0.0,false
13,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/package-info.java,23,0,0,0,0,0,0.0,0,0,0.0,0,0.0,false
13,bookkeeper-common/src/main/java/org/apache/bookkeeper/common/annotation/InterfaceAudience.java,56,0,0,0,0,0,0.0,0,0,0.0,0,0.0,false
13,bookkeeper-common/src/main/java/org/apache/bookkeeper/common/annotation/InterfaceStability.java,51,0,0,0,0,0,0.0,0,0,0.0,0,0.0,false
13,bookkeeper-common/src/main/java/org/apache/bookkeeper/common/annotation/package-info.java,22,0,0,0,0,0,0.0,0,0,0.0,0,0.0,false
13,bookkeeper-common/src/main/java/org/apache/bookkeeper/common/component/AbstractComponent.java,44,0,0,0,0,0,0.0,0,0,0.0,0,0.0,false
13,bookkeeper-common/src/main/java/org/apache/bookkeeper/common/component/AbstractLifecycleComponent.java,111,0,0,0,0,0,0.0,0,0,0.0,0,0.0,false
13,bookkeeper-common/src/main/java/org/apache/bookkeeper/common/component/ComponentStarter.java,71,0,0,0,0,0,0.0,0,0,0.0,0,0.0,false
13,bookkeeper-common/src/main/java/org/apache/bookkeeper/common/component/Lifecycle.java,196,0,0,0,0,0,0.0,0,0,0.0,0,0.0,false
13,bookkeeper-common/src/main/java/org/apache/bookkeeper/common/component/LifecycleComponent.java,39,0,0,0,0,0,0.0,0,0,0.0,0,0.0,false
13,bookkeeper-common/src/main/java/org/apache/bookkeeper/common/component/LifecycleComponentStack.java,124,2,0,1,0,0,0.0,0,0,0.0,0,0.0,false
13,bookkeeper-common/src/main/java/org/apache/bookkeeper/common/component/LifecycleListener.java,38,0,0,0,0,0,0.0,0,0,0.0,0,0.0,false
13,bookkeeper-common/src/main/java/org/apache/bookkeeper/common/component/package-info.java,22,0,0,0,0,0,0.0,0,0,0.0,0,0.0,false
13,bookkeeper-common/src/main/java/org/apache/bookkeeper/common/concurrent/FutureEventListener.java,44,0,0,0,0,0,0.0,0,0,0.0,0,0.0,false
13,bookkeeper-common/src/main/java/org/apache/bookkeeper/common/concurrent/FutureUtils.java,368,0,0,0,0,0,0.0,0,0,0.0,0,0.0,false
13,bookkeeper-common/src/main/java/org/apache/bookkeeper/common/concurrent/package-info.java,22,0,0,0,0,0,0.0,0,0,0.0,0,0.0,false
13,bookkeeper-common/src/main/java/org/apache/bookkeeper/common/conf/ComponentConfiguration.java,285,0,0,0,0,0,0.0,0,0,0.0,0,0.0,false
13,bookkeeper-common/src/main/java/org/apache/bookkeeper/common/conf/package-info.java,21,0,0,0,0,0,0.0,0,0,0.0,0,0.0,false
13,bookkeeper-common/src/main/java/org/apache/bookkeeper/common/package-info.java,22,0,0,0,0,0,0.0,0,0,0.0,0,0.0,false
13,bookkeeper-common/src/main/java/org/apache/bookkeeper/common/stats/BroadCastStatsLogger.java,208,0,0,0,0,0,0.0,0,0,0.0,0,0.0,false
13,bookkeeper-common/src/main/java/org/apache/bookkeeper/common/stats/OpStatsListener.java,55,0,0,0,0,0,0.0,0,0,0.0,0,0.0,false
13,bookkeeper-common/src/main/java/org/apache/bookkeeper/common/stats/package-info.java,21,0,0,0,0,0,0.0,0,0,0.0,0,0.0,false
13,bookkeeper-common/src/main/java/org/apache/bookkeeper/common/util/Backoff.java,288,0,0,0,0,0,0.0,0,0,0.0,0,0.0,false
13,bookkeeper-common/src/main/java/org/apache/bookkeeper/common/util/ExecutorUtils.java,47,0,0,0,0,0,0.0,0,0,0.0,0,0.0,false
13,bookkeeper-common/src/main/java/org/apache/bookkeeper/common/util/LogExceptionRunnable.java,54,0,0,0,0,0,0.0,0,0,0.0,0,0.0,false
13,bookkeeper-common/src/main/java/org/apache/bookkeeper/common/util/MathUtils.java,105,0,0,0,0,0,0.0,0,0,0.0,0,0.0,false
13,bookkeeper-common/src/main/java/org/apache/bookkeeper/common/util/OrderedScheduler.java,483,0,0,0,0,0,0.0,0,0,0.0,0,0.0,false
13,bookkeeper-common/src/main/java/org/apache/bookkeeper/common/util/ReferenceCounted.java,35,0,0,0,0,0,0.0,0,0,0.0,0,0.0,false
13,bookkeeper-common/src/main/java/org/apache/bookkeeper/common/util/Retries.java,142,0,0,0,0,0,0.0,0,0,0.0,0,0.0,false
13,bookkeeper-common/src/main/java/org/apache/bookkeeper/common/util/SafeRunnable.java,95,0,0,0,0,0,0.0,0,0,0.0,0,0.0,false
13,bookkeeper-common/src/main/java/org/apache/bookkeeper/common/util/SharedResourceManager.java,164,0,0,0,0,0,0.0,0,0,0.0,0,0.0,false
13,bookkeeper-common/src/main/java/org/apache/bookkeeper/common/util/StreamUtil.java,70,0,0,0,0,0,0.0,0,0,0.0,0,0.0,false
13,bookkeeper-common/src/main/java/org/apache/bookkeeper/common/util/package-info.java,22,0,0,0,0,0,0.0,0,0,0.0,0,0.0,false
