Ticket Key,Injected Version,Opening Version,Fixed Version,Affected Version List,Number of Commits,Creation Date,Resolution Date
AVRO-78,1.0.0,1.1.0,1.1.0,{1.0.0},1,2009-07-15,2009-07-16
AVRO-79,1.0.0,1.1.0,1.1.0,{1.0.0},1,2009-07-18,2009-07-20
AVRO-80,1.0.0,1.1.0,1.3.0,{1.0.0},1,2009-07-20,2009-11-20
AVRO-85,1.0.0,1.1.0,1.1.0,{1.0.0},1,2009-07-28,2009-07-31
AVRO-84,1.0.0,1.1.0,1.1.0,{1.0.0},1,2009-07-28,2009-07-31
AVRO-87,1.0.0,1.1.0,1.1.0,{1.0.0},1,2009-07-31,2009-08-12
AVRO-86,1.0.0,1.1.0,1.4.0,{1.0.0 / 1.1.0},1,2009-07-31,2010-08-25
AVRO-88,1.0.0,1.1.0,1.1.0,{1.0.0},1,2009-08-11,2009-08-18
AVRO-95,1.0.0,1.1.0,1.1.0,{1.0.0},2,2009-08-16,2009-08-18
AVRO-97,1.0.0,1.1.0,1.1.0,{1.0.0},1,2009-08-18,2009-08-18
AVRO-101,1.0.0,1.1.0,1.2.0,{1.0.0 / 1.1.0},1,2009-08-19,2009-09-25
AVRO-104,1.0.0,1.1.0,1.1.0,{1.0.0 / 1.1.0},1,2009-08-20,2009-08-25
AVRO-107,1.0.0,1.1.0,1.1.0,{1.0.0},1,2009-08-27,2009-08-27
AVRO-113,1.0.0,1.1.0,1.2.0,{1.0.0},1,2009-09-08,2009-09-22
AVRO-114,1.0.0,1.1.0,1.1.0,{1.0.0},1,2009-09-11,2009-09-11
AVRO-117,1.0.0,1.2.0,1.2.0,{1.0.0},1,2009-09-21,2009-09-23
AVRO-119,1.1.0,1.2.0,1.2.0,{1.1.0},1,2009-09-22,2009-09-23
AVRO-118,1.1.0,1.2.0,1.2.0,{1.1.0},1,2009-09-22,2009-09-24
AVRO-122,1.1.0,1.2.0,1.2.0,{1.1.0},1,2009-09-24,2009-09-24
AVRO-125,1.1.0,1.2.0,1.2.0,{1.1.0},1,2009-09-25,2009-09-25
AVRO-124,1.1.0,1.2.0,1.2.0,{1.1.0},1,2009-09-25,2009-09-25
AVRO-123,1.1.0,1.2.0,1.2.0,{1.1.0},1,2009-09-25,2009-09-25
AVRO-132,1.0.0,1.2.0,1.2.0,{1.0.0},1,2009-10-02,2009-10-08
AVRO-133,1.0.0,1.2.0,1.2.0,{1.0.0},1,2009-10-05,2009-10-06
