Release Name,Number of touch by commits
4.1.0,2
4.1.1,0
4.2.1,0
4.2.2,1
4.3.0,1
4.2.3,1
4.3.1,0
4.3.2,1
4.5.0,5
4.5.1,0
4.6.0,0
4.1.0,1
4.1.1,0
4.2.1,1
4.2.2,0
4.3.0,2
4.2.3,0
4.3.1,0
4.3.2,0
4.5.0,4
4.5.1,0
4.6.0,0
4.1.0,4
4.1.1,1
4.2.1,1
4.2.2,0
4.3.0,2
4.2.3,0
4.3.1,1
4.3.2,0
4.5.0,5
4.5.1,1
4.6.0,1
4.0.0,3
4.1.0,0
4.1.1,0
4.2.1,1
4.2.2,0
4.3.0,1
4.2.3,0
4.3.1,0
4.3.2,0
4.5.0,3
4.5.1,0
4.6.0,0
4.0.0,4
4.1.0,2
4.1.1,1
4.2.1,1
4.2.2,0
4.3.0,0
4.2.3,0
4.3.1,0
4.3.2,0
4.5.0,3
4.5.1,0
4.6.0,1
4.5.0,1
4.5.1,0
4.6.0,0
4.6.0,0
4.6.0,0
4.6.0,0
4.6.0,0
4.6.0,0
4.6.0,0
4.6.0,0
4.6.0,0
4.6.0,2
4.6.0,0
4.6.0,0
4.6.0,0
4.6.0,0
4.6.0,0
4.6.0,0
4.6.0,0
4.6.0,0
4.6.0,0
4.6.0,0
4.6.0,0
4.6.0,0
4.6.0,0
4.6.0,0
4.6.0,0
4.6.0,0
4.6.0,0
4.6.0,0
4.6.0,0
4.6.0,0
4.6.0,0
4.6.0,0
4.6.0,0
4.6.0,0
4.5.1,0
4.6.0,0
4.5.1,0
4.6.0,1
4.5.1,0
4.6.0,1
4.5.1,0
4.6.0,0
4.6.0,0
4.6.0,0
4.5.1,0
4.5.1,0
4.5.1,0
4.6.0,0
4.6.0,0
4.5.1,0
4.5.1,0
4.6.0,1
4.6.0,0
4.6.0,0
4.6.0,0
4.6.0,0
4.5.1,0
4.5.1,0
4.5.1,0
4.5.1,0
4.5.1,0
4.6.0,0
4.5.1,0
4.6.0,1
4.5.1,0
4.6.0,0
4.5.1,0
4.6.0,1
4.5.1,0
4.6.0,0
4.5.1,0
4.6.0,1
4.5.1,0
4.6.0,0
4.5.1,0
4.6.0,1
4.5.1,0
4.6.0,0
4.5.0,2
4.5.1,0
4.6.0,0
4.5.0,6
4.5.1,0
4.6.0,0
4.5.0,1
4.5.1,0
4.6.0,0
4.5.0,1
4.5.1,0
4.6.0,0
4.5.0,6
4.5.1,0
4.6.0,0
4.5.0,6
4.5.1,0
4.6.0,0
4.5.0,1
4.5.1,0
4.6.0,0
4.6.0,0
4.3.1,2
4.3.2,0
4.5.0,8
4.5.1,1
4.6.0,1
4.0.0,13
4.1.0,20
4.1.1,17
4.2.1,2
4.2.2,8
4.3.0,8
4.2.3,5
4.3.1,7
4.3.2,1
4.5.0,25
4.5.1,0
4.6.0,2
4.1.0,1
4.1.1,0
4.2.1,0
4.2.2,0
4.3.0,0
4.2.3,0
4.3.1,0
4.3.2,0
4.3.0,0
4.2.3,0
4.3.1,0
4.3.2,0
4.5.0,0
4.5.1,0
4.6.0,0
4.0.0,2
4.1.0,2
4.1.1,1
4.2.1,1
4.2.2,0
4.3.0,0
4.2.3,0
4.3.1,0
4.3.2,0
4.5.0,4
4.5.1,0
4.6.0,1
4.1.0,1
4.1.1,0
4.2.1,0
4.2.2,0
4.3.0,0
4.2.3,0
4.3.1,0
4.3.2,0
4.1.0,0
4.1.1,4
4.2.1,1
4.2.2,3
4.3.0,3
4.2.3,2
4.3.1,5
4.3.2,2
4.5.0,17
4.5.1,1
4.6.0,4
4.6.0,0
4.3.0,1
4.2.3,0
4.3.1,0
4.3.2,0
4.5.0,1
4.5.1,0
4.6.0,0
4.0.0,3
4.1.0,0
4.1.1,0
4.2.1,0
4.2.2,1
4.3.0,3
4.2.3,0
4.3.1,0
4.3.2,0
4.5.0,2
4.5.1,0
4.6.0,0
4.3.0,0
4.2.3,0
4.3.1,0
4.3.2,0
4.5.0,2
4.5.1,0
4.6.0,0
4.3.0,0
4.2.3,0
4.3.1,0
4.3.2,0
4.5.0,1
4.5.1,0
4.6.0,0
4.2.3,0
4.3.1,0
4.3.2,0
4.5.0,1
4.5.1,0
4.6.0,0
4.2.2,0
4.3.0,1
4.2.3,0
4.3.1,0
4.3.2,0
4.5.0,1
4.5.1,0
4.6.0,0
4.5.0,4
4.5.1,0
4.6.0,0
4.5.0,1
4.5.1,1
4.6.0,0
4.1.0,1
4.1.1,3
4.2.1,1
4.2.2,0
4.3.0,1
4.2.3,2
4.3.1,4
4.3.2,0
4.5.0,6
4.5.1,1
4.6.0,2
4.3.0,0
4.2.3,0
4.3.1,0
4.3.2,0
4.5.0,2
4.5.1,0
4.6.0,0
4.2.3,0
4.3.1,0
4.3.2,0
4.5.0,2
4.5.1,0
4.6.0,0
4.5.0,2
4.5.1,0
4.6.0,1
4.6.0,0
4.5.0,0
4.5.1,0
4.6.0,0
4.0.0,8
4.1.0,13
4.1.1,5
4.2.1,1
4.2.2,2
4.3.0,4
4.2.3,0
4.3.1,4
4.3.2,0
4.5.0,8
4.5.1,0
4.6.0,3
4.2.3,0
4.3.1,2
4.3.2,0
4.5.0,4
4.5.1,0
4.6.0,0
4.1.0,0
4.1.1,0
4.2.1,0
4.2.2,0
4.3.0,0
4.2.3,0
4.3.1,0
4.3.2,0
4.5.0,1
4.5.1,0
4.6.0,0
4.0.0,4
4.1.0,5
4.1.1,2
4.2.1,2
4.2.2,1
4.3.0,3
4.2.3,0
4.3.1,1
4.3.2,0
4.5.0,9
4.5.1,0
4.6.0,0
4.1.0,3
4.1.1,2
4.2.1,1
4.2.2,0
4.3.0,1
4.2.3,0
4.3.1,2
4.3.2,1
4.5.0,5
4.5.1,0
4.6.0,1
4.1.1,0
4.2.1,0
4.2.2,0
4.3.0,0
4.2.3,0
4.3.1,0
4.3.2,0
4.5.0,1
4.5.1,0
4.6.0,0
4.1.0,7
4.1.1,6
4.2.1,0
4.2.2,3
4.3.0,5
4.2.3,0
4.3.1,3
4.3.2,0
4.5.0,7
4.5.1,1
4.6.0,2
4.1.0,0
4.1.1,0
4.2.1,0
4.2.2,0
4.3.0,0
4.2.3,0
4.3.1,0
4.3.2,0
4.5.0,0
4.5.1,1
4.6.0,0
4.1.0,1
4.1.1,0
4.2.1,0
4.2.2,0
4.3.0,1
4.2.3,0
4.3.1,0
4.3.2,0
4.5.0,1
4.5.1,0
4.6.0,0
4.3.0,1
4.2.3,0
4.3.1,1
4.3.2,0
4.5.0,4
4.5.1,0
4.6.0,0
4.3.0,3
4.2.3,0
4.3.1,1
4.3.2,0
4.5.0,13
4.5.1,0
4.6.0,2
4.1.0,4
4.1.1,7
4.2.1,1
4.2.2,2
4.3.0,5
4.2.3,1
4.3.1,3
4.3.2,0
4.5.0,10
4.5.1,0
4.6.0,1
4.1.0,2
4.1.1,6
4.2.1,0
4.2.2,5
4.3.0,4
4.2.3,2
4.3.1,4
4.3.2,0
4.5.0,11
4.5.1,0
4.6.0,1
4.1.0,2
4.1.1,1
4.2.1,1
4.2.2,2
4.3.0,2
4.2.3,2
4.3.1,0
4.3.2,0
4.5.0,3
4.5.1,0
4.6.0,0
4.3.0,0
4.2.3,0
4.3.1,0
4.3.2,0
4.5.0,1
4.5.1,0
4.6.0,0
4.5.0,2
4.5.1,0
4.6.0,0
4.0.0,6
4.1.0,8
4.1.1,1
4.2.1,0
4.2.2,0
4.3.0,0
4.2.3,0
4.3.1,0
4.3.2,0
4.5.0,5
4.5.1,0
4.6.0,0
4.1.0,1
4.1.1,0
4.2.1,0
4.2.2,0
4.3.0,0
4.2.3,0
4.3.1,0
4.3.2,0
4.1.0,6
4.1.1,9
4.2.1,3
4.2.2,3
4.3.0,2
4.2.3,0
4.3.1,1
4.3.2,0
4.5.0,8
4.5.1,0
4.6.0,0
4.1.0,0
4.1.1,0
4.2.1,0
4.2.2,0
4.3.0,1
4.2.3,0
4.3.1,0
4.3.2,0
4.0.0,4
4.1.0,5
4.1.1,1
4.2.1,0
4.2.2,0
4.3.0,0
4.2.3,0
4.3.1,0
4.3.2,0
4.5.0,6
4.5.1,0
4.6.0,0
4.1.0,1
4.1.1,1
4.2.1,0
4.2.2,0
4.3.0,1
4.2.3,0
4.3.1,0
4.3.2,0
4.5.0,10
4.5.1,0
4.6.0,0
4.1.0,1
4.1.1,1
4.2.1,0
4.2.2,0
4.3.0,0
4.2.3,0
4.3.1,0
4.3.2,0
4.5.0,1
4.5.1,0
4.6.0,0
4.1.1,2
4.2.1,0
4.2.2,3
4.3.0,5
4.2.3,0
4.3.1,1
4.3.2,0
4.5.0,8
4.5.1,0
4.6.0,0
4.5.0,3
4.5.1,0
4.6.0,0
4.0.0,2
4.1.0,2
4.1.1,0
4.2.1,0
4.2.2,0
4.3.0,1
4.2.3,0
4.3.1,0
4.3.2,0
4.5.0,3
4.5.1,0
4.6.0,0
4.1.0,0
4.1.1,1
4.2.1,0
4.2.2,1
4.3.0,0
4.2.3,0
4.3.1,0
4.3.2,0
4.5.0,9
4.5.1,0
4.6.0,0
4.5.0,2
4.5.1,0
4.6.0,0
