Ticket Key,Injected Version,Opening Version,Fixed Version,Affected Version List,Number of Commits,Creation Date,Resolution Date
BOOKKEEPER-142,4.0.0,4.1.0,4.1.0,{4.0.0},1,2011-12-12,2011-12-16
BOOKKEEPER-146,4.0.0,4.1.0,4.1.0,{4.0.0},1,2011-12-21,2012-05-25
BOOKKEEPER-148,4.0.0,4.1.0,4.1.0,{4.0.0},1,2012-01-02,2012-01-11
BOOKKEEPER-150,4.0.0,4.1.0,4.1.0,{4.0.0},1,2012-01-03,2012-01-17
BOOKKEEPER-152,4.0.0,4.1.0,4.1.0,{4.0.0},1,2012-01-11,2012-02-13
BOOKKEEPER-153,4.0.0,4.1.0,4.1.0,{4.0.0},1,2012-01-16,2012-01-18
BOOKKEEPER-156,4.0.0,4.1.0,4.1.0,{4.0.0},1,2012-01-29,2012-02-08
BOOKKEEPER-161,4.0.0,4.1.0,4.1.0,{4.0.0},1,2012-02-06,2012-02-07
BOOKKEEPER-162,4.0.0,4.1.0,4.1.0,{4.0.0},1,2012-02-07,2012-02-13
BOOKKEEPER-163,4.0.0,4.1.0,4.1.0,{4.0.0},1,2012-02-07,2012-03-13
BOOKKEEPER-166,4.0.0,4.1.0,4.1.0,{4.0.0},1,2012-02-07,2012-03-30
BOOKKEEPER-167,4.0.0,4.1.0,4.1.0,{4.0.0},1,2012-02-08,2012-02-08
BOOKKEEPER-171,4.0.0,4.1.0,4.1.0,{4.0.0},1,2012-02-14,2012-02-15
BOOKKEEPER-170,4.0.0,4.1.0,4.1.0,{4.0.0},1,2012-02-14,2012-02-15
BOOKKEEPER-169,4.0.0,4.1.0,4.1.0,{4.0.0},1,2012-02-14,2012-02-17
BOOKKEEPER-174,4.0.0,4.1.0,4.1.0,{4.0.0},1,2012-02-16,2012-02-17
BOOKKEEPER-173,4.0.0,4.1.0,4.1.0,{4.0.0},1,2012-02-16,2012-04-20
BOOKKEEPER-176,4.0.0,4.1.0,4.1.0,{4.0.0},1,2012-02-17,2012-03-01
BOOKKEEPER-177,4.0.0,4.1.0,4.1.0,{4.0.0},1,2012-02-23,2012-02-24
BOOKKEEPER-180,4.0.0,4.1.0,4.1.0,{4.0.0},1,2012-03-01,2012-03-08
BOOKKEEPER-182,4.0.0,4.1.0,4.1.0,{4.0.0},1,2012-03-08,2012-03-16
BOOKKEEPER-184,4.0.0,4.1.0,4.1.0,{4.0.0},1,2012-03-13,2012-03-15
BOOKKEEPER-186,4.0.0,4.1.0,4.1.0,{4.0.0},1,2012-03-16,2012-03-19
BOOKKEEPER-189,4.0.0,4.1.0,4.1.0,{4.0.0},1,2012-03-20,2012-03-21
BOOKKEEPER-188,4.0.0,4.1.0,4.1.0,{4.0.0},1,2012-03-20,2012-03-21
BOOKKEEPER-190,4.0.0,4.1.0,4.1.0,{4.0.0},1,2012-03-21,2012-03-29
BOOKKEEPER-193,4.0.0,4.1.0,4.1.0,{4.0.0},1,2012-03-26,2012-03-31
BOOKKEEPER-195,4.0.0,4.1.0,4.1.0,{4.0.0},1,2012-03-28,2012-03-28
BOOKKEEPER-194,4.0.0,4.1.0,4.1.0,{4.0.0},1,2012-03-28,2012-03-29
BOOKKEEPER-198,4.0.0,4.1.0,4.1.0,{4.0.0},1,2012-03-30,2012-03-31
BOOKKEEPER-207,4.0.0,4.1.0,4.1.0,{4.0.0},1,2012-04-02,2012-04-03
BOOKKEEPER-212,4.0.0,4.1.0,4.1.0,{4.0.0},1,2012-04-06,2012-04-09
BOOKKEEPER-211,4.0.0,4.1.0,4.1.0,{4.0.0},1,2012-04-06,2012-04-10
BOOKKEEPER-213,4.0.0,4.1.0,4.1.0,{4.0.0},1,2012-04-06,2012-04-19
BOOKKEEPER-235,4.0.0,4.1.0,4.1.0,{4.0.0},1,2012-05-03,2012-05-09
BOOKKEEPER-242,4.0.0,4.1.0,4.1.0,{4.0.0},1,2012-05-08,2012-05-09
BOOKKEEPER-245,4.0.0,4.1.0,4.1.0,{4.0.0},1,2012-05-09,2012-05-10
BOOKKEEPER-258,4.0.0,4.1.0,4.1.0,{4.0.0},1,2012-05-14,2012-05-26
BOOKKEEPER-260,4.0.0,4.1.0,4.1.0,{4.0.0},1,2012-05-15,2012-05-25
BOOKKEEPER-274,4.0.0,4.1.0,4.1.0,{4.0.0 / 4.1.0},1,2012-05-30,2012-06-12
BOOKKEEPER-279,4.0.0,4.1.0,4.1.0,{4.0.0},1,2012-05-31,2012-06-05
BOOKKEEPER-281,4.0.0,4.1.0,4.1.0,{4.0.0},1,2012-06-01,2012-06-05
BOOKKEEPER-287,4.0.0,4.1.0,4.1.0,{4.0.0},1,2012-06-05,2012-06-06
BOOKKEEPER-288,4.0.0,4.1.0,4.1.0,{4.0.0},1,2012-06-07,2012-06-07
BOOKKEEPER-292,4.1.0,4.1.0,4.1.1,{4.1.0},1,2012-06-11,2012-06-19
BOOKKEEPER-291,4.1.0,4.1.0,4.1.1,{4.1.0},1,2012-06-11,2012-12-03
BOOKKEEPER-294,4.1.0,4.1.1,4.1.1,{4.1.0},1,2012-06-13,2012-07-05
BOOKKEEPER-298,4.1.0,4.1.1,4.1.1,{4.1.0},1,2012-06-14,2012-06-18
BOOKKEEPER-296,4.0.0,4.1.1,4.1.1,{4.0.0},2,2012-06-14,2012-08-17
BOOKKEEPER-303,4.1.0,4.1.1,4.1.1,{4.1.0},1,2012-06-20,2012-06-27
BOOKKEEPER-302,4.1.0,4.1.1,4.1.1,{4.1.0},1,2012-06-20,2012-06-28
BOOKKEEPER-307,4.1.0,4.1.1,4.1.1,{4.1.0},1,2012-06-21,2012-06-27
BOOKKEEPER-306,4.1.0,4.1.1,4.1.1,{4.1.0},1,2012-06-21,2012-07-16
BOOKKEEPER-322,4.1.0,4.1.1,4.1.1,{4.1.0},1,2012-06-27,2012-06-28
BOOKKEEPER-324,4.1.0,4.1.1,4.1.1,{4.1.0},1,2012-07-03,2012-07-04
BOOKKEEPER-326,4.1.0,4.1.1,4.1.1,{4.1.0},1,2012-07-04,2012-08-13
BOOKKEEPER-327,4.0.0,4.1.1,4.1.1,{4.0.0 / 4.1.0},1,2012-07-05,2012-07-24
BOOKKEEPER-329,4.0.0,4.1.1,4.1.1,{4.0.0 / 4.1.0},1,2012-07-09,2012-07-11
BOOKKEEPER-330,4.0.0,4.1.1,4.1.1,{4.0.0 / 4.1.0},1,2012-07-09,2012-07-26
BOOKKEEPER-336,4.1.0,4.1.1,4.1.1,{4.1.0},3,2012-07-10,2012-12-13
BOOKKEEPER-337,4.0.0,4.1.1,4.1.1,{4.0.0},1,2012-07-11,2012-08-28
BOOKKEEPER-338,4.1.0,4.1.1,4.1.1,{4.1.0},1,2012-07-12,2012-08-17
BOOKKEEPER-343,4.1.0,4.1.1,4.1.1,{4.1.0},1,2012-07-16,2012-08-03
BOOKKEEPER-349,4.1.0,4.1.1,4.1.1,{4.1.0},1,2012-07-23,2012-07-26
BOOKKEEPER-355,4.1.0,4.1.1,4.1.1,{4.1.0 / 4.2.0},1,2012-08-08,2013-01-07
BOOKKEEPER-365,4.0.0,4.1.1,4.1.1,{4.0.0 / 4.1.0},1,2012-08-14,2012-12-13
BOOKKEEPER-372,4.1.0,4.1.1,4.1.1,{4.1.0},1,2012-08-17,2012-08-17
BOOKKEEPER-371,4.1.0,4.1.1,4.1.1,{4.1.0},1,2012-08-17,2012-08-28
BOOKKEEPER-382,4.0.0,4.1.1,4.1.1,{4.0.0 / 4.1.0},1,2012-08-25,2012-08-27
BOOKKEEPER-381,4.1.0,4.1.1,4.1.1,{4.1.0},1,2012-08-25,2012-08-27
BOOKKEEPER-383,4.1.0,4.1.1,4.1.1,{4.1.0},1,2012-08-27,2012-09-07
BOOKKEEPER-387,4.1.0,4.1.1,4.1.1,{4.1.0},1,2012-09-04,2012-09-07
BOOKKEEPER-392,4.1.0,4.1.1,4.1.1,{4.1.0},1,2012-09-04,2012-09-13
BOOKKEEPER-395,4.1.0,4.1.1,4.1.1,{4.1.0},1,2012-09-06,2012-09-07
BOOKKEEPER-396,4.1.0,4.1.1,4.1.1,{4.1.0},1,2012-09-07,2012-09-11
BOOKKEEPER-404,4.1.0,4.1.1,4.1.1,{4.1.0},1,2012-09-13,2012-12-13
BOOKKEEPER-408,4.1.0,4.1.1,4.1.1,{4.1.0},1,2012-09-17,2012-12-13
